entry,at,order
"The player ""Seneca @ 3K1udw0KZ8"" quits the game with a stack of 1418.02.",2023-06-21T07:06:55.049Z,168733121504902
"The player ""brett @ eKDH2_sDqp"" stand up with the stack of 912.09.",2023-06-21T07:06:55.049Z,168733121504901
"The player ""Rickkkkk @ UZZ05k8aJ-"" stand up with the stack of 381.86.",2023-06-21T07:06:55.049Z,168733121504900
"-- ending hand #334 --",2023-06-21T07:06:49.125Z,168733120912502
"""Allen @ ETaeLet8ft"" collected 13.00 from pot",2023-06-21T07:06:49.125Z,168733120912501
"Uncalled bet of 6.50 returned to ""Allen @ ETaeLet8ft""",2023-06-21T07:06:49.125Z,168733120912500
"""Toby @ 76KLHFOJAT"" folds",2023-06-21T07:06:48.300Z,168733120830000
"""Allen @ ETaeLet8ft"" bets 6.50",2023-06-21T07:06:45.784Z,168733120578400
"The admin ""Rickkkkk @ UZZ05k8aJ-"" enqueued the game stop on next hand.",2023-06-21T07:06:40.819Z,168733120081900
"Turn: 2♣, 6♣, 5♦ [4♣]",2023-06-21T07:06:40.518Z,168733120051800
"""Toby @ 76KLHFOJAT"" checks",2023-06-21T07:06:39.673Z,168733119967300
"""Allen @ ETaeLet8ft"" checks",2023-06-21T07:06:27.614Z,168733118761400
"Flop:  [2♣, 6♣, 5♦]",2023-06-21T07:06:23.216Z,168733118321600
"""Allen @ ETaeLet8ft"" calls 6.00",2023-06-21T07:06:22.388Z,168733118238800
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-21T07:06:17.727Z,168733117772700
"""Toby @ 76KLHFOJAT"" raises to 6.00",2023-06-21T07:06:15.899Z,168733117589900
"""ChipPunts @ qEXgiJ_1G1"" folds",2023-06-21T07:06:10.466Z,168733117046600
"""brett @ eKDH2_sDqp"" folds",2023-06-21T07:06:07.925Z,168733116792500
"""Rickkkkk @ UZZ05k8aJ-"" folds",2023-06-21T07:06:06.964Z,168733116696400
"""Allen @ ETaeLet8ft"" posts a big blind of 2.00",2023-06-21T07:06:05.033Z,168733116503309
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-06-21T07:06:05.033Z,168733116503308
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (912.09) | #3 ""ChipPunts @ qEXgiJ_1G1"" (432.88) | #4 ""Toby @ 76KLHFOJAT"" (313.75) | #7 ""Seneca @ 3K1udw0KZ8"" (1419.02) | #9 ""Allen @ ETaeLet8ft"" (556.75) | #10 ""Rickkkkk @ UZZ05k8aJ-"" (381.86)",2023-06-21T07:06:05.033Z,168733116503301
"-- starting hand #334 (id: tzaoyj2ocnjc)  (No Limit Texas Hold'em) (dealer: ""Toby @ 76KLHFOJAT"") --",2023-06-21T07:06:05.033Z,168733116503300
"-- ending hand #333 --",2023-06-21T07:05:59.008Z,168733115900803
"""Rickkkkk @ UZZ05k8aJ-"" shows a Q♦, 10♥.",2023-06-21T07:05:59.008Z,168733115900802
"""ChipPunts @ qEXgiJ_1G1"" collected 70.00 from pot with Two Pair, J's & 8's (combination: J♦, J♥, 8♥, 8♣, 10♣)",2023-06-21T07:05:59.008Z,168733115900801
"""ChipPunts @ qEXgiJ_1G1"" shows a 10♣, J♦.",2023-06-21T07:05:59.008Z,168733115900800
"""ChipPunts @ qEXgiJ_1G1"" calls 20.00",2023-06-21T07:05:58.142Z,168733115814200
"""Rickkkkk @ UZZ05k8aJ-"" bets 20.00",2023-06-21T07:05:56.227Z,168733115622700
"River: 8♥, 2♥, 8♣, J♥ [4♦]",2023-06-21T07:05:51.253Z,168733115125300
"""ChipPunts @ qEXgiJ_1G1"" calls 7.50",2023-06-21T07:05:50.428Z,168733115042800
"""Rickkkkk @ UZZ05k8aJ-"" bets 7.50",2023-06-21T07:05:49.004Z,168733114900400
"Turn: 8♥, 2♥, 8♣ [J♥]",2023-06-21T07:05:44.186Z,168733114418600
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T07:05:43.349Z,168733114334900
"""Rickkkkk @ UZZ05k8aJ-"" checks",2023-06-21T07:05:42.439Z,168733114243900
"Flop:  [8♥, 2♥, 8♣]",2023-06-21T07:05:37.645Z,168733113764500
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-21T07:05:36.785Z,168733113678500
"""Toby @ 76KLHFOJAT"" folds",2023-06-21T07:05:35.847Z,168733113584700
"""ChipPunts @ qEXgiJ_1G1"" calls 6.00",2023-06-21T07:05:14.831Z,168733111483100
"""brett @ eKDH2_sDqp"" folds",2023-06-21T07:05:11.910Z,168733111191000
"""Rickkkkk @ UZZ05k8aJ-"" raises to 6.00",2023-06-21T07:05:11.000Z,168733111100000
"""Allen @ ETaeLet8ft"" folds",2023-06-21T07:05:07.167Z,168733110716700
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-06-21T07:05:03.216Z,168733110321609
"""Toby @ 76KLHFOJAT"" posts a small blind of 1.00",2023-06-21T07:05:03.216Z,168733110321608
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (912.09) | #3 ""ChipPunts @ qEXgiJ_1G1"" (396.38) | #4 ""Toby @ 76KLHFOJAT"" (314.75) | #7 ""Seneca @ 3K1udw0KZ8"" (1421.02) | #9 ""Allen @ ETaeLet8ft"" (556.75) | #10 ""Rickkkkk @ UZZ05k8aJ-"" (415.36)",2023-06-21T07:05:03.216Z,168733110321601
"-- starting hand #333 (id: nsyf3oywzdjt)  (No Limit Texas Hold'em) (dealer: ""ChipPunts @ qEXgiJ_1G1"") --",2023-06-21T07:05:03.216Z,168733110321600
"-- ending hand #332 --",2023-06-21T07:05:00.309Z,168733110030902
"""Allen @ ETaeLet8ft"" collected 110.00 from pot",2023-06-21T07:05:00.309Z,168733110030901
"Uncalled bet of 82.50 returned to ""Allen @ ETaeLet8ft""",2023-06-21T07:05:00.309Z,168733110030900
"""brett @ eKDH2_sDqp"" folds",2023-06-21T07:04:59.478Z,168733109947800
"""Allen @ ETaeLet8ft"" bets 82.50",2023-06-21T07:04:43.745Z,168733108374500
"River: Q♦, 6♦, J♣, 6♠ [7♠]",2023-06-21T07:04:33.078Z,168733107307800
"""ChipPunts @ qEXgiJ_1G1"" folds",2023-06-21T07:04:32.263Z,168733107226300
"""brett @ eKDH2_sDqp"" calls 33.00",2023-06-21T07:04:31.236Z,168733107123600
"""Allen @ ETaeLet8ft"" bets 33.00",2023-06-21T07:04:14.251Z,168733105425100
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T07:04:09.331Z,168733104933100
"Turn: Q♦, 6♦, J♣ [6♠]",2023-06-21T07:03:55.739Z,168733103573900
"""ChipPunts @ qEXgiJ_1G1"" calls 8.00",2023-06-21T07:03:54.910Z,168733103491000
"""brett @ eKDH2_sDqp"" calls 8.00",2023-06-21T07:03:51.996Z,168733103199600
"""Allen @ ETaeLet8ft"" bets 8.00",2023-06-21T07:03:45.547Z,168733102554700
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T07:03:33.544Z,168733101354400
"Flop:  [Q♦, 6♦, J♣]",2023-06-21T07:03:31.712Z,168733101171200
"""Toby @ 76KLHFOJAT"" folds",2023-06-21T07:03:30.857Z,168733101085700
"""ChipPunts @ qEXgiJ_1G1"" calls 6.00",2023-06-21T07:03:27.651Z,168733100765100
"""brett @ eKDH2_sDqp"" calls 6.00",2023-06-21T07:03:26.685Z,168733100668500
"""Rickkkkk @ UZZ05k8aJ-"" folds",2023-06-21T07:03:23.069Z,168733100306900
"""Allen @ ETaeLet8ft"" raises to 6.00",2023-06-21T07:03:22.229Z,168733100222900
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-21T07:03:12.020Z,168733099202000
"""Toby @ 76KLHFOJAT"" posts a big blind of 2.00",2023-06-21T07:03:11.165Z,168733099116509
"""ChipPunts @ qEXgiJ_1G1"" posts a small blind of 1.00",2023-06-21T07:03:11.165Z,168733099116508
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (959.09) | #3 ""ChipPunts @ qEXgiJ_1G1"" (410.38) | #4 ""Toby @ 76KLHFOJAT"" (316.75) | #7 ""Seneca @ 3K1udw0KZ8"" (1421.02) | #9 ""Allen @ ETaeLet8ft"" (493.75) | #10 ""Rickkkkk @ UZZ05k8aJ-"" (415.36)",2023-06-21T07:03:11.165Z,168733099116501
"-- starting hand #332 (id: tu3rznlkgaic)  (No Limit Texas Hold'em) (dealer: ""brett @ eKDH2_sDqp"") --",2023-06-21T07:03:11.165Z,168733099116500
"-- ending hand #331 --",2023-06-21T07:03:05.170Z,168733098517002
"""Allen @ ETaeLet8ft"" collected 40.00 from pot",2023-06-21T07:03:05.170Z,168733098517001
"Uncalled bet of 20.00 returned to ""Allen @ ETaeLet8ft""",2023-06-21T07:03:05.170Z,168733098517000
"""ChipPunts @ qEXgiJ_1G1"" folds",2023-06-21T07:03:04.318Z,168733098431800
"""Allen @ ETaeLet8ft"" bets 20.00",2023-06-21T07:02:59.320Z,168733097932000
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T07:02:53.601Z,168733097360100
"Turn: Q♦, A♦, 4♦ [5♣]",2023-06-21T07:02:52.207Z,168733097220700
"""Toby @ 76KLHFOJAT"" folds",2023-06-21T07:02:51.358Z,168733097135800
"""ChipPunts @ qEXgiJ_1G1"" calls 8.00",2023-06-21T07:02:49.795Z,168733096979500
"""brett @ eKDH2_sDqp"" folds",2023-06-21T07:02:45.986Z,168733096598600
"""Allen @ ETaeLet8ft"" bets 8.00",2023-06-21T07:02:44.529Z,168733096452900
"""Toby @ 76KLHFOJAT"" checks",2023-06-21T07:02:33.007Z,168733095300700
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T07:02:29.768Z,168733094976800
"""brett @ eKDH2_sDqp"" checks",2023-06-21T07:02:25.367Z,168733094536700
"Flop:  [Q♦, A♦, 4♦]",2023-06-21T07:02:21.910Z,168733094191000
"""ChipPunts @ qEXgiJ_1G1"" calls 6.00",2023-06-21T07:02:21.082Z,168733094108200
"""brett @ eKDH2_sDqp"" calls 6.00",2023-06-21T07:02:18.338Z,168733093833800
"""Rickkkkk @ UZZ05k8aJ-"" folds",2023-06-21T07:02:14.939Z,168733093493900
"""Allen @ ETaeLet8ft"" calls 6.00",2023-06-21T07:02:10.323Z,168733093032300
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-21T07:02:06.829Z,168733092682900
"""Toby @ 76KLHFOJAT"" raises to 6.00",2023-06-21T07:02:05.918Z,168733092591800
"""ChipPunts @ qEXgiJ_1G1"" posts a big blind of 2.00",2023-06-21T07:01:59.112Z,168733091911209
"""brett @ eKDH2_sDqp"" posts a small blind of 1.00",2023-06-21T07:01:59.112Z,168733091911208
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (965.09) | #3 ""ChipPunts @ qEXgiJ_1G1"" (424.38) | #4 ""Toby @ 76KLHFOJAT"" (322.75) | #7 ""Seneca @ 3K1udw0KZ8"" (1421.02) | #9 ""Allen @ ETaeLet8ft"" (467.75) | #10 ""Rickkkkk @ UZZ05k8aJ-"" (415.36)",2023-06-21T07:01:59.112Z,168733091911201
"-- starting hand #331 (id: e48h23oalcen)  (No Limit Texas Hold'em) (dealer: ""Rickkkkk @ UZZ05k8aJ-"") --",2023-06-21T07:01:59.112Z,168733091911200
"""Rickkkkk @ UZZ05k8aJ-"" shows a K♥, J♠.",2023-06-21T07:01:55.948Z,168733091594800
"-- ending hand #330 --",2023-06-21T07:01:55.501Z,168733091550102
"""ChipPunts @ qEXgiJ_1G1"" collected 36.00 from pot",2023-06-21T07:01:55.501Z,168733091550101
"Uncalled bet of 49.00 returned to ""ChipPunts @ qEXgiJ_1G1""",2023-06-21T07:01:55.501Z,168733091550100
"""Rickkkkk @ UZZ05k8aJ-"" folds",2023-06-21T07:01:54.670Z,168733091467000
"""ChipPunts @ qEXgiJ_1G1"" bets 49.00",2023-06-21T07:01:34.497Z,168733089449700
"""Rickkkkk @ UZZ05k8aJ-"" checks",2023-06-21T07:01:25.969Z,168733088596900
"River: K♠, 5♦, 8♥, A♦ [3♦]",2023-06-21T07:01:24.717Z,168733088471700
"""Rickkkkk @ UZZ05k8aJ-"" calls 9.00",2023-06-21T07:01:23.902Z,168733088390200
"""ChipPunts @ qEXgiJ_1G1"" bets 9.00",2023-06-21T07:01:21.548Z,168733088154800
"""Rickkkkk @ UZZ05k8aJ-"" checks",2023-06-21T07:01:17.279Z,168733087727900
"Turn: K♠, 5♦, 8♥ [A♦]",2023-06-21T07:01:13.753Z,168733087375300
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T07:01:12.910Z,168733087291000
"""Rickkkkk @ UZZ05k8aJ-"" checks",2023-06-21T07:01:03.494Z,168733086349400
"Flop:  [K♠, 5♦, 8♥]",2023-06-21T07:01:01.872Z,168733086187200
"""brett @ eKDH2_sDqp"" folds",2023-06-21T07:01:00.932Z,168733086093200
"""Rickkkkk @ UZZ05k8aJ-"" calls 8.00",2023-06-21T07:01:00.024Z,168733086002400
"""Allen @ ETaeLet8ft"" folds",2023-06-21T07:00:57.961Z,168733085796100
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-21T07:00:57.065Z,168733085706500
"""Toby @ 76KLHFOJAT"" folds",2023-06-21T07:00:51.706Z,168733085170600
"""ChipPunts @ qEXgiJ_1G1"" raises to 8.00",2023-06-21T07:00:50.788Z,168733085078800
"""brett @ eKDH2_sDqp"" posts a big blind of 2.00",2023-06-21T07:00:46.604Z,168733084660409
"""Rickkkkk @ UZZ05k8aJ-"" posts a small blind of 1.00",2023-06-21T07:00:46.604Z,168733084660408
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (967.09) | #3 ""ChipPunts @ qEXgiJ_1G1"" (405.38) | #4 ""Toby @ 76KLHFOJAT"" (322.75) | #7 ""Seneca @ 3K1udw0KZ8"" (1421.02) | #9 ""Allen @ ETaeLet8ft"" (467.75) | #10 ""Rickkkkk @ UZZ05k8aJ-"" (432.36)",2023-06-21T07:00:46.604Z,168733084660401
"-- starting hand #330 (id: y8rnledtoz3g)  (No Limit Texas Hold'em) (dealer: ""Allen @ ETaeLet8ft"") --",2023-06-21T07:00:46.604Z,168733084660400
"""ChipPunts @ qEXgiJ_1G1"" shows a 10♠, J♥.",2023-06-21T07:00:44.570Z,168733084457000
"""brett @ eKDH2_sDqp"" shows a 7♥, 6♠.",2023-06-21T07:00:42.512Z,168733084251200
"-- ending hand #329 --",2023-06-21T07:00:42.292Z,168733084229202
"""ChipPunts @ qEXgiJ_1G1"" collected 101.00 from pot",2023-06-21T07:00:42.292Z,168733084229201
"Uncalled bet of 125.00 returned to ""ChipPunts @ qEXgiJ_1G1""",2023-06-21T07:00:42.292Z,168733084229200
"""Toby @ 76KLHFOJAT"" folds",2023-06-21T07:00:41.484Z,168733084148400
"""ChipPunts @ qEXgiJ_1G1"" bets 125.00",2023-06-21T06:59:33.912Z,168733077391200
"River: 8♥, 4♦, 6♥, 5♥ [8♦]",2023-06-21T06:59:21.343Z,168733076134300
"""Toby @ 76KLHFOJAT"" checks",2023-06-21T06:59:20.524Z,168733076052400
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T06:59:12.387Z,168733075238700
"Turn: 8♥, 4♦, 6♥ [5♥]",2023-06-21T06:59:11.418Z,168733075141800
"""ChipPunts @ qEXgiJ_1G1"" calls 25.00",2023-06-21T06:59:10.530Z,168733075053000
"""Toby @ 76KLHFOJAT"" bets 25.00",2023-06-21T06:59:07.850Z,168733074785000
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T06:59:00.509Z,168733074050900
"Flop:  [8♥, 4♦, 6♥]",2023-06-21T06:58:58.909Z,168733073890900
"""ChipPunts @ qEXgiJ_1G1"" calls 24.00",2023-06-21T06:58:58.044Z,168733073804400
"""Rickkkkk @ UZZ05k8aJ-"" folds",2023-06-21T06:58:56.460Z,168733073646000
"""Allen @ ETaeLet8ft"" folds",2023-06-21T06:58:55.624Z,168733073562400
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-21T06:58:54.722Z,168733073472200
"""Toby @ 76KLHFOJAT"" raises to 24.00",2023-06-21T06:58:53.765Z,168733073376500
"""ChipPunts @ qEXgiJ_1G1"" raises to 8.00",2023-06-21T06:58:47.730Z,168733072773000
"""brett @ eKDH2_sDqp"" folds",2023-06-21T06:58:42.439Z,168733072243900
"""Rickkkkk @ UZZ05k8aJ-"" posts a big blind of 2.00",2023-06-21T06:58:40.544Z,168733072054409
"""Allen @ ETaeLet8ft"" posts a small blind of 1.00",2023-06-21T06:58:40.544Z,168733072054408
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (967.09) | #3 ""ChipPunts @ qEXgiJ_1G1"" (353.38) | #4 ""Toby @ 76KLHFOJAT"" (371.75) | #7 ""Seneca @ 3K1udw0KZ8"" (1421.02) | #9 ""Allen @ ETaeLet8ft"" (468.75) | #10 ""Rickkkkk @ UZZ05k8aJ-"" (434.36)",2023-06-21T06:58:40.544Z,168733072054401
"-- starting hand #329 (id: sqolxivyosp6)  (No Limit Texas Hold'em) (dealer: ""Seneca @ 3K1udw0KZ8"") --",2023-06-21T06:58:40.544Z,168733072054400
"-- ending hand #328 --",2023-06-21T06:58:34.541Z,168733071454103
"""ChipPunts @ qEXgiJ_1G1"" shows a 7♥, 6♦.",2023-06-21T06:58:34.541Z,168733071454102
"""Rickkkkk @ UZZ05k8aJ-"" collected 117.25 from pot with Pair, A's (combination: A♥, A♠, 10♣, 9♣, 6♣)",2023-06-21T06:58:34.541Z,168733071454101
"""Rickkkkk @ UZZ05k8aJ-"" shows a A♥, 9♣.",2023-06-21T06:58:34.541Z,168733071454100
"""Rickkkkk @ UZZ05k8aJ-"" calls 42.00",2023-06-21T06:58:33.721Z,168733071372100
"""Allen @ ETaeLet8ft"" folds",2023-06-21T06:58:24.361Z,168733070436100
"""ChipPunts @ qEXgiJ_1G1"" raises to 42.00",2023-06-21T06:58:07.553Z,168733068755300
"""Rickkkkk @ UZZ05k8aJ-"" calls 14.25",2023-06-21T06:57:54.509Z,168733067450900
"""Allen @ ETaeLet8ft"" bets 14.25",2023-06-21T06:57:52.192Z,168733067219200
"River: 10♣, 6♣, 4♣, 2♦ [A♠]",2023-06-21T06:57:46.370Z,168733066637000
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T06:57:45.553Z,168733066555300
"""Rickkkkk @ UZZ05k8aJ-"" checks",2023-06-21T06:57:30.939Z,168733065093900
"""Allen @ ETaeLet8ft"" checks",2023-06-21T06:57:28.752Z,168733064875200
"Turn: 10♣, 6♣, 4♣ [2♦]",2023-06-21T06:57:23.307Z,168733064330700
"""ChipPunts @ qEXgiJ_1G1"" checks",2023-06-21T06:57:22.488Z,168733064248800
"""Rickkkkk @ UZZ05k8aJ-"" checks",2023-06-21T06:57:21.557Z,168733064155700
"""Allen @ ETaeLet8ft"" checks",2023-06-21T06:57:18.683Z,168733063868300
"Flop:  [10♣, 6♣, 4♣]",2023-06-21T06:57:14.496Z,168733063449600
"""Allen @ ETaeLet8ft"" calls 6.00",2023-06-21T06:57:13.685Z,168733063368500
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-21T06:57:11.766Z,168733063176600
"""Toby @ 76KLHFOJAT"" folds",2023-06-21T06:57:10.806Z,168733063080600
"""ChipPunts @ qEXgiJ_1G1"" calls 6.00",2023-06-21T06:57:07.424Z,168733062742400
"""brett @ eKDH2_sDqp"" folds",2023-06-21T06:57:05.804Z,168733062580400
"""Rickkkkk @ UZZ05k8aJ-"" raises to 6.00",2023-06-21T06:57:04.851Z,168733062485100
"""Allen @ ETaeLet8ft"" posts a big blind of 2.00",2023-06-21T06:57:01.640Z,168733062164009
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-06-21T06:57:01.640Z,168733062164008
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (967.09) | #3 ""ChipPunts @ qEXgiJ_1G1"" (401.38) | #4 ""Toby @ 76KLHFOJAT"" (371.75) | #7 ""Seneca @ 3K1udw0KZ8"" (1422.02) | #9 ""Allen @ ETaeLet8ft"" (489.00) | #10 ""Rickkkkk @ UZZ05k8aJ-"" (365.11)",2023-06-21T06:57:01.640Z,168733062164001
"-- starting hand #328 (id: rqybpwquxci6)  (No Limit Texas Hold'em) (dealer: ""Toby @ 76KLHFOJAT"") --",2023-06-21T06:57:01.640Z,168733062164000
"""ChipPunts @ qEXgiJ_1G1"" shows a 6♠, 8♦.",2023-06-21T06:56:58.922Z,168733061892200
"""Seneca @ 3K1udw0KZ8"" shows a 6♥, 8♥.",2023-06-21T06:56:55.072Z,168733061507200
"-- ending hand #327 --",2023-06-21T06:56:54.263Z,168733061426302
"""brett @ eKDH2_sDqp"" collected 71.00 from pot",2023-06-21T06:56:54.263Z,168733061426301
"Uncalled bet of 45.00 returned to ""brett @ eKDH2_sDqp""",2023-06-21T06:56:54.263Z,168733061426300
"""Allen @ ETaeLet8ft"" folds",2023-06-21T06:56:53.452Z,168733061345200
"""brett @ eKDH2_sDqp"" bets 45.00",2023-06-21T06:56:50.821Z,168733061082100
"""Allen @ ETaeLet8ft"" checks",2023-06-21T06:56:41.973Z,168733060197300
"Turn: 7♦, 5♦, 7♣ [9♠]",2023-06-21T06:56:38.696Z,168733059869600
"""Allen @ ETaeLet8ft"" calls 14.00",2023-06-21T06:56:37.823Z,168733059782300
"""brett @ eKDH2_sDqp"" bets 14.00",2023-06-21T06:56:34.547Z,168733059454700
"""Allen @ ETaeLet8ft"" checks",2023-06-21T06:56:22.493Z,168733058249300
"Flop:  [7♦, 5♦, 7♣]",2023-06-21T06:56:19.576Z,168733057957600
"""Allen @ ETaeLet8ft"" calls 20.00",2023-06-21T06:56:18.670Z,168733057867000
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-21T06:56:16.788Z,168733057678800
"""Toby @ 76KLHFOJAT"" folds",2023-06-21T06:56:10.959Z,168733057095900
"""ChipPunts @ qEXgiJ_1G1"" folds",2023-06-21T06:56:09.990Z,168733056999000
"""brett @ eKDH2_sDqp"" raises to 20.00",2023-06-21T06:56:09.016Z,168733056901600
"""Rickkkkk @ UZZ05k8aJ-"" folds",2023-06-21T06:55:59.704Z,168733055970400
"""Allen @ ETaeLet8ft"" raises to 6.00",2023-06-21T06:55:58.570Z,168733055857000
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-06-21T06:55:53.239Z,168733055323909
"""Toby @ 76KLHFOJAT"" posts a small blind of 1.00",2023-06-21T06:55:53.239Z,168733055323908
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (930.09) | #3 ""ChipPunts @ qEXgiJ_1G1"" (401.38) | #4 ""Toby @ 76KLHFOJAT"" (372.75) | #7 ""Seneca @ 3K1udw0KZ8"" (1424.02) | #9 ""Allen @ ETaeLet8ft"" (523.00) | #10 ""Rickkkkk @ UZZ05k8aJ-"" (365.11)",2023-06-21T06:55:53.239Z,168733055323901
