entry,at,order
"The player ""Jackson @ yXr_bmZ3u2"" stand up with the stack of 15.50.",2023-06-17T20:51:52.996Z,168703511299601
"The player ""Shlapp @ ZWO9_p1DU9"" stand up with the stack of 190.00.",2023-06-17T20:51:52.996Z,168703511299600
"-- ending hand #37 --",2023-06-17T20:51:50.082Z,168703511008202
"""Jackson @ yXr_bmZ3u2"" collected 1.00 from pot",2023-06-17T20:51:50.082Z,168703511008201
"Uncalled bet of 0.50 returned to ""Jackson @ yXr_bmZ3u2""",2023-06-17T20:51:50.082Z,168703511008200
"""Brax @ 4QD5SYGURq"" folds",2023-06-17T20:51:49.252Z,168703510925200
"The player ""Ben @ vpan8W0H_8"" requested a seat.",2023-06-17T20:51:47.963Z,168703510796300
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-17T20:51:44.841Z,168703510484100
"""Jackson @ yXr_bmZ3u2"" posts a big blind of 1.00",2023-06-17T20:51:17.763Z,168703507776306
"""Brax @ 4QD5SYGURq"" posts a small blind of 0.50",2023-06-17T20:51:17.763Z,168703507776305
"Player stacks: #1 ""Shlapp @ ZWO9_p1DU9"" (190.00) | #2 ""Brax @ 4QD5SYGURq"" (172.50) | #9 ""Jackson @ yXr_bmZ3u2"" (15.00)",2023-06-17T20:51:17.763Z,168703507776301
"-- starting hand #37 (id: gi5iioknnl9t)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-06-17T20:51:17.763Z,168703507776300
"-- ending hand #36 --",2023-06-17T20:51:14.823Z,168703507482302
"""Brax @ 4QD5SYGURq"" collected 1.00 from pot",2023-06-17T20:51:14.823Z,168703507482301
"Uncalled bet of 0.50 returned to ""Brax @ 4QD5SYGURq""",2023-06-17T20:51:14.823Z,168703507482300
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-17T20:51:13.979Z,168703507397900
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-17T20:51:12.377Z,168703507237700
"""Brax @ 4QD5SYGURq"" posts a big blind of 1.00",2023-06-17T20:51:11.156Z,168703507115606
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-17T20:51:11.156Z,168703507115605
"Player stacks: #1 ""Shlapp @ ZWO9_p1DU9"" (190.50) | #2 ""Brax @ 4QD5SYGURq"" (172.00) | #9 ""Jackson @ yXr_bmZ3u2"" (15.00)",2023-06-17T20:51:11.156Z,168703507115601
"-- starting hand #36 (id: a87ey3alurqu)  (No Limit Texas Hold'em) (dealer: ""Jackson @ yXr_bmZ3u2"") --",2023-06-17T20:51:11.156Z,168703507115600
"-- ending hand #35 --",2023-06-17T20:51:05.214Z,168703506521402
"""Shlapp @ ZWO9_p1DU9"" collected 2.00 from pot",2023-06-17T20:51:05.214Z,168703506521401
"Uncalled bet of 3.00 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-17T20:51:05.214Z,168703506521400
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-17T20:51:04.383Z,168703506438300
"""Shlapp @ ZWO9_p1DU9"" raises to 4.00",2023-06-17T20:51:01.977Z,168703506197700
"""Jackson @ yXr_bmZ3u2"" calls 1.00",2023-06-17T20:50:57.318Z,168703505731800
"""Brax @ 4QD5SYGURq"" folds",2023-06-17T20:50:54.542Z,168703505454200
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-06-17T20:50:53.300Z,168703505330007
"""Jackson @ yXr_bmZ3u2"" posts a small blind of 0.50",2023-06-17T20:50:53.300Z,168703505330006
"Player stacks: #1 ""Shlapp @ ZWO9_p1DU9"" (189.50) | #2 ""Brax @ 4QD5SYGURq"" (172.00) | #9 ""Jackson @ yXr_bmZ3u2"" (16.00)",2023-06-17T20:50:53.300Z,168703505330002
"-- starting hand #35 (id: 9pgp74hblamw)  (No Limit Texas Hold'em) (dealer: ""Brax @ 4QD5SYGURq"") --",2023-06-17T20:50:53.300Z,168703505330001
"The player ""Phil @ GCtQMn_f2C"" stand up with the stack of 283.35.",2023-06-17T20:50:53.300Z,168703505330000
"-- ending hand #34 --",2023-06-17T20:50:47.380Z,168703504738002
"""Phil @ GCtQMn_f2C"" collected 2.50 from pot",2023-06-17T20:50:47.380Z,168703504738001
"Uncalled bet of 3.00 returned to ""Phil @ GCtQMn_f2C""",2023-06-17T20:50:47.380Z,168703504738000
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-17T20:50:46.525Z,168703504652500
"""Brax @ 4QD5SYGURq"" folds",2023-06-17T20:50:45.392Z,168703504539200
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-17T20:50:44.438Z,168703504443800
"""Phil @ GCtQMn_f2C"" raises to 4.00",2023-06-17T20:50:43.010Z,168703504301000
"""Jackson @ yXr_bmZ3u2"" posts a big blind of 1.00",2023-06-17T20:50:41.177Z,168703504117708
"""Brax @ 4QD5SYGURq"" posts a small blind of 0.50",2023-06-17T20:50:41.177Z,168703504117707
"Player stacks: #1 ""Shlapp @ ZWO9_p1DU9"" (189.50) | #2 ""Brax @ 4QD5SYGURq"" (172.50) | #9 ""Jackson @ yXr_bmZ3u2"" (17.00) | #10 ""Phil @ GCtQMn_f2C"" (281.85)",2023-06-17T20:50:41.177Z,168703504117702
"-- starting hand #34 (id: rnfmoevzzmpz)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-06-17T20:50:41.177Z,168703504117701
"The player ""brett @ eKDH2_sDqp"" stand up with the stack of 241.85.",2023-06-17T20:50:41.177Z,168703504117700
"-- ending hand #33 --",2023-06-17T20:50:35.234Z,168703503523402
"""Phil @ GCtQMn_f2C"" collected 7.00 from pot",2023-06-17T20:50:35.234Z,168703503523401
"Uncalled bet of 3.00 returned to ""Phil @ GCtQMn_f2C""",2023-06-17T20:50:35.234Z,168703503523400
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-17T20:50:34.417Z,168703503441700
"""Phil @ GCtQMn_f2C"" bets 3.00",2023-06-17T20:50:33.447Z,168703503344700
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-17T20:50:30.879Z,168703503087900
