entry,at,order
"The player ""Wolfman @ OQt0j5gGry"" quits the game with a stack of 44.81.",2023-05-30T01:35:27.811Z,168541052781100
"The player ""Goml @ x_vjtZmgev"" stand up with the stack of 87.50.",2023-05-30T01:34:56.951Z,168541049695100
"-- ending hand #312 --",2023-05-30T01:34:51.021Z,168541049102102
"""Goml @ x_vjtZmgev"" collected 2.00 from pot",2023-05-30T01:34:51.021Z,168541049102101
"Uncalled bet of 1.00 returned to ""Goml @ x_vjtZmgev""",2023-05-30T01:34:51.021Z,168541049102100
"""Wolfman @ OQt0j5gGry"" folds",2023-05-30T01:34:50.175Z,168541049017500
"""Goml @ x_vjtZmgev"" bets 1.00",2023-05-30T01:34:43.547Z,168541048354700
"Turn: A♦, 2♣, 8♦ [8♠]",2023-05-30T01:34:41.007Z,168541048100700
"""Wolfman @ OQt0j5gGry"" checks",2023-05-30T01:34:40.144Z,168541048014400
"""Goml @ x_vjtZmgev"" checks",2023-05-30T01:34:38.512Z,168541047851200
"Flop:  [A♦, 2♣, 8♦]",2023-05-30T01:34:37.203Z,168541047720300
"""Goml @ x_vjtZmgev"" checks",2023-05-30T01:34:36.353Z,168541047635300
"""Wolfman @ OQt0j5gGry"" calls 1.00",2023-05-30T01:34:34.725Z,168541047472500
"""Goml @ x_vjtZmgev"" posts a big blind of 1.00",2023-05-30T01:34:22.061Z,168541046206106
"""Wolfman @ OQt0j5gGry"" posts a small blind of 0.50",2023-05-30T01:34:22.061Z,168541046206105
"Player stacks: #3 ""Goml @ x_vjtZmgev"" (86.50) | #7 ""Wolfman @ OQt0j5gGry"" (45.81)",2023-05-30T01:34:22.061Z,168541046206102
"-- starting hand #312 (id: knaphfsz17jv)  (No Limit Texas Hold'em) (dealer: ""Wolfman @ OQt0j5gGry"") --",2023-05-30T01:34:22.061Z,168541046206101
"The player ""Jonathan @ ri6Kxoc4tb"" quits the game with a stack of 261.58.",2023-05-30T01:34:22.061Z,168541046206100
"-- ending hand #311 --",2023-05-30T01:34:19.056Z,168541045905603
"""Goml @ x_vjtZmgev"" shows a 9♣, 3♣.",2023-05-30T01:34:19.056Z,168541045905602
"""Wolfman @ OQt0j5gGry"" collected 2.00 from pot with Pair, K's (combination: K♠, K♥, Q♦, J♥, 10♥)",2023-05-30T01:34:19.056Z,168541045905601
"""Wolfman @ OQt0j5gGry"" shows a 3♠, Q♦.",2023-05-30T01:34:19.056Z,168541045905600
"""Goml @ x_vjtZmgev"" checks",2023-05-30T01:34:18.186Z,168541045818600
"""Wolfman @ OQt0j5gGry"" checks",2023-05-30T01:34:17.233Z,168541045723300
"River: 10♥, 8♠, K♠, K♥ [J♥]",2023-05-30T01:34:10.849Z,168541045084900
"""Goml @ x_vjtZmgev"" checks",2023-05-30T01:34:09.982Z,168541044998200
"""Wolfman @ OQt0j5gGry"" checks",2023-05-30T01:34:09.024Z,168541044902400
"Turn: 10♥, 8♠, K♠ [K♥]",2023-05-30T01:33:59.026Z,168541043902600
