entry,at,order
"The player ""BP @ _zk24nnVPb"" stand up with the stack of 231.74.",2023-06-23T07:32:15.096Z,168750553509600
"-- ending hand #305 --",2023-06-23T07:31:59.068Z,168750551906803
"""MJK @ 8xuYQoCB-e"" shows a 10♥, 2♣, 10♦, 6♠.",2023-06-23T07:31:59.068Z,168750551906802
"""BP @ _zk24nnVPb"" collected 4.00 from pot with Two Pair (combination: 7♥, 7♠, 3♣, 3♥, A♦)",2023-06-23T07:31:59.068Z,168750551906801
"""BP @ _zk24nnVPb"" shows a 5♦, 3♣, 7♥, 5♥.",2023-06-23T07:31:59.068Z,168750551906800
"""BP @ _zk24nnVPb"" calls 1.00",2023-06-23T07:31:58.187Z,168750551818700
"""MJK @ 8xuYQoCB-e"" bets 1.00",2023-06-23T07:31:56.968Z,168750551696800
"River: 6♣, A♦, 7♠, 3♥ [9♦]",2023-06-23T07:31:55.664Z,168750551566400
"The admin ""MJK @ 8xuYQoCB-e"" enqueued the game stop on next hand.",2023-06-23T07:31:55.212Z,168750551521200
"""BP @ _zk24nnVPb"" checks",2023-06-23T07:31:54.772Z,168750551477200
"""MJK @ 8xuYQoCB-e"" checks",2023-06-23T07:31:52.109Z,168750551210900
"Turn: 6♣, A♦, 7♠ [3♥]",2023-06-23T07:31:51.325Z,168750551132500
"""BP @ _zk24nnVPb"" checks",2023-06-23T07:31:50.515Z,168750551051500
"""MJK @ 8xuYQoCB-e"" checks",2023-06-23T07:31:49.123Z,168750550912300
"Flop:  [6♣, A♦, 7♠]",2023-06-23T07:31:48.218Z,168750550821800
"""MJK @ 8xuYQoCB-e"" checks",2023-06-23T07:31:47.397Z,168750550739700
"""BP @ _zk24nnVPb"" calls 1.00",2023-06-23T07:31:45.957Z,168750550595700
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-06-23T07:31:44.516Z,168750550451605
"""BP @ _zk24nnVPb"" posts a small blind of 0.50",2023-06-23T07:31:44.516Z,168750550451604
"Player stacks: #1 ""MJK @ 8xuYQoCB-e"" (290.26) | #8 ""BP @ _zk24nnVPb"" (229.74)",2023-06-23T07:31:44.516Z,168750550451601
"-- starting hand #305 (id: nhuiji6mcmqv)  (Pot Limit Omaha Hi) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-23T07:31:44.516Z,168750550451600
"-- ending hand #304 --",2023-06-23T07:31:38.610Z,168750549861002
"""MJK @ 8xuYQoCB-e"" collected 2.00 from pot",2023-06-23T07:31:38.610Z,168750549861001
"Uncalled bet of 2.00 returned to ""MJK @ 8xuYQoCB-e""",2023-06-23T07:31:38.610Z,168750549861000
"""BP @ _zk24nnVPb"" folds",2023-06-23T07:31:37.747Z,168750549774700
"""MJK @ 8xuYQoCB-e"" raises to 3.00",2023-06-23T07:31:35.575Z,168750549557500
"""BP @ _zk24nnVPb"" posts a big blind of 1.00",2023-06-23T07:31:33.203Z,168750549320305
"""MJK @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-06-23T07:31:33.203Z,168750549320304
"Player stacks: #1 ""MJK @ 8xuYQoCB-e"" (289.26) | #8 ""BP @ _zk24nnVPb"" (230.74)",2023-06-23T07:31:33.203Z,168750549320301
"-- starting hand #304 (id: pcwjehqsxsi4)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-23T07:31:33.203Z,168750549320300
