entry,at,order
"The admin updated the player ""chipPunts @ g44V52AWTa"" stack from 265.63 to 275.63.",2023-05-18T16:59:55.307Z,168442919530701
"WARNING: the admin queued the stack change for the player ""chipPunts @ g44V52AWTa"" adding 10.00 chips in the next hand.",2023-05-18T16:59:55.307Z,168442919530700
"The admin updated the player ""Seneca @ 3K1udw0KZ8"" stack from 271.50 to 261.50.",2023-05-18T16:59:49.026Z,168442918902601
"WARNING: the admin queued the stack change for the player ""Seneca @ 3K1udw0KZ8"" removing 10.00 chips in the next hand.",2023-05-18T16:59:49.026Z,168442918902600
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 1412.49.",2023-05-18T06:34:34.055Z,168439167405500
"The player ""Phil @ 9Mudcn7Xny"" quits the game with a stack of 214.70.",2023-05-18T06:34:29.319Z,168439166931900
"The player ""Seneca @ 3K1udw0KZ8"" sit back with the stack of 271.50.",2023-05-18T06:32:52.273Z,168439157227300
"The player ""Hayden @ 2LakBwr16r"" sit back with the stack of 1412.49.",2023-05-18T06:31:54.702Z,168439151470200
"The player ""Phil @ 9Mudcn7Xny"" sit back with the stack of 214.70.",2023-05-18T06:31:24.908Z,168439148490800
"The player ""Seneca @ 3K1udw0KZ8"" stand up with the stack of 271.50.",2023-05-18T06:31:22.357Z,168439148235700
"-- ending hand #313 --",2023-05-18T06:31:19.435Z,168439147943502
"""Seneca @ 3K1udw0KZ8"" collected 2.00 from pot",2023-05-18T06:31:19.435Z,168439147943501
"Uncalled bet of 1.00 returned to ""Seneca @ 3K1udw0KZ8""",2023-05-18T06:31:19.435Z,168439147943500
"""chipPunts @ g44V52AWTa"" folds",2023-05-18T06:31:18.592Z,168439147859200
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-05-18T06:31:03.559Z,168439146355906
"""chipPunts @ g44V52AWTa"" posts a small blind of 1.00",2023-05-18T06:31:03.559Z,168439146355905
"Player stacks: #3 ""Seneca @ 3K1udw0KZ8"" (270.50) | #7 ""chipPunts @ g44V52AWTa"" (266.63)",2023-05-18T06:31:03.559Z,168439146355902
"-- starting hand #313 (id: icux5ftg1xnm)  (No Limit Texas Hold'em) (dealer: ""chipPunts @ g44V52AWTa"") --",2023-05-18T06:31:03.559Z,168439146355901
"The player ""Phil @ 9Mudcn7Xny"" stand up with the stack of 214.70.",2023-05-18T06:31:03.559Z,168439146355900
"-- ending hand #312 --",2023-05-18T06:31:00.620Z,168439146062002
"""Seneca @ 3K1udw0KZ8"" collected 6.00 from pot",2023-05-18T06:31:00.620Z,168439146062001
"Uncalled bet of 3.00 returned to ""Seneca @ 3K1udw0KZ8""",2023-05-18T06:31:00.620Z,168439146062000
"""Phil @ 9Mudcn7Xny"" folds",2023-05-18T06:30:59.757Z,168439145975700
"""chipPunts @ g44V52AWTa"" folds",2023-05-18T06:30:58.898Z,168439145889800
"""Seneca @ 3K1udw0KZ8"" raises to 5.00",2023-05-18T06:30:19.069Z,168439141906900
"""Phil @ 9Mudcn7Xny"" posts a missing small blind of 1.00",2023-05-18T06:30:09.677Z,168439140967708
"""Phil @ 9Mudcn7Xny"" posts a big blind of 2.00",2023-05-18T06:30:09.677Z,168439140967707
"""chipPunts @ g44V52AWTa"" posts a small blind of 1.00",2023-05-18T06:30:09.677Z,168439140967706
