entry,at,order
"The player ""Don @ 2reXyt8laG"" stand up with the stack of 169.86.",2023-06-06T07:00:07.108Z,168603480710800
"-- ending hand #322 --",2023-06-06T07:00:01.199Z,168603480119902
"""Don @ 2reXyt8laG"" collected 1.00 from pot",2023-06-06T07:00:01.199Z,168603480119901
"Uncalled bet of 0.50 returned to ""Don @ 2reXyt8laG""",2023-06-06T07:00:01.199Z,168603480119900
"""BP @ _zk24nnVPb"" folds",2023-06-06T07:00:00.293Z,168603480029300
"""Don @ 2reXyt8laG"" posts a big blind of 1.00",2023-06-06T06:59:58.994Z,168603479899406
"""BP @ _zk24nnVPb"" posts a small blind of 0.50",2023-06-06T06:59:58.994Z,168603479899405
"Player stacks: #1 ""BP @ _zk24nnVPb"" (250.81) | #5 ""Don @ 2reXyt8laG"" (169.36)",2023-06-06T06:59:58.994Z,168603479899402
"-- starting hand #322 (id: antpzkmgo71g)  (Pot Limit Omaha Hi) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-06T06:59:58.994Z,168603479899401
"The player ""Dp @ YyWpODWXWx"" stand up with the stack of 284.96.",2023-06-06T06:59:58.994Z,168603479899400
"-- ending hand #321 --",2023-06-06T06:59:52.989Z,168603479298902
"""BP @ _zk24nnVPb"" collected 12.00 from pot",2023-06-06T06:59:52.989Z,168603479298901
"Uncalled bet of 9.00 returned to ""BP @ _zk24nnVPb""",2023-06-06T06:59:52.989Z,168603479298900
"""Don @ 2reXyt8laG"" folds",2023-06-06T06:59:52.122Z,168603479212200
"""BP @ _zk24nnVPb"" raises to 12.00",2023-06-06T06:59:51.231Z,168603479123100
"""Don @ 2reXyt8laG"" bets 3.00",2023-06-06T06:59:47.122Z,168603478712200
"""BP @ _zk24nnVPb"" checks",2023-06-06T06:59:43.860Z,168603478386000
"Flop:  [6♦, 10♦, 4♥]",2023-06-06T06:59:42.579Z,168603478257900
"""BP @ _zk24nnVPb"" calls 3.00",2023-06-06T06:59:41.761Z,168603478176100
"""Don @ 2reXyt8laG"" raises to 3.00",2023-06-06T06:59:40.810Z,168603478081000
"""BP @ _zk24nnVPb"" calls 1.00",2023-06-06T06:59:37.773Z,168603477777300
"""Dp @ YyWpODWXWx"" folds",2023-06-06T06:59:36.644Z,168603477664400
"""Don @ 2reXyt8laG"" posts a big blind of 1.00",2023-06-06T06:59:34.560Z,168603477456006
"""BP @ _zk24nnVPb"" posts a small blind of 0.50",2023-06-06T06:59:34.560Z,168603477456005
"Player stacks: #1 ""BP @ _zk24nnVPb"" (244.81) | #5 ""Don @ 2reXyt8laG"" (175.36) | #10 ""Dp @ YyWpODWXWx"" (284.96)",2023-06-06T06:59:34.560Z,168603477456001
"-- starting hand #321 (id: crke6zjbsdb8)  (Pot Limit Omaha Hi) (dealer: ""Dp @ YyWpODWXWx"") --",2023-06-06T06:59:34.560Z,168603477456000
"-- ending hand #320 --",2023-06-06T06:59:28.647Z,168603476864702
"""Don @ 2reXyt8laG"" collected 3.00 from pot",2023-06-06T06:59:28.647Z,168603476864701
"Uncalled bet of 1.50 returned to ""Don @ 2reXyt8laG""",2023-06-06T06:59:28.647Z,168603476864700
"""BP @ _zk24nnVPb"" folds",2023-06-06T06:59:27.844Z,168603476784400
"""Dp @ YyWpODWXWx"" folds",2023-06-06T06:59:26.800Z,168603476680000
"""Don @ 2reXyt8laG"" bets 1.50",2023-06-06T06:59:25.922Z,168603476592200
"""BP @ _zk24nnVPb"" checks",2023-06-06T06:59:23.130Z,168603476313000
"""Dp @ YyWpODWXWx"" checks",2023-06-06T06:59:22.188Z,168603476218800
"Flop:  [10♦, 9♠, 6♠]",2023-06-06T06:59:20.349Z,168603476034900
"""BP @ _zk24nnVPb"" checks",2023-06-06T06:59:19.447Z,168603475944700
"""Dp @ YyWpODWXWx"" calls 1.00",2023-06-06T06:59:18.468Z,168603475846800
"""Don @ 2reXyt8laG"" calls 1.00",2023-06-06T06:59:15.572Z,168603475557200
"""BP @ _zk24nnVPb"" posts a big blind of 1.00",2023-06-06T06:59:12.947Z,168603475294706
"""Dp @ YyWpODWXWx"" posts a small blind of 0.50",2023-06-06T06:59:12.947Z,168603475294705
"Player stacks: #1 ""BP @ _zk24nnVPb"" (245.81) | #5 ""Don @ 2reXyt8laG"" (173.36) | #10 ""Dp @ YyWpODWXWx"" (285.96)",2023-06-06T06:59:12.947Z,168603475294701
"-- starting hand #320 (id: umsd4wem0xpx)  (Pot Limit Omaha Hi) (dealer: ""Don @ 2reXyt8laG"") --",2023-06-06T06:59:12.947Z,168603475294700
"-- ending hand #319 --",2023-06-06T06:59:06.942Z,168603474694204
"""Don @ 2reXyt8laG"" collected 22.50 from pot with Straight (combination: A♦, K♣, Q♦, J♦, 10♥)",2023-06-06T06:59:06.942Z,168603474694203
"""Don @ 2reXyt8laG"" shows a J♦, K♠, 9♥, A♦.",2023-06-06T06:59:06.942Z,168603474694202
"""BP @ _zk24nnVPb"" collected 22.50 from pot with Straight (combination: A♥, K♣, Q♦, J♣, 10♥)",2023-06-06T06:59:06.942Z,168603474694201
"""BP @ _zk24nnVPb"" shows a 10♣, A♥, Q♣, J♣.",2023-06-06T06:59:06.942Z,168603474694200
"""BP @ _zk24nnVPb"" calls 11.25",2023-06-06T06:59:06.112Z,168603474611200
"""Don @ 2reXyt8laG"" bets 11.25",2023-06-06T06:59:05.207Z,168603474520700
"River: Q♦, K♣, K♦, 3♥ [10♥]",2023-06-06T06:59:00.164Z,168603474016400
"""BP @ _zk24nnVPb"" calls 6.75",2023-06-06T06:58:59.344Z,168603473934400
"""Dp @ YyWpODWXWx"" folds",2023-06-06T06:58:58.057Z,168603473805700
