entry,at,order
"The player ""Phil @ JZNV0izPqn"" quits the game with a stack of 147.25.",2023-06-03T07:29:53.092Z,168577739309200
"The player ""Phil @ JZNV0izPqn"" stand up with the stack of 147.25.",2023-06-03T07:29:21.454Z,168577736145400
"-- ending hand #270 --",2023-06-03T07:29:15.525Z,168577735552502
"""sadmjk @ 8xuYQoCB-e"" collected 1.00 from pot",2023-06-03T07:29:15.525Z,168577735552501
"Uncalled bet of 0.50 returned to ""sadmjk @ 8xuYQoCB-e""",2023-06-03T07:29:15.525Z,168577735552500
"""Phil @ JZNV0izPqn"" folds",2023-06-03T07:29:14.702Z,168577735470200
"""sadmjk @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-06-03T07:29:11.650Z,168577735165005
"""Phil @ JZNV0izPqn"" posts a small blind of 0.50",2023-06-03T07:29:11.650Z,168577735165004
"Player stacks: #2 ""Phil @ JZNV0izPqn"" (147.75) | #8 ""sadmjk @ 8xuYQoCB-e"" (675.03)",2023-06-03T07:29:11.650Z,168577735165001
"-- starting hand #270 (id: mmem6thsq07v)  (Pot Limit Omaha Hi) (dealer: ""Phil @ JZNV0izPqn"") --",2023-06-03T07:29:11.650Z,168577735165000
"-- ending hand #269 --",2023-06-03T07:29:05.720Z,168577734572002
"""Phil @ JZNV0izPqn"" collected 6.00 from pot",2023-06-03T07:29:05.720Z,168577734572001
"Uncalled bet of 6.00 returned to ""Phil @ JZNV0izPqn""",2023-06-03T07:29:05.720Z,168577734572000
"""sadmjk @ 8xuYQoCB-e"" folds",2023-06-03T07:29:04.890Z,168577734489000
"""Phil @ JZNV0izPqn"" raises to 9.00",2023-06-03T07:29:04.015Z,168577734401500
"""sadmjk @ 8xuYQoCB-e"" raises to 3.00",2023-06-03T07:29:02.113Z,168577734211300
"""Phil @ JZNV0izPqn"" posts a big blind of 1.00",2023-06-03T07:28:59.544Z,168577733954405
"""sadmjk @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-06-03T07:28:59.544Z,168577733954404
"Player stacks: #2 ""Phil @ JZNV0izPqn"" (144.75) | #8 ""sadmjk @ 8xuYQoCB-e"" (678.03)",2023-06-03T07:28:59.544Z,168577733954401
"-- starting hand #269 (id: hbdn8jgmqdmh)  (Pot Limit Omaha Hi) (dealer: ""sadmjk @ 8xuYQoCB-e"") --",2023-06-03T07:28:59.544Z,168577733954400
"-- ending hand #268 --",2023-06-03T07:28:53.624Z,168577733362402
"""Phil @ JZNV0izPqn"" collected 6.00 from pot",2023-06-03T07:28:53.624Z,168577733362401
"Uncalled bet of 3.00 returned to ""Phil @ JZNV0izPqn""",2023-06-03T07:28:53.624Z,168577733362400
"""sadmjk @ 8xuYQoCB-e"" folds",2023-06-03T07:28:52.754Z,168577733275400
"""Phil @ JZNV0izPqn"" bets 3.00",2023-06-03T07:28:51.844Z,168577733184400
"""sadmjk @ 8xuYQoCB-e"" checks",2023-06-03T07:28:49.572Z,168577732957200
"Flop:  [7♥, Q♠, 5♦]",2023-06-03T07:28:48.694Z,168577732869400
"""sadmjk @ 8xuYQoCB-e"" calls 3.00",2023-06-03T07:28:47.869Z,168577732786900
"""Phil @ JZNV0izPqn"" raises to 3.00",2023-06-03T07:28:46.975Z,168577732697500
"""sadmjk @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-06-03T07:28:45.419Z,168577732541905
"""Phil @ JZNV0izPqn"" posts a small blind of 0.50",2023-06-03T07:28:45.419Z,168577732541904
"Player stacks: #2 ""Phil @ JZNV0izPqn"" (141.75) | #8 ""sadmjk @ 8xuYQoCB-e"" (681.03)",2023-06-03T07:28:45.419Z,168577732541901
"-- starting hand #268 (id: nvijlsyt43rm)  (Pot Limit Omaha Hi) (dealer: ""Phil @ JZNV0izPqn"") --",2023-06-03T07:28:45.419Z,168577732541900
"-- ending hand #267 --",2023-06-03T07:28:42.487Z,168577732248702
