entry,at,order
"The player ""Phil @ kH2Nd7T9jO"" stand up with the stack of 535.51.",2023-06-21T19:00:43.385Z,168737404338500
"""Ty @ 8ugHyNN1iO"" shows a 7♣, 5♠.",2023-06-21T19:00:39.604Z,168737403960400
"""Jackson @ yXr_bmZ3u2"" shows a 7♥, 5♦.",2023-06-21T19:00:37.771Z,168737403777100
"-- ending hand #121 --",2023-06-21T19:00:36.839Z,168737403683902
"""Jackson @ yXr_bmZ3u2"" collected 44.50 from pot",2023-06-21T19:00:36.839Z,168737403683901
"Uncalled bet of 44.50 returned to ""Jackson @ yXr_bmZ3u2""",2023-06-21T19:00:36.839Z,168737403683900
"""Phil @ kH2Nd7T9jO"" folds",2023-06-21T19:00:36.007Z,168737403600700
"""Jackson @ yXr_bmZ3u2"" bets 44.50",2023-06-21T19:00:35.140Z,168737403514000
"River: 4♠, 6♠, 3♦, K♣ [8♥]",2023-06-21T19:00:31.157Z,168737403115700
"""Phil @ kH2Nd7T9jO"" calls 10.00",2023-06-21T19:00:30.264Z,168737403026400
"""Jackson @ yXr_bmZ3u2"" bets 10.00",2023-06-21T19:00:29.136Z,168737402913600
"Turn: 4♠, 6♠, 3♦ [K♣]",2023-06-21T19:00:24.021Z,168737402402100
"""Phil @ kH2Nd7T9jO"" calls 9.00",2023-06-21T19:00:23.217Z,168737402321700
"""Jackson @ yXr_bmZ3u2"" raises to 9.00",2023-06-21T19:00:20.820Z,168737402082000
"""Phil @ kH2Nd7T9jO"" bets 3.00",2023-06-21T19:00:17.822Z,168737401782200
"""Jackson @ yXr_bmZ3u2"" checks",2023-06-21T19:00:15.817Z,168737401581700
"Flop:  [4♠, 6♠, 3♦]",2023-06-21T19:00:10.736Z,168737401073600
"The admin ""Dp @ 6T4espke1S"" enqueued the game stop on next hand.",2023-06-21T19:00:10.385Z,168737401038500
"""Jackson @ yXr_bmZ3u2"" calls 3.00",2023-06-21T19:00:09.835Z,168737400983500
"""Nick @ YtW9QVbr_b"" folds",2023-06-21T19:00:08.018Z,168737400801800
"""Dp @ 6T4espke1S"" folds",2023-06-21T19:00:07.007Z,168737400700700
"""brett @ eKDH2_sDqp"" folds",2023-06-21T19:00:06.056Z,168737400605600
