entry,at,order
"-- ending hand #225 --",2023-06-15T07:52:13.315Z,168681553331502
"""brett @ eKDH2_sDqp"" collected 2.00 from pot",2023-06-15T07:52:13.315Z,168681553331501
"Uncalled bet of 1.00 returned to ""brett @ eKDH2_sDqp""",2023-06-15T07:52:13.315Z,168681553331500
"""sim @ UPtUESnETm"" folds",2023-06-15T07:52:12.461Z,168681553246100
"""brett @ eKDH2_sDqp"" posts a big blind of 2.00",2023-06-15T07:51:57.444Z,168681551744406
"""sim @ UPtUESnETm"" posts a small blind of 1.00",2023-06-15T07:51:57.444Z,168681551744405
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (365.00) | #9 ""sim @ UPtUESnETm"" (190.29)",2023-06-15T07:51:57.444Z,168681551744402
"-- starting hand #225 (id: d6uzmtsdywr1)  (No Limit Texas Hold'em) (dealer: ""sim @ UPtUESnETm"") --",2023-06-15T07:51:57.444Z,168681551744401
"The player ""Kalp @ j_OvHcd8rZ"" stand up with the stack of 697.00.",2023-06-15T07:51:57.444Z,168681551744400
"-- ending hand #224 --",2023-06-15T07:51:54.496Z,168681551449602
"""Kalp @ j_OvHcd8rZ"" collected 5.00 from pot",2023-06-15T07:51:54.496Z,168681551449601
"Uncalled bet of 4.00 returned to ""Kalp @ j_OvHcd8rZ""",2023-06-15T07:51:54.496Z,168681551449600
"""brett @ eKDH2_sDqp"" folds",2023-06-15T07:51:53.639Z,168681551363900
"""sim @ UPtUESnETm"" folds",2023-06-15T07:51:17.722Z,168681547772200
"""Kalp @ j_OvHcd8rZ"" raises to 6.00",2023-06-15T07:51:01.891Z,168681546189100
"""brett @ eKDH2_sDqp"" posts a big blind of 2.00",2023-06-15T07:50:59.439Z,168681545943906
"""sim @ UPtUESnETm"" posts a small blind of 1.00",2023-06-15T07:50:59.439Z,168681545943905
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (367.00) | #6 ""Kalp @ j_OvHcd8rZ"" (694.00) | #9 ""sim @ UPtUESnETm"" (191.29)",2023-06-15T07:50:59.439Z,168681545943901
"-- starting hand #224 (id: lmvnffj7i1vx)  (No Limit Texas Hold'em) (dealer: ""Kalp @ j_OvHcd8rZ"") --",2023-06-15T07:50:59.439Z,168681545943900
"-- ending hand #223 --",2023-06-15T07:50:53.487Z,168681545348702
"""Kalp @ j_OvHcd8rZ"" collected 4.00 from pot",2023-06-15T07:50:53.487Z,168681545348701
"Uncalled bet of 2.00 returned to ""Kalp @ j_OvHcd8rZ""",2023-06-15T07:50:53.487Z,168681545348700
"""sim @ UPtUESnETm"" folds",2023-06-15T07:50:52.632Z,168681545263200
"""Kalp @ j_OvHcd8rZ"" bets 2.00",2023-06-15T07:50:36.742Z,168681543674200
"Flop:  [7♣, 9♥, A♦]",2023-06-15T07:50:33.664Z,168681543366400
"""sim @ UPtUESnETm"" checks",2023-06-15T07:50:32.819Z,168681543281900
"""Kalp @ j_OvHcd8rZ"" calls 2.00",2023-06-15T07:50:16.934Z,168681541693400
"""brett @ eKDH2_sDqp"" folds",2023-06-15T07:50:14.399Z,168681541439900
"""sim @ UPtUESnETm"" posts a big blind of 2.00",2023-06-15T07:49:59.304Z,168681539930406
"""Kalp @ j_OvHcd8rZ"" posts a small blind of 1.00",2023-06-15T07:49:59.304Z,168681539930405
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (367.00) | #6 ""Kalp @ j_OvHcd8rZ"" (692.00) | #9 ""sim @ UPtUESnETm"" (193.29)",2023-06-15T07:49:59.304Z,168681539930401
"-- starting hand #223 (id: ijw0akkmxntm)  (No Limit Texas Hold'em) (dealer: ""brett @ eKDH2_sDqp"") --",2023-06-15T07:49:59.304Z,168681539930400
"-- ending hand #222 --",2023-06-15T07:49:53.368Z,168681539336802
"""Kalp @ j_OvHcd8rZ"" collected 2.00 from pot",2023-06-15T07:49:53.368Z,168681539336801
"Uncalled bet of 1.00 returned to ""Kalp @ j_OvHcd8rZ""",2023-06-15T07:49:53.368Z,168681539336800
"""brett @ eKDH2_sDqp"" folds",2023-06-15T07:49:52.564Z,168681539256400
"""sim @ UPtUESnETm"" folds",2023-06-15T07:49:26.701Z,168681536670100
"""Kalp @ j_OvHcd8rZ"" posts a big blind of 2.00",2023-06-15T07:49:11.667Z,168681535166706
"""brett @ eKDH2_sDqp"" posts a small blind of 1.00",2023-06-15T07:49:11.667Z,168681535166705
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (368.00) | #6 ""Kalp @ j_OvHcd8rZ"" (691.00) | #9 ""sim @ UPtUESnETm"" (193.29)",2023-06-15T07:49:11.667Z,168681535166701
"-- starting hand #222 (id: sjwoezuhfjzj)  (No Limit Texas Hold'em) (dealer: ""sim @ UPtUESnETm"") --",2023-06-15T07:49:11.667Z,168681535166700
"-- ending hand #221 --",2023-06-15T07:49:05.676Z,168681534567602
"""Kalp @ j_OvHcd8rZ"" collected 5.00 from pot",2023-06-15T07:49:05.676Z,168681534567601
"Uncalled bet of 4.00 returned to ""Kalp @ j_OvHcd8rZ""",2023-06-15T07:49:05.676Z,168681534567600
"""brett @ eKDH2_sDqp"" folds",2023-06-15T07:49:04.856Z,168681534485600
"""sim @ UPtUESnETm"" folds",2023-06-15T07:48:28.860Z,168681530886000
"""Kalp @ j_OvHcd8rZ"" raises to 6.00",2023-06-15T07:48:13.034Z,168681529303400
"""brett @ eKDH2_sDqp"" posts a big blind of 2.00",2023-06-15T07:48:10.038Z,168681529003806
"""sim @ UPtUESnETm"" posts a small blind of 1.00",2023-06-15T07:48:10.038Z,168681529003805
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (370.00) | #6 ""Kalp @ j_OvHcd8rZ"" (688.00) | #9 ""sim @ UPtUESnETm"" (194.29)",2023-06-15T07:48:10.038Z,168681529003801
"-- starting hand #221 (id: tc6fleyzmizw)  (No Limit Texas Hold'em) (dealer: ""Kalp @ j_OvHcd8rZ"") --",2023-06-15T07:48:10.038Z,168681529003800
"-- ending hand #220 --",2023-06-15T07:48:04.135Z,168681528413502
"""Kalp @ j_OvHcd8rZ"" collected 4.00 from pot",2023-06-15T07:48:04.135Z,168681528413501
"Uncalled bet of 5.00 returned to ""Kalp @ j_OvHcd8rZ""",2023-06-15T07:48:04.135Z,168681528413500
"""sim @ UPtUESnETm"" folds",2023-06-15T07:48:03.237Z,168681528323700
"""Kalp @ j_OvHcd8rZ"" raises to 7.00",2023-06-15T07:47:47.387Z,168681526738700
"""brett @ eKDH2_sDqp"" folds",2023-06-15T07:47:44.625Z,168681526462500
"""sim @ UPtUESnETm"" posts a big blind of 2.00",2023-06-15T07:47:29.615Z,168681524961507
"""Kalp @ j_OvHcd8rZ"" posts a small blind of 1.00",2023-06-15T07:47:29.615Z,168681524961506
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (370.00) | #6 ""Kalp @ j_OvHcd8rZ"" (686.00) | #9 ""sim @ UPtUESnETm"" (196.29)",2023-06-15T07:47:29.615Z,168681524961502
"-- starting hand #220 (id: jrjeddqlpfue)  (No Limit Texas Hold'em) (dealer: ""brett @ eKDH2_sDqp"") --",2023-06-15T07:47:29.615Z,168681524961501
"The player ""Senefa @ 3K1udw0KZ8"" stand up with the stack of 983.75.",2023-06-15T07:47:29.615Z,168681524961500
"-- ending hand #219 --",2023-06-15T07:47:23.663Z,168681524366302
"""Kalp @ j_OvHcd8rZ"" collected 2.00 from pot",2023-06-15T07:47:23.663Z,168681524366301
"Uncalled bet of 1.00 returned to ""Kalp @ j_OvHcd8rZ""",2023-06-15T07:47:23.663Z,168681524366300
"""brett @ eKDH2_sDqp"" folds",2023-06-15T07:47:22.812Z,168681524281200
"""Senefa @ 3K1udw0KZ8"" folds",2023-06-15T07:46:56.907Z,168681521690700
"""sim @ UPtUESnETm"" folds",2023-06-15T07:46:55.993Z,168681521599300
"""Kalp @ j_OvHcd8rZ"" posts a big blind of 2.00",2023-06-15T07:46:40.986Z,168681520098607
"""brett @ eKDH2_sDqp"" posts a small blind of 1.00",2023-06-15T07:46:40.986Z,168681520098606
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (371.00) | #6 ""Kalp @ j_OvHcd8rZ"" (685.00) | #9 ""sim @ UPtUESnETm"" (196.29) | #10 ""Senefa @ 3K1udw0KZ8"" (983.75)",2023-06-15T07:46:40.986Z,168681520098601
"-- starting hand #219 (id: wsvsobvyamdv)  (No Limit Texas Hold'em) (dealer: ""Senefa @ 3K1udw0KZ8"") --",2023-06-15T07:46:40.986Z,168681520098600
"-- ending hand #218 --",2023-06-15T07:46:38.081Z,168681519808102
"""Senefa @ 3K1udw0KZ8"" collected 4.00 from pot",2023-06-15T07:46:38.081Z,168681519808101
"Uncalled bet of 4.00 returned to ""Senefa @ 3K1udw0KZ8""",2023-06-15T07:46:38.081Z,168681519808100
"""brett @ eKDH2_sDqp"" folds",2023-06-15T07:46:37.186Z,168681519718600
"""Senefa @ 3K1udw0KZ8"" raises to 6.00",2023-06-15T07:45:21.309Z,168681512130900
"""sim @ UPtUESnETm"" folds",2023-06-15T07:45:17.374Z,168681511737400
"""Kalp @ j_OvHcd8rZ"" folds",2023-06-15T07:45:01.422Z,168681510142200
"""brett @ eKDH2_sDqp"" posts a big blind of 2.00",2023-06-15T07:44:59.928Z,168681509992807
"""Senefa @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-06-15T07:44:59.928Z,168681509992806
