entry,at,order
"The player ""Joe @ goTXqzj-aI"" stand up with the stack of 100.25.",2023-06-02T00:26:10.556Z,168566557055600
"-- ending hand #545 --",2023-06-02T00:26:04.553Z,168566556455302
"""Joe @ goTXqzj-aI"" collected 1.00 from pot",2023-06-02T00:26:04.553Z,168566556455301
"Uncalled bet of 0.50 returned to ""Joe @ goTXqzj-aI""",2023-06-02T00:26:04.553Z,168566556455300
"""Marv @ JIYIXNIUey"" folds",2023-06-02T00:26:03.682Z,168566556368200
"""Joe @ goTXqzj-aI"" posts a big blind of 1.00",2023-06-02T00:25:58.401Z,168566555840105
"""Marv @ JIYIXNIUey"" posts a small blind of 0.50",2023-06-02T00:25:58.401Z,168566555840104
"Player stacks: #1 ""Joe @ goTXqzj-aI"" (99.75) | #4 ""Marv @ JIYIXNIUey"" (228.78)",2023-06-02T00:25:58.401Z,168566555840101
"-- starting hand #545 (id: pnazyhxxhlvw)  (Pot Limit Omaha Hi) (dealer: ""Marv @ JIYIXNIUey"") --",2023-06-02T00:25:58.401Z,168566555840100
"-- ending hand #544 --",2023-06-02T00:25:52.428Z,168566555242802
"""Marv @ JIYIXNIUey"" collected 18.00 from pot",2023-06-02T00:25:52.428Z,168566555242801
"Uncalled bet of 9.00 returned to ""Marv @ JIYIXNIUey""",2023-06-02T00:25:52.428Z,168566555242800
"""Joe @ goTXqzj-aI"" folds",2023-06-02T00:25:51.622Z,168566555162200
"""Marv @ JIYIXNIUey"" bets 9.00",2023-06-02T00:25:33.402Z,168566553340200
"Flop:  [8♦, Q♥, K♦]",2023-06-02T00:25:21.766Z,168566552176600
"""Joe @ goTXqzj-aI"" calls 9.00",2023-06-02T00:25:20.914Z,168566552091400
"""Marv @ JIYIXNIUey"" raises to 9.00",2023-06-02T00:25:18.796Z,168566551879600
"""Joe @ goTXqzj-aI"" raises to 3.00",2023-06-02T00:25:15.632Z,168566551563200
"""Marv @ JIYIXNIUey"" posts a big blind of 1.00",2023-06-02T00:25:11.752Z,168566551175205
"""Joe @ goTXqzj-aI"" posts a small blind of 0.50",2023-06-02T00:25:11.752Z,168566551175204
"Player stacks: #1 ""Joe @ goTXqzj-aI"" (108.75) | #4 ""Marv @ JIYIXNIUey"" (219.78)",2023-06-02T00:25:11.752Z,168566551175201
"-- starting hand #544 (id: qccbpoomcpht)  (Pot Limit Omaha Hi) (dealer: ""Joe @ goTXqzj-aI"") --",2023-06-02T00:25:11.752Z,168566551175200
"-- ending hand #543 --",2023-06-02T00:25:05.819Z,168566550581902
"""Joe @ goTXqzj-aI"" collected 1.00 from pot",2023-06-02T00:25:05.819Z,168566550581901
"Uncalled bet of 0.50 returned to ""Joe @ goTXqzj-aI""",2023-06-02T00:25:05.819Z,168566550581900
"""Marv @ JIYIXNIUey"" folds",2023-06-02T00:25:04.943Z,168566550494300
"""Joe @ goTXqzj-aI"" posts a big blind of 1.00",2023-06-02T00:25:01.721Z,168566550172105
"""Marv @ JIYIXNIUey"" posts a small blind of 0.50",2023-06-02T00:25:01.721Z,168566550172104
"Player stacks: #1 ""Joe @ goTXqzj-aI"" (108.25) | #4 ""Marv @ JIYIXNIUey"" (220.28)",2023-06-02T00:25:01.721Z,168566550172101
"-- starting hand #543 (id: sotpfo59xxjj)  (Pot Limit Omaha Hi) (dealer: ""Marv @ JIYIXNIUey"") --",2023-06-02T00:25:01.721Z,168566550172100
"-- ending hand #542 --",2023-06-02T00:24:55.700Z,168566549570002
"""Marv @ JIYIXNIUey"" collected 6.00 from pot",2023-06-02T00:24:55.700Z,168566549570001
"Uncalled bet of 6.00 returned to ""Marv @ JIYIXNIUey""",2023-06-02T00:24:55.700Z,168566549570000
"""Joe @ goTXqzj-aI"" folds",2023-06-02T00:24:54.869Z,168566549486900
"""Marv @ JIYIXNIUey"" bets 6.00",2023-06-02T00:24:53.747Z,168566549374700
"Turn: 6♣, 5♥, K♥ [2♣]",2023-06-02T00:24:48.358Z,168566548835800
"""Joe @ goTXqzj-aI"" calls 2.00",2023-06-02T00:24:47.469Z,168566548746900
"""Marv @ JIYIXNIUey"" bets 2.00",2023-06-02T00:24:45.622Z,168566548562200
"Flop:  [6♣, 5♥, K♥]",2023-06-02T00:24:40.030Z,168566548003000
"""Marv @ JIYIXNIUey"" checks",2023-06-02T00:24:39.126Z,168566547912600
"""Joe @ goTXqzj-aI"" calls 1.00",2023-06-02T00:24:28.779Z,168566546877900
"""Marv @ JIYIXNIUey"" posts a big blind of 1.00",2023-06-02T00:24:26.014Z,168566546601405
"""Joe @ goTXqzj-aI"" posts a small blind of 0.50",2023-06-02T00:24:26.014Z,168566546601404
"Player stacks: #1 ""Joe @ goTXqzj-aI"" (111.25) | #4 ""Marv @ JIYIXNIUey"" (217.28)",2023-06-02T00:24:26.014Z,168566546601401
"-- starting hand #542 (id: kwmw0b9yrxnz)  (Pot Limit Omaha Hi) (dealer: ""Joe @ goTXqzj-aI"") --",2023-06-02T00:24:26.014Z,168566546601400
"-- ending hand #541 --",2023-06-02T00:24:20.096Z,168566546009602
"""Joe @ goTXqzj-aI"" collected 6.00 from pot",2023-06-02T00:24:20.096Z,168566546009601
"Uncalled bet of 4.00 returned to ""Joe @ goTXqzj-aI""",2023-06-02T00:24:20.096Z,168566546009600
"""Marv @ JIYIXNIUey"" folds",2023-06-02T00:24:19.228Z,168566545922800
"""Joe @ goTXqzj-aI"" bets 4.00",2023-06-02T00:24:17.408Z,168566545740800
