entry,at,order
"The player ""Evan Ding @ _jKZ360m5W"" stand up with the stack of 1305.07.",2023-06-24T08:42:33.914Z,168759615391400
"-- ending hand #591 --",2023-06-24T08:42:27.907Z,168759614790703
"""Kalp @ j_OvHcd8rZ"" shows a 6♣, 5♠.",2023-06-24T08:42:27.907Z,168759614790702
"""Evan Ding @ _jKZ360m5W"" collected 40.00 from pot with Three of a Kind, Q's (combination: Q♥, Q♦, Q♣, K♥, J♣)",2023-06-24T08:42:27.907Z,168759614790701
"""Evan Ding @ _jKZ360m5W"" shows a 4♥, Q♥.",2023-06-24T08:42:27.907Z,168759614790700
"""Kalp @ j_OvHcd8rZ"" checks",2023-06-24T08:42:27.090Z,168759614709000
"""Evan Ding @ _jKZ360m5W"" checks",2023-06-24T08:42:25.509Z,168759614550900
"River: Q♦, K♥, 6♦, Q♣ [J♣]",2023-06-24T08:42:23.866Z,168759614386600
"""Evan Ding @ _jKZ360m5W"" calls 10.00",2023-06-24T08:42:23.018Z,168759614301800
"""Kalp @ j_OvHcd8rZ"" bets 10.00",2023-06-24T08:42:14.215Z,168759613421500
"""Evan Ding @ _jKZ360m5W"" checks",2023-06-24T08:42:10.291Z,168759613029100
"Turn: Q♦, K♥, 6♦ [Q♣]",2023-06-24T08:42:09.356Z,168759612935600
"""Evan Ding @ _jKZ360m5W"" calls 4.00",2023-06-24T08:42:08.488Z,168759612848800
"""Kalp @ j_OvHcd8rZ"" bets 4.00",2023-06-24T08:42:06.850Z,168759612685000
"""Evan Ding @ _jKZ360m5W"" checks",2023-06-24T08:42:04.031Z,168759612403100
"Flop:  [Q♦, K♥, 6♦]",2023-06-24T08:42:02.547Z,168759612254700
"""Evan Ding @ _jKZ360m5W"" calls 6.00",2023-06-24T08:42:01.675Z,168759612167500
"""Kalp @ j_OvHcd8rZ"" raises to 6.00",2023-06-24T08:42:00.257Z,168759612025700
"""Evan Ding @ _jKZ360m5W"" posts a big blind of 2.00",2023-06-24T08:41:58.008Z,168759611800805
"""Kalp @ j_OvHcd8rZ"" posts a small blind of 1.00",2023-06-24T08:41:58.008Z,168759611800804
"Player stacks: #7 ""Evan Ding @ _jKZ360m5W"" (1285.07) | #10 ""Kalp @ j_OvHcd8rZ"" (877.33)",2023-06-24T08:41:58.008Z,168759611800801
"-- starting hand #591 (id: rsvsypfrd6gw)  (No Limit Texas Hold'em) (dealer: ""Kalp @ j_OvHcd8rZ"") --",2023-06-24T08:41:58.008Z,168759611800800
"""Kalp @ j_OvHcd8rZ"" shows a 5♦, 3♣.",2023-06-24T08:41:52.782Z,168759611278200
"-- ending hand #590 --",2023-06-24T08:41:51.403Z,168759611140302
"""Evan Ding @ _jKZ360m5W"" collected 12.00 from pot",2023-06-24T08:41:51.403Z,168759611140301
"Uncalled bet of 6.00 returned to ""Evan Ding @ _jKZ360m5W""",2023-06-24T08:41:51.403Z,168759611140300
"""Kalp @ j_OvHcd8rZ"" folds",2023-06-24T08:41:50.534Z,168759611053400
"""Evan Ding @ _jKZ360m5W"" bets 6.00",2023-06-24T08:41:49.580Z,168759610958000
"""Kalp @ j_OvHcd8rZ"" checks",2023-06-24T08:41:46.581Z,168759610658100
"Flop:  [A♣, 7♣, 7♥]",2023-06-24T08:41:44.935Z,168759610493500
"""Kalp @ j_OvHcd8rZ"" calls 6.00",2023-06-24T08:41:44.105Z,168759610410500
"""Evan Ding @ _jKZ360m5W"" raises to 6.00",2023-06-24T08:41:39.348Z,168759609934800
"""Kalp @ j_OvHcd8rZ"" posts a big blind of 2.00",2023-06-24T08:41:37.325Z,168759609732505
"""Evan Ding @ _jKZ360m5W"" posts a small blind of 1.00",2023-06-24T08:41:37.325Z,168759609732504
"Player stacks: #7 ""Evan Ding @ _jKZ360m5W"" (1279.07) | #10 ""Kalp @ j_OvHcd8rZ"" (883.33)",2023-06-24T08:41:37.325Z,168759609732501
"-- starting hand #590 (id: tbssemf70ye1)  (No Limit Texas Hold'em) (dealer: ""Evan Ding @ _jKZ360m5W"") --",2023-06-24T08:41:37.325Z,168759609732500
"-- ending hand #589 --",2023-06-24T08:41:31.357Z,168759609135702
"""Kalp @ j_OvHcd8rZ"" collected 4.00 from pot",2023-06-24T08:41:31.357Z,168759609135701
"Uncalled bet of 4.00 returned to ""Kalp @ j_OvHcd8rZ""",2023-06-24T08:41:31.357Z,168759609135700
"""Evan Ding @ _jKZ360m5W"" folds",2023-06-24T08:41:30.519Z,168759609051900
"""Kalp @ j_OvHcd8rZ"" raises to 6.00",2023-06-24T08:41:29.489Z,168759608948900
"""Evan Ding @ _jKZ360m5W"" posts a big blind of 2.00",2023-06-24T08:41:26.777Z,168759608677705
"""Kalp @ j_OvHcd8rZ"" posts a small blind of 1.00",2023-06-24T08:41:26.777Z,168759608677704
"Player stacks: #7 ""Evan Ding @ _jKZ360m5W"" (1281.07) | #10 ""Kalp @ j_OvHcd8rZ"" (881.33)",2023-06-24T08:41:26.777Z,168759608677701
"-- starting hand #589 (id: yocyno53dgxd)  (No Limit Texas Hold'em) (dealer: ""Kalp @ j_OvHcd8rZ"") --",2023-06-24T08:41:26.777Z,168759608677700
"-- ending hand #588 --",2023-06-24T08:41:20.772Z,168759608077203
"""Kalp @ j_OvHcd8rZ"" shows a A♠, 7♦.",2023-06-24T08:41:20.772Z,168759608077202
"""Evan Ding @ _jKZ360m5W"" collected 56.00 from pot with Pair, J's (combination: J♠, J♥, 10♣, 8♣, 6♦)",2023-06-24T08:41:20.772Z,168759608077201
"""Evan Ding @ _jKZ360m5W"" shows a 3♠, J♠.",2023-06-24T08:41:20.772Z,168759608077200
"""Evan Ding @ _jKZ360m5W"" calls 16.00",2023-06-24T08:41:19.959Z,168759607995900
"""Kalp @ j_OvHcd8rZ"" bets 16.00",2023-06-24T08:41:18.774Z,168759607877400
"River: J♥, 10♣, 6♦, 2♣ [8♣]",2023-06-24T08:41:07.116Z,168759606711600
"""Evan Ding @ _jKZ360m5W"" checks",2023-06-24T08:41:06.310Z,168759606631000
"""Kalp @ j_OvHcd8rZ"" checks",2023-06-24T08:41:04.765Z,168759606476500
"Turn: J♥, 10♣, 6♦ [2♣]",2023-06-24T08:41:02.074Z,168759606207400
