entry,at,order
"The player ""Dan @ J43i3-p5Ll"" stand up with the stack of 229.86.",2023-05-27T09:17:05.830Z,168517902583001
"The player ""Tripp @ _ZMbVR0_2e"" stand up with the stack of 131.33.",2023-05-27T09:17:05.830Z,168517902583000
"-- ending hand #327 --",2023-05-27T09:16:59.822Z,168517901982203
"""Dan @ J43i3-p5Ll"" shows a 9♠, 2♠.",2023-05-27T09:16:59.822Z,168517901982202
"""Tripp @ _ZMbVR0_2e"" collected 36.00 from pot with Straight, 6 High (combination: 6♠, 5♥, 4♣, 3♠, 2♣)",2023-05-27T09:16:59.822Z,168517901982201
"""Tripp @ _ZMbVR0_2e"" shows a 4♣, 3♠.",2023-05-27T09:16:59.822Z,168517901982200
"""Tripp @ _ZMbVR0_2e"" calls 10.00",2023-05-27T09:16:59.006Z,168517901900600
"""Dan @ J43i3-p5Ll"" bets 10.00",2023-05-27T09:16:58.154Z,168517901815400
"River: 6♠, 5♥, 8♣, Q♣ [2♣]",2023-05-27T09:16:54.019Z,168517901401900
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-27T09:16:53.213Z,168517901321300
"""Dan @ J43i3-p5Ll"" checks",2023-05-27T09:16:51.612Z,168517901161200
"Turn: 6♠, 5♥, 8♣ [Q♣]",2023-05-27T09:16:50.257Z,168517901025700
"""Dan @ J43i3-p5Ll"" calls 4.00",2023-05-27T09:16:49.449Z,168517900944900
"""Tripp @ _ZMbVR0_2e"" bets 4.00",2023-05-27T09:16:44.259Z,168517900425900
"""Dan @ J43i3-p5Ll"" checks",2023-05-27T09:16:41.363Z,168517900136300
"Flop:  [6♠, 5♥, 8♣]",2023-05-27T09:16:39.449Z,168517899944900
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-27T09:16:38.633Z,168517899863300
"""Dan @ J43i3-p5Ll"" calls 4.00",2023-05-27T09:16:37.069Z,168517899706900
"""Tripp @ _ZMbVR0_2e"" posts a straddle of 4.00",2023-05-27T09:16:24.940Z,168517898494007
"""Dan @ J43i3-p5Ll"" posts a big blind of 2.00",2023-05-27T09:16:24.940Z,168517898494006
"""Tripp @ _ZMbVR0_2e"" posts a small blind of 1.00",2023-05-27T09:16:24.940Z,168517898494005
"Player stacks: #3 ""Dan @ J43i3-p5Ll"" (247.86) | #5 ""Tripp @ _ZMbVR0_2e"" (113.33)",2023-05-27T09:16:24.940Z,168517898494002
"-- starting hand #327 (id: vm1glynvsdii)  (No Limit Texas Hold'em) (dealer: ""Tripp @ _ZMbVR0_2e"") --",2023-05-27T09:16:24.940Z,168517898494001
"The player ""Brett @ VeVXdEFdHD"" stand up with the stack of 662.19.",2023-05-27T09:16:24.940Z,168517898494000
"-- ending hand #326 --",2023-05-27T09:16:18.929Z,168517897892903
"""Tripp @ _ZMbVR0_2e"" shows a J♠, 3♠.",2023-05-27T09:16:18.929Z,168517897892902
"""Dan @ J43i3-p5Ll"" collected 46.00 from pot with Pair, 10's (combination: 10♣, 10♦, A♠, K♥, 9♦)",2023-05-27T09:16:18.929Z,168517897892901
"""Dan @ J43i3-p5Ll"" shows a 10♣, 2♠.",2023-05-27T09:16:18.929Z,168517897892900
"""Dan @ J43i3-p5Ll"" checks",2023-05-27T09:16:18.076Z,168517897807600
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-27T09:16:16.975Z,168517897697500
"River: K♥, 9♦, 3♣, A♠ [10♦]",2023-05-27T09:16:14.978Z,168517897497800
"""Dan @ J43i3-p5Ll"" checks",2023-05-27T09:16:14.161Z,168517897416100
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-27T09:16:13.290Z,168517897329000
"Turn: K♥, 9♦, 3♣ [A♠]",2023-05-27T09:16:08.921Z,168517896892100
"""Tripp @ _ZMbVR0_2e"" calls 12.00",2023-05-27T09:16:08.021Z,168517896802100
"""Dan @ J43i3-p5Ll"" bets 12.00",2023-05-27T09:16:07.157Z,168517896715700
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-27T09:16:03.410Z,168517896341000
"Flop:  [K♥, 9♦, 3♣]",2023-05-27T09:16:00.711Z,168517896071100
"""Brett @ VeVXdEFdHD"" folds",2023-05-27T09:15:59.874Z,168517895987400
"""Tripp @ _ZMbVR0_2e"" calls 10.00",2023-05-27T09:15:50.404Z,168517895040400
"""Dan @ J43i3-p5Ll"" raises to 10.00",2023-05-27T09:15:48.918Z,168517894891800
"""Brett @ VeVXdEFdHD"" posts a big blind of 2.00",2023-05-27T09:15:38.293Z,168517893829306
"""Tripp @ _ZMbVR0_2e"" posts a small blind of 1.00",2023-05-27T09:15:38.293Z,168517893829305
"Player stacks: #3 ""Dan @ J43i3-p5Ll"" (223.86) | #5 ""Tripp @ _ZMbVR0_2e"" (135.33) | #9 ""Brett @ VeVXdEFdHD"" (664.19)",2023-05-27T09:15:38.293Z,168517893829301
"-- starting hand #326 (id: fwykbpk4duae)  (No Limit Texas Hold'em) (dealer: ""Dan @ J43i3-p5Ll"") --",2023-05-27T09:15:38.293Z,168517893829300
"-- ending hand #325 --",2023-05-27T09:15:35.378Z,168517893537802
"""Dan @ J43i3-p5Ll"" collected 6.00 from pot",2023-05-27T09:15:35.378Z,168517893537801
"Uncalled bet of 6.00 returned to ""Dan @ J43i3-p5Ll""",2023-05-27T09:15:35.378Z,168517893537800
"""Brett @ VeVXdEFdHD"" folds",2023-05-27T09:15:34.568Z,168517893456800
