entry,at,order
"The player ""Brax @ bLrRVH0l8e"" canceled the seat request.",2023-06-06T19:26:33.115Z,168607959311500
"The player ""Brax @ bLrRVH0l8e"" requested a seat.",2023-06-06T19:25:29.510Z,168607952951000
"The player ""Gill ipad @ rBxx2OqQ80"" stand up with the stack of 596.41.",2023-06-06T07:04:37.877Z,168603507787700
"-- ending hand #480 --",2023-06-06T07:04:31.905Z,168603507190502
"""Tomson @ zO5fBqoYCX"" collected 4.00 from pot",2023-06-06T07:04:31.905Z,168603507190501
"Uncalled bet of 4.00 returned to ""Tomson @ zO5fBqoYCX""",2023-06-06T07:04:31.905Z,168603507190500
"""Gill ipad @ rBxx2OqQ80"" folds",2023-06-06T07:04:31.063Z,168603507106300
"""Tomson @ zO5fBqoYCX"" bets 4.00",2023-06-06T07:04:30.198Z,168603507019800
"""Gill ipad @ rBxx2OqQ80"" checks",2023-06-06T07:04:27.523Z,168603506752300
"Flop:  [9♠, 9♦, 10♠]",2023-06-06T07:04:23.539Z,168603506353900
"""Gill ipad @ rBxx2OqQ80"" checks",2023-06-06T07:04:22.688Z,168603506268800
"""Tomson @ zO5fBqoYCX"" calls 2.00",2023-06-06T07:04:21.201Z,168603506120100
"""Gill ipad @ rBxx2OqQ80"" posts a big blind of 2.00",2023-06-06T07:04:19.044Z,168603505904405
"""Tomson @ zO5fBqoYCX"" posts a small blind of 1.00",2023-06-06T07:04:19.044Z,168603505904404
"Player stacks: #6 ""Tomson @ zO5fBqoYCX"" (368.81) | #8 ""Gill ipad @ rBxx2OqQ80"" (598.41)",2023-06-06T07:04:19.044Z,168603505904401
"-- starting hand #480 (id: uqfuvy8gkezz)  (No Limit Texas Hold'em) (dealer: ""Tomson @ zO5fBqoYCX"") --",2023-06-06T07:04:19.044Z,168603505904400
"-- ending hand #479 --",2023-06-06T07:04:13.077Z,168603505307702
"""Gill ipad @ rBxx2OqQ80"" collected 12.00 from pot",2023-06-06T07:04:13.077Z,168603505307701
"Uncalled bet of 2.00 returned to ""Gill ipad @ rBxx2OqQ80""",2023-06-06T07:04:13.077Z,168603505307700
"""Tomson @ zO5fBqoYCX"" folds",2023-06-06T07:04:12.271Z,168603505227100
"""Gill ipad @ rBxx2OqQ80"" bets 2.00",2023-06-06T07:03:57.799Z,168603503779900
"""Tomson @ zO5fBqoYCX"" checks",2023-06-06T07:03:55.395Z,168603503539500
"Turn: 6♠, J♦, 6♦ [K♦]",2023-06-06T07:03:48.981Z,168603502898100
"""Gill ipad @ rBxx2OqQ80"" checks",2023-06-06T07:03:48.178Z,168603502817800
"""Tomson @ zO5fBqoYCX"" checks",2023-06-06T07:03:46.269Z,168603502626900
"Flop:  [6♠, J♦, 6♦]",2023-06-06T07:03:41.573Z,168603502157300
"""Tomson @ zO5fBqoYCX"" calls 6.00",2023-06-06T07:03:40.723Z,168603502072300
"""Gill ipad @ rBxx2OqQ80"" raises to 6.00",2023-06-06T07:03:39.348Z,168603501934800
"""Tomson @ zO5fBqoYCX"" posts a big blind of 2.00",2023-06-06T07:03:36.882Z,168603501688205
"""Gill ipad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-06-06T07:03:36.882Z,168603501688204
"Player stacks: #6 ""Tomson @ zO5fBqoYCX"" (374.81) | #8 ""Gill ipad @ rBxx2OqQ80"" (592.41)",2023-06-06T07:03:36.882Z,168603501688201
"-- starting hand #479 (id: n30bopqsd6oe)  (No Limit Texas Hold'em) (dealer: ""Gill ipad @ rBxx2OqQ80"") --",2023-06-06T07:03:36.882Z,168603501688200
"-- ending hand #478 --",2023-06-06T07:03:30.961Z,168603501096102
"""Gill ipad @ rBxx2OqQ80"" collected 2.00 from pot",2023-06-06T07:03:30.961Z,168603501096101
"Uncalled bet of 1.00 returned to ""Gill ipad @ rBxx2OqQ80""",2023-06-06T07:03:30.961Z,168603501096100
"""Tomson @ zO5fBqoYCX"" folds",2023-06-06T07:03:30.084Z,168603501008400
"""Gill ipad @ rBxx2OqQ80"" posts a big blind of 2.00",2023-06-06T07:03:22.259Z,168603500225905
"""Tomson @ zO5fBqoYCX"" posts a small blind of 1.00",2023-06-06T07:03:22.259Z,168603500225904
"Player stacks: #6 ""Tomson @ zO5fBqoYCX"" (375.81) | #8 ""Gill ipad @ rBxx2OqQ80"" (591.41)",2023-06-06T07:03:22.259Z,168603500225901
"-- starting hand #478 (id: ycs7erdgw7d2)  (No Limit Texas Hold'em) (dealer: ""Tomson @ zO5fBqoYCX"") --",2023-06-06T07:03:22.259Z,168603500225900
"-- ending hand #477 --",2023-06-06T07:03:16.336Z,168603499633602
"""Tomson @ zO5fBqoYCX"" collected 10.00 from pot",2023-06-06T07:03:16.336Z,168603499633601
"Uncalled bet of 10.00 returned to ""Tomson @ zO5fBqoYCX""",2023-06-06T07:03:16.336Z,168603499633600
"""Gill ipad @ rBxx2OqQ80"" folds",2023-06-06T07:03:15.490Z,168603499549000
"""Tomson @ zO5fBqoYCX"" bets 10.00",2023-06-06T07:03:13.861Z,168603499386100
"Turn: 5♥, 8♥, 4♠ [K♦]",2023-06-06T07:03:11.128Z,168603499112800
"""Gill ipad @ rBxx2OqQ80"" checks",2023-06-06T07:03:10.280Z,168603499028000
"""Tomson @ zO5fBqoYCX"" checks",2023-06-06T07:03:08.986Z,168603498898600
"Flop:  [5♥, 8♥, 4♠]",2023-06-06T07:02:55.697Z,168603497569700
"""Tomson @ zO5fBqoYCX"" calls 5.00",2023-06-06T07:02:54.835Z,168603497483500
"""Gill ipad @ rBxx2OqQ80"" raises to 5.00",2023-06-06T07:02:44.614Z,168603496461400
"""Tomson @ zO5fBqoYCX"" posts a big blind of 2.00",2023-06-06T07:02:41.679Z,168603496167905
"""Gill ipad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-06-06T07:02:41.679Z,168603496167904
"Player stacks: #6 ""Tomson @ zO5fBqoYCX"" (370.81) | #8 ""Gill ipad @ rBxx2OqQ80"" (596.41)",2023-06-06T07:02:41.679Z,168603496167901
"-- starting hand #477 (id: kgxkocwm9ryj)  (No Limit Texas Hold'em) (dealer: ""Gill ipad @ rBxx2OqQ80"") --",2023-06-06T07:02:41.679Z,168603496167900
