entry,at,order
"The player ""Phil @ GCtQMn_f2C"" stand up with the stack of 948.88.",2023-06-10T07:47:00.996Z,168638322099600
"-- ending hand #1319 --",2023-06-10T07:46:55.044Z,168638321504402
"""Phil @ GCtQMn_f2C"" collected 12.00 from pot",2023-06-10T07:46:55.044Z,168638321504401
"Uncalled bet of 9.00 returned to ""Phil @ GCtQMn_f2C""",2023-06-10T07:46:55.044Z,168638321504400
"""JV @ rldf394dVp"" folds",2023-06-10T07:46:54.201Z,168638321420100
"""Phil @ GCtQMn_f2C"" bets 9.00",2023-06-10T07:46:53.173Z,168638321317300
"""JV @ rldf394dVp"" checks",2023-06-10T07:46:50.598Z,168638321059800
"Flop:  [3♥, A♠, J♥]",2023-06-10T07:46:49.504Z,168638320950400
"""JV @ rldf394dVp"" calls 6.00",2023-06-10T07:46:48.633Z,168638320863300
"""Phil @ GCtQMn_f2C"" raises to 6.00",2023-06-10T07:46:47.349Z,168638320734900
"""JV @ rldf394dVp"" posts a big blind of 2.00",2023-06-10T07:46:45.151Z,168638320515105
"""Phil @ GCtQMn_f2C"" posts a small blind of 1.00",2023-06-10T07:46:45.151Z,168638320515104
"Player stacks: #2 ""Phil @ GCtQMn_f2C"" (942.88) | #10 ""JV @ rldf394dVp"" (791.39)",2023-06-10T07:46:45.151Z,168638320515101
"-- starting hand #1319 (id: 7wbn1g628urs)  (No Limit Texas Hold'em) (dealer: ""Phil @ GCtQMn_f2C"") --",2023-06-10T07:46:45.151Z,168638320515100
"-- ending hand #1318 --",2023-06-10T07:46:39.205Z,168638319920502
"""Phil @ GCtQMn_f2C"" collected 2.00 from pot",2023-06-10T07:46:39.205Z,168638319920501
"Uncalled bet of 1.00 returned to ""Phil @ GCtQMn_f2C""",2023-06-10T07:46:39.205Z,168638319920500
"""JV @ rldf394dVp"" folds",2023-06-10T07:46:38.351Z,168638319835100
"""Phil @ GCtQMn_f2C"" posts a big blind of 2.00",2023-06-10T07:46:36.604Z,168638319660405
"""JV @ rldf394dVp"" posts a small blind of 1.00",2023-06-10T07:46:36.604Z,168638319660404
"Player stacks: #2 ""Phil @ GCtQMn_f2C"" (941.88) | #10 ""JV @ rldf394dVp"" (792.39)",2023-06-10T07:46:36.604Z,168638319660401
"-- starting hand #1318 (id: gvkp5iz1jggs)  (No Limit Texas Hold'em) (dealer: ""JV @ rldf394dVp"") --",2023-06-10T07:46:36.604Z,168638319660400
"""JV @ rldf394dVp"" shows a 6♣, 9♠.",2023-06-10T07:46:30.286Z,168638319028600
"-- ending hand #1317 --",2023-06-10T07:46:29.969Z,168638318996902
"""JV @ rldf394dVp"" collected 2.00 from pot",2023-06-10T07:46:29.969Z,168638318996901
"Uncalled bet of 1.00 returned to ""JV @ rldf394dVp""",2023-06-10T07:46:29.969Z,168638318996900
"""Phil @ GCtQMn_f2C"" folds",2023-06-10T07:46:29.136Z,168638318913600
"""JV @ rldf394dVp"" posts a big blind of 2.00",2023-06-10T07:46:27.515Z,168638318751505
"""Phil @ GCtQMn_f2C"" posts a small blind of 1.00",2023-06-10T07:46:27.515Z,168638318751504
"Player stacks: #2 ""Phil @ GCtQMn_f2C"" (942.88) | #10 ""JV @ rldf394dVp"" (791.39)",2023-06-10T07:46:27.515Z,168638318751501
