entry,at,order
"The player ""Sushi @ 3f91MMrAMb"" quits the game with a stack of 0.00.",2023-06-09T12:38:57.815Z,168631433781500
"-- ending hand #509 --",2023-06-09T12:38:54.778Z,168631433477801
"""Bp @ _zk24nnVPb"" collected 38.50 from pot with Two Pair (combination: A♦, A♠, 6♣, 6♦, 8♦)",2023-06-09T12:38:54.778Z,168631433477800
"River: A♠, 7♥, 2♥, 6♦ [8♦]",2023-06-09T12:38:50.776Z,168631433077600
"Turn: A♠, 7♥, 2♥ [6♦]",2023-06-09T12:38:46.739Z,168631432673900
"""Bp @ _zk24nnVPb"" shows a A♦, 6♣, 9♦, 3♠.",2023-06-09T12:38:42.729Z,168631432272901
"""Sushi @ 3f91MMrAMb"" shows a 10♠, 10♦, 3♥, 8♥.",2023-06-09T12:38:42.729Z,168631432272900
"Some players choose to not run it twice.",2023-06-09T12:38:41.916Z,168631432191601
"""Sushi @ 3f91MMrAMb"" chooses to not run it twice.",2023-06-09T12:38:41.916Z,168631432191600
"Remaining players decide whether to run it twice.",2023-06-09T12:38:41.365Z,168631432136501
"""Sushi @ 3f91MMrAMb"" calls 16.25 and go all in",2023-06-09T12:38:41.365Z,168631432136500
"""Bp @ _zk24nnVPb"" raises to 16.25",2023-06-09T12:38:39.373Z,168631431937300
"""Sushi @ 3f91MMrAMb"" bets 6.00",2023-06-09T12:38:36.770Z,168631431677000
"Flop:  [A♠, 7♥, 2♥]",2023-06-09T12:38:33.533Z,168631431353300
"""Bp @ _zk24nnVPb"" calls 3.00",2023-06-09T12:38:32.721Z,168631431272100
"""Sushi @ 3f91MMrAMb"" raises to 3.00",2023-06-09T12:38:31.574Z,168631431157400
"""Bp @ _zk24nnVPb"" calls 1.00",2023-06-09T12:38:28.556Z,168631430855600
"""Sushi @ 3f91MMrAMb"" posts a big blind of 1.00",2023-06-09T12:38:27.282Z,168631430728205
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-06-09T12:38:27.282Z,168631430728204
"Player stacks: #7 ""Sushi @ 3f91MMrAMb"" (19.25) | #10 ""Bp @ _zk24nnVPb"" (80.75)",2023-06-09T12:38:27.282Z,168631430728201
"-- starting hand #509 (id: 5takkzgiempi)  (Pot Limit Omaha Hi) (dealer: ""Bp @ _zk24nnVPb"") --",2023-06-09T12:38:27.282Z,168631430728200
"-- ending hand #508 --",2023-06-09T12:38:21.274Z,168631430127402
"""Bp @ _zk24nnVPb"" collected 6.00 from pot",2023-06-09T12:38:21.274Z,168631430127401
"Uncalled bet of 3.00 returned to ""Bp @ _zk24nnVPb""",2023-06-09T12:38:21.274Z,168631430127400
"""Sushi @ 3f91MMrAMb"" folds",2023-06-09T12:38:20.407Z,168631430040700
"""Bp @ _zk24nnVPb"" bets 3.00",2023-06-09T12:38:19.435Z,168631429943500
"Turn: K♥, 2♦, J♣ [10♥]",2023-06-09T12:38:17.065Z,168631429706500
"""Sushi @ 3f91MMrAMb"" checks",2023-06-09T12:38:16.164Z,168631429616400
"""Bp @ _zk24nnVPb"" checks",2023-06-09T12:38:14.474Z,168631429447400
"Flop:  [K♥, 2♦, J♣]",2023-06-09T12:38:13.253Z,168631429325300
"""Bp @ _zk24nnVPb"" calls 3.00",2023-06-09T12:38:12.375Z,168631429237500
"""Sushi @ 3f91MMrAMb"" raises to 3.00",2023-06-09T12:38:11.235Z,168631429123500
"""Bp @ _zk24nnVPb"" posts a big blind of 1.00",2023-06-09T12:38:09.653Z,168631428965305
"""Sushi @ 3f91MMrAMb"" posts a small blind of 0.50",2023-06-09T12:38:09.653Z,168631428965304
"Player stacks: #7 ""Sushi @ 3f91MMrAMb"" (22.25) | #10 ""Bp @ _zk24nnVPb"" (77.75)",2023-06-09T12:38:09.653Z,168631428965301
"-- starting hand #508 (id: teld3fidq1fh)  (Pot Limit Omaha Hi) (dealer: ""Sushi @ 3f91MMrAMb"") --",2023-06-09T12:38:09.653Z,168631428965300
"-- ending hand #507 --",2023-06-09T12:38:06.647Z,168631428664702
"""Bp @ _zk24nnVPb"" collected 37.50 from pot with Full House (combination: 9♠, 9♣, 9♥, A♥, A♠)",2023-06-09T12:38:06.647Z,168631428664701
"""Bp @ _zk24nnVPb"" shows a 9♠, 8♦, A♥, 7♦.",2023-06-09T12:38:06.647Z,168631428664700
"""Sushi @ 3f91MMrAMb"" calls 11.25",2023-06-09T12:38:05.830Z,168631428583000
"""Bp @ _zk24nnVPb"" bets 11.25",2023-06-09T12:38:03.986Z,168631428398600
"""Sushi @ 3f91MMrAMb"" checks",2023-06-09T12:38:00.462Z,168631428046200
"River: 9♣, 10♦, 6♦, 9♥ [A♠]",2023-06-09T12:37:57.929Z,168631427792900
"""Bp @ _zk24nnVPb"" calls 4.50",2023-06-09T12:37:57.095Z,168631427709500
"""Sushi @ 3f91MMrAMb"" bets 4.50",2023-06-09T12:37:55.668Z,168631427566800
"Turn: 9♣, 10♦, 6♦ [9♥]",2023-06-09T12:37:53.014Z,168631427301400
"""Bp @ _zk24nnVPb"" checks",2023-06-09T12:37:52.204Z,168631427220400
"""Sushi @ 3f91MMrAMb"" checks",2023-06-09T12:37:50.029Z,168631427002900
"Flop:  [9♣, 10♦, 6♦]",2023-06-09T12:37:47.853Z,168631426785300
"""Bp @ _zk24nnVPb"" calls 3.00",2023-06-09T12:37:47.024Z,168631426702400
"""Sushi @ 3f91MMrAMb"" raises to 3.00",2023-06-09T12:37:45.486Z,168631426548600
"""Bp @ _zk24nnVPb"" calls 1.00",2023-06-09T12:37:42.853Z,168631426285300
"""Sushi @ 3f91MMrAMb"" posts a big blind of 1.00",2023-06-09T12:37:40.436Z,168631426043605
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-06-09T12:37:40.436Z,168631426043604
"Player stacks: #7 ""Sushi @ 3f91MMrAMb"" (41.00) | #10 ""Bp @ _zk24nnVPb"" (59.00)",2023-06-09T12:37:40.436Z,168631426043601
"-- starting hand #507 (id: 8nnffdakxyh2)  (Pot Limit Omaha Hi) (dealer: ""Bp @ _zk24nnVPb"") --",2023-06-09T12:37:40.436Z,168631426043600
"-- ending hand #506 --",2023-06-09T12:37:34.507Z,168631425450702
