entry,at,order
"""Brax @ Nmr9M8_PwJ"" shows a J♠, K♦, 8♠, 3♦.",2023-06-11T05:59:42.891Z,168646318289100
"""brett @ C-NjgDuYnf"" shows a Q♣, Q♥, 5♥, 4♥.",2023-06-11T05:59:41.180Z,168646318118000
"-- ending hand #596 --",2023-06-11T05:59:40.679Z,168646318067902
"""Brax @ Nmr9M8_PwJ"" collected 72.00 from pot",2023-06-11T05:59:40.679Z,168646318067901
"Uncalled bet of 50.00 returned to ""Brax @ Nmr9M8_PwJ""",2023-06-11T05:59:40.679Z,168646318067900
"""brett @ C-NjgDuYnf"" folds",2023-06-11T05:59:39.851Z,168646317985100
"""Brax @ Nmr9M8_PwJ"" bets 50.00",2023-06-11T05:59:37.593Z,168646317759300
"""brett @ C-NjgDuYnf"" checks",2023-06-11T05:59:31.627Z,168646317162700
"Turn: J♦, 7♠, J♣ [4♦]",2023-06-11T05:59:29.511Z,168646316951100
"""brett @ C-NjgDuYnf"" calls 18.00",2023-06-11T05:59:28.706Z,168646316870600
"""Brax @ Nmr9M8_PwJ"" bets 18.00",2023-06-11T05:59:26.061Z,168646316606100
"""brett @ C-NjgDuYnf"" checks",2023-06-11T05:59:22.186Z,168646316218600
"Flop:  [J♦, 7♠, J♣]",2023-06-11T05:59:18.634Z,168646315863400
"""Brax @ Nmr9M8_PwJ"" calls 18.00",2023-06-11T05:59:17.785Z,168646315778500
"""brett @ C-NjgDuYnf"" raises to 18.00",2023-06-11T05:59:14.164Z,168646315416400
"""Brax @ Nmr9M8_PwJ"" raises to 6.00",2023-06-11T05:59:09.304Z,168646314930400
"""brett @ C-NjgDuYnf"" posts a big blind of 2.00",2023-06-11T05:59:04.809Z,168646314480905
"""Brax @ Nmr9M8_PwJ"" posts a small blind of 1.00",2023-06-11T05:59:04.809Z,168646314480904
"Player stacks: #8 ""brett @ C-NjgDuYnf"" (420.12) | #10 ""Brax @ Nmr9M8_PwJ"" (512.25)",2023-06-11T05:59:04.809Z,168646314480901
"-- starting hand #596 (id: ud8x94vrhqw2)  (Pot Limit Omaha Hi) (dealer: ""Brax @ Nmr9M8_PwJ"") --",2023-06-11T05:59:04.809Z,168646314480900
"-- ending hand #595 --",2023-06-11T05:58:58.805Z,168646313880502
"""Brax @ Nmr9M8_PwJ"" collected 2.00 from pot",2023-06-11T05:58:58.805Z,168646313880501
"Uncalled bet of 1.00 returned to ""Brax @ Nmr9M8_PwJ""",2023-06-11T05:58:58.805Z,168646313880500
"""brett @ C-NjgDuYnf"" folds",2023-06-11T05:58:57.974Z,168646313797400
"""Brax @ Nmr9M8_PwJ"" posts a big blind of 2.00",2023-06-11T05:58:56.604Z,168646313660405
