entry,at,order
"The player ""Brax @ BrXRnYQ5vS"" sit back with the stack of 305.13.",2023-06-25T02:21:01.753Z,168765966175300
"The player ""Utsav @ TVRCu1FXw0"" stand up with the stack of 93.75.",2023-06-25T02:20:34.129Z,168765963412901
"The player ""Shlapp @ ZWO9_p1DU9"" stand up with the stack of 201.69.",2023-06-25T02:20:34.129Z,168765963412900
"-- ending hand #280 --",2023-06-25T02:20:28.123Z,168765962812303
"""Shlapp @ ZWO9_p1DU9"" shows a 6♦, 4♦.",2023-06-25T02:20:28.123Z,168765962812302
"""Utsav @ TVRCu1FXw0"" collected 2.00 from pot with A High (combination: A♦, K♦, J♦, 10♣, 9♠)",2023-06-25T02:20:28.123Z,168765962812301
"""Utsav @ TVRCu1FXw0"" shows a 3♦, A♦.",2023-06-25T02:20:28.123Z,168765962812300
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-25T02:20:27.304Z,168765962730400
"""Utsav @ TVRCu1FXw0"" checks",2023-06-25T02:20:25.504Z,168765962550400
"River: 10♣, J♦, 2♣, 9♠ [K♦]",2023-06-25T02:20:23.366Z,168765962336600
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-25T02:20:22.529Z,168765962252900
"""Utsav @ TVRCu1FXw0"" checks",2023-06-25T02:20:18.509Z,168765961850900
"Turn: 10♣, J♦, 2♣ [9♠]",2023-06-25T02:20:16.873Z,168765961687300
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-25T02:20:15.990Z,168765961599000
"The player ""mp @ -DkySTil6a"" passed the room ownership to ""Dp @ 6T4espke1S"".",2023-06-25T02:20:15.260Z,168765961526000
"""Utsav @ TVRCu1FXw0"" checks",2023-06-25T02:20:13.403Z,168765961340300
"Flop:  [10♣, J♦, 2♣]",2023-06-25T02:20:11.909Z,168765961190900
"""Utsav @ TVRCu1FXw0"" checks",2023-06-25T02:20:11.063Z,168765961106300
"""Shlapp @ ZWO9_p1DU9"" calls 1.00",2023-06-25T02:20:08.387Z,168765960838700
"""Utsav @ TVRCu1FXw0"" posts a big blind of 1.00",2023-06-25T02:20:04.242Z,168765960424207
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-25T02:20:04.242Z,168765960424206
"Player stacks: #5 ""Utsav @ TVRCu1FXw0"" (92.75) | #8 ""Shlapp @ ZWO9_p1DU9"" (202.69)",2023-06-25T02:20:04.242Z,168765960424203
"-- starting hand #280 (id: lywpyftpr1yu)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-06-25T02:20:04.242Z,168765960424202
