entry,at,order
"The player ""brett @ eKDH2_sDqp"" quits the game with a stack of 0.00.",2023-06-18T07:26:15.699Z,168707317569900
"-- ending hand #150 --",2023-06-18T07:26:09.684Z,168707316968403
"""brett @ eKDH2_sDqp"" shows a J♠, K♥.",2023-06-18T07:26:09.684Z,168707316968402
"""BP @ _zk24nnVPb"" collected 118.00 from pot with Straight, 10 High (combination: 10♣, 9♥, 8♥, 7♠, 6♦)",2023-06-18T07:26:09.684Z,168707316968401
"""BP @ _zk24nnVPb"" shows a 9♥, 10♣.",2023-06-18T07:26:09.684Z,168707316968400
"""BP @ _zk24nnVPb"" calls 25.50",2023-06-18T07:26:08.855Z,168707316885500
"""brett @ eKDH2_sDqp"" bets 25.50 and go all in",2023-06-18T07:26:07.862Z,168707316786200
"River: 7♠, 8♥, 6♦, 3♣ [9♣]",2023-06-18T07:26:00.074Z,168707316007400
"""BP @ _zk24nnVPb"" calls 19.50",2023-06-18T07:25:59.205Z,168707315920500
"""brett @ eKDH2_sDqp"" bets 19.50",2023-06-18T07:25:45.221Z,168707314522100
"Turn: 7♠, 8♥, 6♦ [3♣]",2023-06-18T07:25:35.080Z,168707313508000
"""BP @ _zk24nnVPb"" calls 6.50",2023-06-18T07:25:34.246Z,168707313424600
"""brett @ eKDH2_sDqp"" bets 6.50",2023-06-18T07:25:30.663Z,168707313066300
"Flop:  [7♠, 8♥, 6♦]",2023-06-18T07:25:22.598Z,168707312259800
"""BP @ _zk24nnVPb"" calls 7.50",2023-06-18T07:25:21.735Z,168707312173500
"""brett @ eKDH2_sDqp"" raises to 7.50",2023-06-18T07:25:19.544Z,168707311954400
"""BP @ _zk24nnVPb"" raises to 2.50",2023-06-18T07:25:14.649Z,168707311464900
"""brett @ eKDH2_sDqp"" posts a big blind of 1.00",2023-06-18T07:25:11.514Z,168707311151405
"""BP @ _zk24nnVPb"" posts a small blind of 0.50",2023-06-18T07:25:11.514Z,168707311151404
"Player stacks: #5 ""brett @ eKDH2_sDqp"" (59.00) | #9 ""BP @ _zk24nnVPb"" (141.00)",2023-06-18T07:25:11.514Z,168707311151401
"-- starting hand #150 (id: 2y4xxnhhffoz)  (No Limit Texas Hold'em) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-18T07:25:11.514Z,168707311151400
"""BP @ _zk24nnVPb"" shows a 4♣, 6♦.",2023-06-18T07:25:08.391Z,168707310839100
"""brett @ eKDH2_sDqp"" shows a J♠, J♦.",2023-06-18T07:25:04.471Z,168707310447100
"-- ending hand #149 --",2023-06-18T07:25:04.186Z,168707310418602
"""brett @ eKDH2_sDqp"" collected 2.00 from pot",2023-06-18T07:25:04.186Z,168707310418601
"Uncalled bet of 1.50 returned to ""brett @ eKDH2_sDqp""",2023-06-18T07:25:04.186Z,168707310418600
"""BP @ _zk24nnVPb"" folds",2023-06-18T07:25:03.362Z,168707310336200
"""brett @ eKDH2_sDqp"" raises to 2.50",2023-06-18T07:25:02.447Z,168707310244700
"""BP @ _zk24nnVPb"" posts a big blind of 1.00",2023-06-18T07:24:58.402Z,168707309840205
"""brett @ eKDH2_sDqp"" posts a small blind of 0.50",2023-06-18T07:24:58.402Z,168707309840204
"Player stacks: #5 ""brett @ eKDH2_sDqp"" (58.00) | #9 ""BP @ _zk24nnVPb"" (142.00)",2023-06-18T07:24:58.402Z,168707309840201
"-- starting hand #149 (id: jvfryj6dvdvo)  (No Limit Texas Hold'em) (dealer: ""brett @ eKDH2_sDqp"") --",2023-06-18T07:24:58.402Z,168707309840200
"-- ending hand #148 --",2023-06-18T07:24:52.399Z,168707309239902
"""brett @ eKDH2_sDqp"" collected 4.00 from pot with Pair, 2's (combination: 2♥, 2♠, Q♠, J♦, 9♥)",2023-06-18T07:24:52.399Z,168707309239901
"""brett @ eKDH2_sDqp"" shows a J♦, 2♥.",2023-06-18T07:24:52.399Z,168707309239900
"""BP @ _zk24nnVPb"" checks",2023-06-18T07:24:51.585Z,168707309158500
"""brett @ eKDH2_sDqp"" checks",2023-06-18T07:24:50.634Z,168707309063400
"River: 3♣, 2♠, 9♥, Q♠ [6♣]",2023-06-18T07:24:49.047Z,168707308904700
"""BP @ _zk24nnVPb"" calls 1.00",2023-06-18T07:24:48.195Z,168707308819500
"""brett @ eKDH2_sDqp"" bets 1.00",2023-06-18T07:24:46.497Z,168707308649700
"Turn: 3♣, 2♠, 9♥ [Q♠]",2023-06-18T07:24:46.388Z,168707308638800
"""BP @ _zk24nnVPb"" checks",2023-06-18T07:24:45.548Z,168707308554800
"""brett @ eKDH2_sDqp"" checks",2023-06-18T07:24:44.587Z,168707308458700
"Flop:  [3♣, 2♠, 9♥]",2023-06-18T07:24:43.345Z,168707308334500
"""brett @ eKDH2_sDqp"" checks",2023-06-18T07:24:42.518Z,168707308251800
