entry,at,order
"The player ""wyman @ yHxGgWUDXk"" stand up with the stack of 1225.",2023-06-08T08:51:09.053Z,168621426905300
"-- ending hand #781 --",2023-06-08T08:51:06.130Z,168621426613002
"""wyman @ yHxGgWUDXk"" collected 2 from pot",2023-06-08T08:51:06.130Z,168621426613001
"Uncalled bet of 1 returned to ""wyman @ yHxGgWUDXk""",2023-06-08T08:51:06.130Z,168621426613000
"""BP @ _zk24nnVPb"" folds",2023-06-08T08:51:05.293Z,168621426529300
"""wyman @ yHxGgWUDXk"" posts a big blind of 2",2023-06-08T08:51:00.770Z,168621426077005
"""BP @ _zk24nnVPb"" posts a small blind of 1",2023-06-08T08:51:00.770Z,168621426077004
"Player stacks: #3 ""wyman @ yHxGgWUDXk"" (1224) | #4 ""BP @ _zk24nnVPb"" (1015)",2023-06-08T08:51:00.770Z,168621426077001
"-- starting hand #781 (id: szob5vavabx0)  (No Limit Texas Hold'em) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-08T08:51:00.770Z,168621426077000
"-- ending hand #780 --",2023-06-08T08:50:54.830Z,168621425483002
"""wyman @ yHxGgWUDXk"" collected 12 from pot",2023-06-08T08:50:54.830Z,168621425483001
"Uncalled bet of 9 returned to ""wyman @ yHxGgWUDXk""",2023-06-08T08:50:54.830Z,168621425483000
"""BP @ _zk24nnVPb"" folds",2023-06-08T08:50:53.982Z,168621425398200
"""wyman @ yHxGgWUDXk"" bets 9",2023-06-08T08:50:52.591Z,168621425259100
"""BP @ _zk24nnVPb"" checks",2023-06-08T08:50:50.342Z,168621425034200
"Flop:  [A♥, 7♠, Q♥]",2023-06-08T08:50:48.309Z,168621424830900
"""wyman @ yHxGgWUDXk"" calls 6",2023-06-08T08:50:47.482Z,168621424748200
"""BP @ _zk24nnVPb"" raises to 6",2023-06-08T08:50:45.757Z,168621424575700
"""wyman @ yHxGgWUDXk"" calls 2",2023-06-08T08:50:42.877Z,168621424287700
"""BP @ _zk24nnVPb"" posts a big blind of 2",2023-06-08T08:50:40.900Z,168621424090005
"""wyman @ yHxGgWUDXk"" posts a small blind of 1",2023-06-08T08:50:40.900Z,168621424090004
"Player stacks: #3 ""wyman @ yHxGgWUDXk"" (1218) | #4 ""BP @ _zk24nnVPb"" (1021)",2023-06-08T08:50:40.900Z,168621424090001
