entry,at,order
"The player ""Goml @ UoEt_ied3C"" stand up with the stack of 151.94.",2023-05-20T20:38:36.641Z,168461511664100
"-- ending hand #289 --",2023-05-20T20:38:30.737Z,168461511073702
"""Marv69 @ 5dUr1ChHsn"" collected 6.00 from pot",2023-05-20T20:38:30.737Z,168461511073701
"Uncalled bet of 3.00 returned to ""Marv69 @ 5dUr1ChHsn""",2023-05-20T20:38:30.737Z,168461511073700
"""Goml @ UoEt_ied3C"" folds",2023-05-20T20:38:29.900Z,168461510990000
"""Marv69 @ 5dUr1ChHsn"" bets 3.00",2023-05-20T20:38:28.167Z,168461510816700
"""Goml @ UoEt_ied3C"" checks",2023-05-20T20:38:15.771Z,168461509577100
"Flop:  [3♠, 4♦, 4♠]",2023-05-20T20:38:14.123Z,168461509412300
"""Goml @ UoEt_ied3C"" calls 3.00",2023-05-20T20:38:13.303Z,168461509330300
"""Marv69 @ 5dUr1ChHsn"" raises to 3.00",2023-05-20T20:38:09.523Z,168461508952300
"""Goml @ UoEt_ied3C"" posts a big blind of 1.00",2023-05-20T20:38:05.172Z,168461508517205
"""Marv69 @ 5dUr1ChHsn"" posts a small blind of 0.50",2023-05-20T20:38:05.172Z,168461508517204
"Player stacks: #4 ""Marv69 @ 5dUr1ChHsn"" (295.26) | #9 ""Goml @ UoEt_ied3C"" (154.94)",2023-05-20T20:38:05.172Z,168461508517201
"-- starting hand #289 (id: hho4aqlkdjc8)  (No Limit Texas Hold'em) (dealer: ""Marv69 @ 5dUr1ChHsn"") --",2023-05-20T20:38:05.172Z,168461508517200
"-- ending hand #288 --",2023-05-20T20:38:02.237Z,168461508223702
"""Marv69 @ 5dUr1ChHsn"" collected 48.00 from pot",2023-05-20T20:38:02.237Z,168461508223701
"Uncalled bet of 20.00 returned to ""Marv69 @ 5dUr1ChHsn""",2023-05-20T20:38:02.237Z,168461508223700
"""Goml @ UoEt_ied3C"" folds",2023-05-20T20:38:01.400Z,168461508140000
"""Marv69 @ 5dUr1ChHsn"" bets 20.00",2023-05-20T20:37:59.736Z,168461507973600
"River: 5♦, A♣, 4♦, Q♣ [J♦]",2023-05-20T20:37:51.140Z,168461507114000
"""Goml @ UoEt_ied3C"" calls 18.00",2023-05-20T20:37:50.292Z,168461507029200
"""Marv69 @ 5dUr1ChHsn"" raises to 18.00",2023-05-20T20:37:43.443Z,168461506344300
"""Goml @ UoEt_ied3C"" bets 6.00",2023-05-20T20:37:37.773Z,168461505777300
