entry,at,order
"The player ""Toby phone @ vtDLuVyugi"" quits the game with a stack of 709.50.",2023-06-20T05:39:42.936Z,168723958293601
"The player ""The Top G @ rBxx2OqQ80"" stand up with the stack of 2242.12.",2023-06-20T05:39:42.936Z,168723958293600
"-- ending hand #470 --",2023-06-20T05:39:37.016Z,168723957701602
"""The Top G @ rBxx2OqQ80"" collected 2.00 from pot",2023-06-20T05:39:37.016Z,168723957701601
"Uncalled bet of 1.00 returned to ""The Top G @ rBxx2OqQ80""",2023-06-20T05:39:37.016Z,168723957701600
"""Toby phone @ vtDLuVyugi"" folds",2023-06-20T05:39:36.149Z,168723957614900
"""The Top G @ rBxx2OqQ80"" posts a big blind of 2.00",2023-06-20T05:39:03.403Z,168723954340307
"""Toby phone @ vtDLuVyugi"" posts a small blind of 1.00",2023-06-20T05:39:03.403Z,168723954340306
"Player stacks: #2 ""Toby phone @ vtDLuVyugi"" (710.50) | #6 ""The Top G @ rBxx2OqQ80"" (2241.12)",2023-06-20T05:39:03.403Z,168723954340303
"-- starting hand #470 (id: 1yp1m4xtpgrg)  (No Limit Texas Hold'em) (dealer: ""Toby phone @ vtDLuVyugi"") --",2023-06-20T05:39:03.403Z,168723954340302
"The player ""Marv @ gZeGknlJa3"" stand up with the stack of 574.50.",2023-06-20T05:39:03.403Z,168723954340301
"The player ""Brax @ j8VnXTOTN8"" stand up with the stack of 1192.00.",2023-06-20T05:39:03.403Z,168723954340300
"-- ending hand #469 --",2023-06-20T05:38:57.489Z,168723953748902
"""The Top G @ rBxx2OqQ80"" collected 2.00 from pot",2023-06-20T05:38:57.489Z,168723953748901
"Uncalled bet of 1.00 returned to ""The Top G @ rBxx2OqQ80""",2023-06-20T05:38:57.489Z,168723953748900
"""Toby phone @ vtDLuVyugi"" folds",2023-06-20T05:38:56.607Z,168723953660700
"""Brax @ j8VnXTOTN8"" folds",2023-06-20T05:38:55.651Z,168723953565100
"""Marv @ gZeGknlJa3"" folds",2023-06-20T05:38:47.933Z,168723952793300
"""The Top G @ rBxx2OqQ80"" posts a big blind of 2.00",2023-06-20T05:38:46.686Z,168723952668607
"""Toby phone @ vtDLuVyugi"" posts a small blind of 1.00",2023-06-20T05:38:46.686Z,168723952668606
"Player stacks: #2 ""Toby phone @ vtDLuVyugi"" (711.50) | #6 ""The Top G @ rBxx2OqQ80"" (2240.12) | #9 ""Marv @ gZeGknlJa3"" (574.50) | #10 ""Brax @ j8VnXTOTN8"" (1192.00)",2023-06-20T05:38:46.686Z,168723952668601
"-- starting hand #469 (id: ekpfkvyuezbs)  (No Limit Texas Hold'em) (dealer: ""Brax @ j8VnXTOTN8"") --",2023-06-20T05:38:46.686Z,168723952668600
"-- ending hand #468 --",2023-06-20T05:38:40.713Z,168723952071302
"""Marv @ gZeGknlJa3"" collected 13.00 from pot",2023-06-20T05:38:40.713Z,168723952071301
"Uncalled bet of 4.00 returned to ""Marv @ gZeGknlJa3""",2023-06-20T05:38:40.713Z,168723952071300
"""Toby phone @ vtDLuVyugi"" folds",2023-06-20T05:38:39.899Z,168723951989900
"""Marv @ gZeGknlJa3"" bets 4.00",2023-06-20T05:38:38.484Z,168723951848400
"""Toby phone @ vtDLuVyugi"" checks",2023-06-20T05:38:31.835Z,168723951183500
"Flop:  [5♣, K♠, 10♦]",2023-06-20T05:38:30.260Z,168723951026000
"""Toby phone @ vtDLuVyugi"" calls 6.00",2023-06-20T05:38:29.404Z,168723950940400
"""Brax @ j8VnXTOTN8"" folds",2023-06-20T05:38:26.963Z,168723950696300
"""Marv @ gZeGknlJa3"" raises to 6.00",2023-06-20T05:38:26.045Z,168723950604500
"""The Top G @ rBxx2OqQ80"" folds",2023-06-20T05:38:23.219Z,168723950321900
"""Toby phone @ vtDLuVyugi"" posts a big blind of 2.00",2023-06-20T05:38:17.648Z,168723949764807
"""Brax @ j8VnXTOTN8"" posts a small blind of 1.00",2023-06-20T05:38:17.648Z,168723949764806
"Player stacks: #2 ""Toby phone @ vtDLuVyugi"" (717.50) | #6 ""The Top G @ rBxx2OqQ80"" (2240.12) | #9 ""Marv @ gZeGknlJa3"" (567.50) | #10 ""Brax @ j8VnXTOTN8"" (1193.00)",2023-06-20T05:38:17.648Z,168723949764801
"-- starting hand #468 (id: y1cbqxkjituw)  (No Limit Texas Hold'em) (dealer: ""Marv @ gZeGknlJa3"") --",2023-06-20T05:38:17.648Z,168723949764800
"-- ending hand #467 --",2023-06-20T05:38:11.645Z,168723949164503
"""Marv @ gZeGknlJa3"" shows a 6♦, A♠.",2023-06-20T05:38:11.645Z,168723949164502
"""Toby phone @ vtDLuVyugi"" collected 68.00 from pot with Pair, K's (combination: K♠, K♣, J♦, 8♥, 5♣)",2023-06-20T05:38:11.645Z,168723949164501
"""Toby phone @ vtDLuVyugi"" shows a J♦, K♠.",2023-06-20T05:38:11.645Z,168723949164500
"""Toby phone @ vtDLuVyugi"" calls 20.00",2023-06-20T05:38:10.755Z,168723949075500
"""Marv @ gZeGknlJa3"" bets 20.00",2023-06-20T05:38:04.084Z,168723948408400
"River: 5♣, 3♣, 4♥, K♣ [8♥]",2023-06-20T05:37:55.845Z,168723947584500
"""Toby phone @ vtDLuVyugi"" calls 7.00",2023-06-20T05:37:55.010Z,168723947501000
"""Marv @ gZeGknlJa3"" bets 7.00",2023-06-20T05:37:50.832Z,168723947083200
"Turn: 5♣, 3♣, 4♥ [K♣]",2023-06-20T05:37:43.165Z,168723946316500
"""Toby phone @ vtDLuVyugi"" checks",2023-06-20T05:37:42.312Z,168723946231200
"""Marv @ gZeGknlJa3"" checks",2023-06-20T05:37:36.465Z,168723945646500
"Flop:  [5♣, 3♣, 4♥]",2023-06-20T05:37:32.555Z,168723945255500
"""Brax @ j8VnXTOTN8"" folds",2023-06-20T05:37:31.744Z,168723945174400
"""Marv @ gZeGknlJa3"" calls 6.00",2023-06-20T05:37:30.795Z,168723945079500
"""The Top G @ rBxx2OqQ80"" folds",2023-06-20T05:37:25.662Z,168723944566200
"""Toby phone @ vtDLuVyugi"" raises to 6.00",2023-06-20T05:37:24.716Z,168723944471600
"""Brax @ j8VnXTOTN8"" posts a big blind of 2.00",2023-06-20T05:37:13.713Z,168723943371308
"""Marv @ gZeGknlJa3"" posts a small blind of 1.00",2023-06-20T05:37:13.713Z,168723943371307
"Player stacks: #2 ""Toby phone @ vtDLuVyugi"" (682.50) | #6 ""The Top G @ rBxx2OqQ80"" (2240.12) | #9 ""Marv @ gZeGknlJa3"" (600.50) | #10 ""Brax @ j8VnXTOTN8"" (1195.00)",2023-06-20T05:37:13.713Z,168723943371302
"-- starting hand #467 (id: xtmfwsglao2z)  (No Limit Texas Hold'em) (dealer: ""The Top G @ rBxx2OqQ80"") --",2023-06-20T05:37:13.713Z,168723943371301
"The player ""Allen @ owhH9xBTTE"" quits the game with a stack of 1341.52.",2023-06-20T05:37:13.713Z,168723943371300
"-- ending hand #466 --",2023-06-20T05:37:07.797Z,168723942779702
"""Brax @ j8VnXTOTN8"" collected 18.00 from pot",2023-06-20T05:37:07.797Z,168723942779701
"Uncalled bet of 25.00 returned to ""Brax @ j8VnXTOTN8""",2023-06-20T05:37:07.797Z,168723942779700
"""The Top G @ rBxx2OqQ80"" folds",2023-06-20T05:37:06.989Z,168723942698900
"""Brax @ j8VnXTOTN8"" bets 25.00",2023-06-20T05:36:58.598Z,168723941859800
"""The Top G @ rBxx2OqQ80"" checks",2023-06-20T05:36:47.949Z,168723940794900
"Flop:  [8♣, 2♠, 7♠]",2023-06-20T05:36:36.265Z,168723939626500
"""Marv @ gZeGknlJa3"" folds",2023-06-20T05:36:35.449Z,168723939544900
"""The Top G @ rBxx2OqQ80"" calls 8.00",2023-06-20T05:36:34.268Z,168723939426800
"""Allen @ owhH9xBTTE"" folds",2023-06-20T05:36:32.331Z,168723939233100
"""Toby phone @ vtDLuVyugi"" folds",2023-06-20T05:36:31.519Z,168723939151900
"""Brax @ j8VnXTOTN8"" raises to 8.00",2023-06-20T05:36:30.523Z,168723939052300
"""Marv @ gZeGknlJa3"" posts a big blind of 2.00",2023-06-20T05:35:29.054Z,168723932905408
"""The Top G @ rBxx2OqQ80"" posts a small blind of 1.00",2023-06-20T05:35:29.054Z,168723932905407
