entry,at,order
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 974.",2023-06-10T08:04:41.116Z,168638428111600
"-- ending hand #255 --",2023-06-10T08:04:35.168Z,168638427516802
"""BP @ _zk24nnVPb"" collected 12 from pot",2023-06-10T08:04:35.168Z,168638427516801
"Uncalled bet of 9 returned to ""BP @ _zk24nnVPb""",2023-06-10T08:04:35.168Z,168638427516800
"""Hayden @ 2LakBwr16r"" folds",2023-06-10T08:04:34.349Z,168638427434900
"""BP @ _zk24nnVPb"" raises to 15",2023-06-10T08:04:31.333Z,168638427133300
"""Hayden @ 2LakBwr16r"" raises to 6",2023-06-10T08:04:29.085Z,168638426908500
"""BP @ _zk24nnVPb"" posts a big blind of 2",2023-06-10T08:04:26.592Z,168638426659205
"""Hayden @ 2LakBwr16r"" posts a small blind of 1",2023-06-10T08:04:26.592Z,168638426659204
"Player stacks: #2 ""Hayden @ 2LakBwr16r"" (980) | #6 ""BP @ _zk24nnVPb"" (776)",2023-06-10T08:04:26.592Z,168638426659201
"-- starting hand #255 (id: rja9bezsixhp)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-06-10T08:04:26.592Z,168638426659200
"-- ending hand #254 --",2023-06-10T08:04:20.685Z,168638426068502
"""Hayden @ 2LakBwr16r"" collected 12 from pot",2023-06-10T08:04:20.685Z,168638426068501
"Uncalled bet of 6 returned to ""Hayden @ 2LakBwr16r""",2023-06-10T08:04:20.685Z,168638426068500
"""BP @ _zk24nnVPb"" folds",2023-06-10T08:04:19.866Z,168638425986600
"""Hayden @ 2LakBwr16r"" bets 6",2023-06-10T08:04:18.904Z,168638425890400
"Turn: 3♠, 10♠, K♣ [3♦]",2023-06-10T08:04:16.282Z,168638425628200
"""BP @ _zk24nnVPb"" checks",2023-06-10T08:04:15.385Z,168638425538500
"""Hayden @ 2LakBwr16r"" checks",2023-06-10T08:04:14.471Z,168638425447100
"Flop:  [3♠, 10♠, K♣]",2023-06-10T08:04:12.676Z,168638425267600
"""Hayden @ 2LakBwr16r"" calls 6",2023-06-10T08:04:11.820Z,168638425182000
"""BP @ _zk24nnVPb"" raises to 6",2023-06-10T08:04:09.527Z,168638424952700
"""Hayden @ 2LakBwr16r"" posts a big blind of 2",2023-06-10T08:04:07.272Z,168638424727205
"""BP @ _zk24nnVPb"" posts a small blind of 1",2023-06-10T08:04:07.272Z,168638424727204
"Player stacks: #2 ""Hayden @ 2LakBwr16r"" (974) | #6 ""BP @ _zk24nnVPb"" (782)",2023-06-10T08:04:07.272Z,168638424727201
"-- starting hand #254 (id: ja7ncyhrsdtj)  (No Limit Texas Hold'em) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-10T08:04:07.272Z,168638424727200
"-- ending hand #253 --",2023-06-10T08:04:01.341Z,168638424134102
"""BP @ _zk24nnVPb"" collected 2 from pot",2023-06-10T08:04:01.341Z,168638424134101
"Uncalled bet of 1 returned to ""BP @ _zk24nnVPb""",2023-06-10T08:04:01.341Z,168638424134100
"""Hayden @ 2LakBwr16r"" folds",2023-06-10T08:04:00.523Z,168638424052300
"""BP @ _zk24nnVPb"" posts a big blind of 2",2023-06-10T08:03:58.662Z,168638423866205
