entry,at,order
"The player ""luke @ gMPruH-jv6"" stand up with the stack of 420.71.",2023-05-24T03:31:15.434Z,168489907543400
"-- ending hand #211 --",2023-05-24T03:31:09.422Z,168489906942203
"""brett @ C-NjgDuYnf"" shows a 6♥, A♣.",2023-05-24T03:31:09.422Z,168489906942202
"""luke @ gMPruH-jv6"" collected 108.00 from pot with Two Pair, 8's & 7's (combination: 8♣, 8♦, 7♦, 7♥, Q♣)",2023-05-24T03:31:09.422Z,168489906942201
"""luke @ gMPruH-jv6"" shows a 8♣, 8♦.",2023-05-24T03:31:09.422Z,168489906942200
"""luke @ gMPruH-jv6"" calls 30.00",2023-05-24T03:31:08.552Z,168489906855200
"""brett @ C-NjgDuYnf"" bets 30.00",2023-05-24T03:31:00.028Z,168489906002800
"""luke @ gMPruH-jv6"" checks",2023-05-24T03:30:53.092Z,168489905309200
"River: 7♦, 2♦, 2♣, Q♣ [7♥]",2023-05-24T03:30:50.890Z,168489905089000
"""brett @ C-NjgDuYnf"" calls 12.00",2023-05-24T03:30:50.057Z,168489905005700
"""luke @ gMPruH-jv6"" bets 12.00",2023-05-24T03:30:47.715Z,168489904771500
"Turn: 7♦, 2♦, 2♣ [Q♣]",2023-05-24T03:30:44.482Z,168489904448200
"""brett @ C-NjgDuYnf"" checks",2023-05-24T03:30:43.676Z,168489904367600
"""luke @ gMPruH-jv6"" checks",2023-05-24T03:30:41.504Z,168489904150400
"Flop:  [7♦, 2♦, 2♣]",2023-05-24T03:30:39.374Z,168489903937400
"""brett @ C-NjgDuYnf"" calls 12.00",2023-05-24T03:30:38.494Z,168489903849400
"""luke @ gMPruH-jv6"" raises to 12.00",2023-05-24T03:30:36.422Z,168489903642200
"""brett @ C-NjgDuYnf"" raises to 6.00",2023-05-24T03:30:30.025Z,168489903002500
"""luke @ gMPruH-jv6"" posts a big blind of 2.00",2023-05-24T03:30:26.173Z,168489902617305
"""brett @ C-NjgDuYnf"" posts a small blind of 1.00",2023-05-24T03:30:26.173Z,168489902617304
"Player stacks: #4 ""brett @ C-NjgDuYnf"" (501.99) | #7 ""luke @ gMPruH-jv6"" (366.71)",2023-05-24T03:30:26.173Z,168489902617301
"-- starting hand #211 (id: acsiqg0rfkuz)  (No Limit Texas Hold'em) (dealer: ""brett @ C-NjgDuYnf"") --",2023-05-24T03:30:26.173Z,168489902617300
"-- ending hand #210 --",2023-05-24T03:30:23.169Z,168489902316902
"""luke @ gMPruH-jv6"" collected 24.00 from pot",2023-05-24T03:30:23.169Z,168489902316901
"Uncalled bet of 12.00 returned to ""luke @ gMPruH-jv6""",2023-05-24T03:30:23.169Z,168489902316900
"""brett @ C-NjgDuYnf"" folds",2023-05-24T03:30:22.293Z,168489902229300
"""luke @ gMPruH-jv6"" bets 12.00",2023-05-24T03:30:12.399Z,168489901239900
"""brett @ C-NjgDuYnf"" checks",2023-05-24T03:30:08.680Z,168489900868000
"River: Q♦, J♠, 9♦, A♥ [A♠]",2023-05-24T03:30:05.614Z,168489900561400
"""luke @ gMPruH-jv6"" checks",2023-05-24T03:30:04.792Z,168489900479200
"""brett @ C-NjgDuYnf"" checks",2023-05-24T03:30:02.251Z,168489900225100
"Turn: Q♦, J♠, 9♦ [A♥]",2023-05-24T03:30:00.706Z,168489900070600
"""brett @ C-NjgDuYnf"" calls 6.00",2023-05-24T03:29:59.900Z,168489899990000
"""luke @ gMPruH-jv6"" bets 6.00",2023-05-24T03:29:58.582Z,168489899858200
"""brett @ C-NjgDuYnf"" checks",2023-05-24T03:29:54.624Z,168489899462400
"Flop:  [Q♦, J♠, 9♦]",2023-05-24T03:29:53.398Z,168489899339800
"""brett @ C-NjgDuYnf"" calls 6.00",2023-05-24T03:29:52.586Z,168489899258600
"""luke @ gMPruH-jv6"" raises to 6.00",2023-05-24T03:29:51.359Z,168489899135900
