entry,at,order
"The player ""Ty @ 8ugHyNN1iO"" quits the game with a stack of 0.01.",2023-06-25T23:48:48.714Z,168773692871400
"The admin approved the player ""Ty @ 8ugHyNN1iO"" participation with a stack of 0.01.",2023-06-25T23:47:26.754Z,168773684675400
"The player ""Ty @ 8ugHyNN1iO"" requested a seat.",2023-06-25T23:47:06.236Z,168773682623600
"The player ""Phil @ 0sg0elEyIS"" quits the game with a stack of 255.43.",2023-06-25T23:42:38.971Z,168773655897100
"The player ""Tomson @ DEEeyM57t0"" stand up with the stack of 452.78.",2023-06-25T23:42:34.716Z,168773655471600
"""Phil @ 0sg0elEyIS"" shows a 2♥, K♠.",2023-06-25T23:42:29.021Z,168773654902100
"""Tomson @ DEEeyM57t0"" shows a 5♥, 4♦.",2023-06-25T23:42:27.679Z,168773654767900
"-- ending hand #483 --",2023-06-25T23:42:27.400Z,168773654740002
"""Phil @ 0sg0elEyIS"" collected 20.00 from pot",2023-06-25T23:42:27.400Z,168773654740001
"Uncalled bet of 20.00 returned to ""Phil @ 0sg0elEyIS""",2023-06-25T23:42:27.400Z,168773654740000
"""Tomson @ DEEeyM57t0"" folds",2023-06-25T23:42:26.581Z,168773654658100
"""Phil @ 0sg0elEyIS"" raises to 25.00",2023-06-25T23:42:25.187Z,168773654518700
"""Tomson @ DEEeyM57t0"" bets 5.00",2023-06-25T23:42:22.491Z,168773654249100
"Flop:  [9♥, K♥, 5♣]",2023-06-25T23:42:18.393Z,168773653839300
"""Tomson @ DEEeyM57t0"" calls 5.00",2023-06-25T23:42:17.549Z,168773653754900
"""Phil @ 0sg0elEyIS"" raises to 5.00",2023-06-25T23:42:10.725Z,168773653072500
"""Tomson @ DEEeyM57t0"" posts a big blind of 1.00",2023-06-25T23:42:07.585Z,168773652758505
"""Phil @ 0sg0elEyIS"" posts a small blind of 0.50",2023-06-25T23:42:07.585Z,168773652758504
"Player stacks: #4 ""Phil @ 0sg0elEyIS"" (245.43) | #7 ""Tomson @ DEEeyM57t0"" (462.78)",2023-06-25T23:42:07.585Z,168773652758501
"-- starting hand #483 (id: sa9jureihfaf)  (No Limit Texas Hold'em) (dealer: ""Phil @ 0sg0elEyIS"") --",2023-06-25T23:42:07.585Z,168773652758500
"-- ending hand #482 --",2023-06-25T23:42:04.583Z,168773652458302
"""Phil @ 0sg0elEyIS"" collected 2.00 from pot",2023-06-25T23:42:04.583Z,168773652458301
