entry,at,order
"The player ""Jake @ pxBPFTADd7"" stand up with the stack of 279.24.",2023-06-12T19:50:26.495Z,168659942649501
"The player ""mp @ 9fDzT11Vfc"" stand up with the stack of 159.21.",2023-06-12T19:50:26.495Z,168659942649500
"-- ending hand #86 --",2023-06-12T19:50:23.531Z,168659942353102
"""Brett @ VeVXdEFdHD"" collected 1.00 from pot",2023-06-12T19:50:23.531Z,168659942353101
"Uncalled bet of 0.50 returned to ""Brett @ VeVXdEFdHD""",2023-06-12T19:50:23.531Z,168659942353100
"""mp @ 9fDzT11Vfc"" folds",2023-06-12T19:50:22.696Z,168659942269600
"""Jake @ pxBPFTADd7"" folds",2023-06-12T19:50:21.821Z,168659942182100
"""Brett @ VeVXdEFdHD"" posts a big blind of 1.00",2023-06-12T19:50:08.265Z,168659940826507
"""mp @ 9fDzT11Vfc"" posts a small blind of 0.50",2023-06-12T19:50:08.265Z,168659940826506
"Player stacks: #3 ""mp @ 9fDzT11Vfc"" (159.71) | #5 ""Brett @ VeVXdEFdHD"" (231.25) | #10 ""Jake @ pxBPFTADd7"" (279.24)",2023-06-12T19:50:08.265Z,168659940826502
"-- starting hand #86 (id: z7zt9hv7mtmd)  (No Limit Texas Hold'em) (dead button) --",2023-06-12T19:50:08.265Z,168659940826501
"The player ""Mamo @ abVmUlEwy_"" stand up with the stack of 33.11.",2023-06-12T19:50:08.265Z,168659940826500
"-- ending hand #85 --",2023-06-12T19:50:02.187Z,168659940218702
"""mp @ 9fDzT11Vfc"" collected 12.50 from pot with Two Pair, J's & 2's (combination: J♥, J♦, 2♠, 2♣, Q♥)",2023-06-12T19:50:02.187Z,168659940218701
"""mp @ 9fDzT11Vfc"" shows a J♥, Q♥.",2023-06-12T19:50:02.187Z,168659940218700
"""Jake @ pxBPFTADd7"" checks",2023-06-12T19:50:01.310Z,168659940131000
"""mp @ 9fDzT11Vfc"" checks",2023-06-12T19:49:57.413Z,168659939741300
"River: 2♠, 2♣, J♦, 3♦ [4♦]",2023-06-12T19:49:56.241Z,168659939624100
"""Jake @ pxBPFTADd7"" checks",2023-06-12T19:49:55.386Z,168659939538600
"""mp @ 9fDzT11Vfc"" checks",2023-06-12T19:49:50.428Z,168659939042800
"Turn: 2♠, 2♣, J♦ [3♦]",2023-06-12T19:49:49.039Z,168659938903900
"""mp @ 9fDzT11Vfc"" calls 3.00",2023-06-12T19:49:48.212Z,168659938821200
"""Jake @ pxBPFTADd7"" bets 3.00",2023-06-12T19:49:46.086Z,168659938608600
"""mp @ 9fDzT11Vfc"" checks",2023-06-12T19:49:40.616Z,168659938061600
"Flop:  [2♠, 2♣, J♦]",2023-06-12T19:49:35.028Z,168659937502800
"""mp @ 9fDzT11Vfc"" calls 3.00",2023-06-12T19:49:34.179Z,168659937417900
