entry,at,order
"-- ending hand #560 --",2023-05-19T01:04:22.570Z,168445826257003
"""MJK @ 8xuYQoCB-e"" shows a 6♣, K♠.",2023-05-19T01:04:22.570Z,168445826257002
"""Tomson @ IO0EciXUIs"" collected 28.00 from pot with Pair, 7's (combination: 7♥, 7♦, A♥, Q♠, 6♠)",2023-05-19T01:04:22.570Z,168445826257001
"""Tomson @ IO0EciXUIs"" shows a 5♦, 7♥.",2023-05-19T01:04:22.570Z,168445826257000
"""Tomson @ IO0EciXUIs"" checks",2023-05-19T01:04:21.759Z,168445826175900
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T01:04:20.757Z,168445826075700
"River: 6♠, A♥, Q♠, 7♦ [3♥]",2023-05-19T01:04:19.368Z,168445825936800
"""Tomson @ IO0EciXUIs"" checks",2023-05-19T01:04:18.559Z,168445825855900
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T01:04:17.233Z,168445825723300
"Turn: 6♠, A♥, Q♠ [7♦]",2023-05-19T01:04:16.202Z,168445825620200
"""MJK @ 8xuYQoCB-e"" calls 7.00",2023-05-19T01:04:15.375Z,168445825537500
"""Tomson @ IO0EciXUIs"" bets 7.00",2023-05-19T01:04:13.145Z,168445825314500
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T01:04:09.547Z,168445824954700
"Flop:  [6♠, A♥, Q♠]",2023-05-19T01:04:08.397Z,168445824839700
"""MJK @ 8xuYQoCB-e"" calls 7.00",2023-05-19T01:04:07.560Z,168445824756000
"""Tomson @ IO0EciXUIs"" raises to 7.00",2023-05-19T01:04:05.270Z,168445824527000
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the game stop on next hand.",2023-05-19T01:04:03.711Z,168445824371100
"""MJK @ 8xuYQoCB-e"" calls 1.00",2023-05-19T01:03:58.906Z,168445823890600
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-19T01:03:54.671Z,168445823467100
"""Tomson @ IO0EciXUIs"" posts a big blind of 1.00",2023-05-19T01:03:40.529Z,168445822052907
"""MJK @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-05-19T01:03:40.529Z,168445822052906
"Player stacks: #1 ""Tomson @ IO0EciXUIs"" (999.64) | #9 ""Shlapp @ ZWO9_p1DU9"" (278.80) | #10 ""MJK @ 8xuYQoCB-e"" (323.77)",2023-05-19T01:03:40.529Z,168445822052902
"-- starting hand #560 (id: itrkmjwj5ys5)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-05-19T01:03:40.529Z,168445822052901
"The player ""scrap @ z2HyPltNTn"" quits the game with a stack of 721.05.",2023-05-19T01:03:40.529Z,168445822052900
"-- ending hand #559 --",2023-05-19T01:03:34.608Z,168445821460802
"""MJK @ 8xuYQoCB-e"" collected 28.48 from pot",2023-05-19T01:03:34.608Z,168445821460801
"Uncalled bet of 24.36 returned to ""MJK @ 8xuYQoCB-e""",2023-05-19T01:03:34.608Z,168445821460800
"""Tomson @ IO0EciXUIs"" folds",2023-05-19T01:03:33.764Z,168445821376400
"""MJK @ 8xuYQoCB-e"" raises to 30.48",2023-05-19T01:03:31.358Z,168445821135800
"""Tomson @ IO0EciXUIs"" bets 6.12",2023-05-19T01:03:18.908Z,168445819890800
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T01:03:14.706Z,168445819470600
"Turn: A♣, 3♥, J♣ [8♠]",2023-05-19T01:03:13.092Z,168445819309200
"""MJK @ 8xuYQoCB-e"" calls 4.87",2023-05-19T01:03:12.199Z,168445819219900
"""scrap @ z2HyPltNTn"" folds",2023-05-19T01:03:09.633Z,168445818963300
"""Tomson @ IO0EciXUIs"" bets 4.87",2023-05-19T01:03:08.154Z,168445818815400
"""MJK @ 8xuYQoCB-e"" checks",2023-05-19T01:03:01.995Z,168445818199500
"Flop:  [A♣, 3♥, J♣]",2023-05-19T01:02:51.891Z,168445817189100
"""Tomson @ IO0EciXUIs"" checks",2023-05-19T01:02:51.055Z,168445817105500
"""MJK @ 8xuYQoCB-e"" calls 2.00",2023-05-19T01:02:45.187Z,168445816518700
