entry,at,order
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 1232.50.",2023-05-22T07:39:42.383Z,168474118238300
"-- ending hand #537 --",2023-05-22T07:39:36.474Z,168474117647402
"""Gill iPad @ rBxx2OqQ80"" collected 2.00 from pot",2023-05-22T07:39:36.474Z,168474117647401
"Uncalled bet of 1.00 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-22T07:39:36.474Z,168474117647400
"""Hayden @ 2LakBwr16r"" folds",2023-05-22T07:39:35.573Z,168474117557300
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 2.00",2023-05-22T07:39:33.272Z,168474117327206
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-22T07:39:33.272Z,168474117327205
"Player stacks: #2 ""Hayden @ 2LakBwr16r"" (1233.50) | #10 ""Gill iPad @ rBxx2OqQ80"" (116.38)",2023-05-22T07:39:33.272Z,168474117327202
"-- starting hand #537 (id: xdvuym2zqtxu)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-22T07:39:33.272Z,168474117327201
"The player ""RikTop @ wAgo7xgxkb"" stand up with the stack of 924.80.",2023-05-22T07:39:33.272Z,168474117327200
"-- ending hand #536 --",2023-05-22T07:39:27.263Z,168474116726302
"""RikTop @ wAgo7xgxkb"" collected 16.00 from pot",2023-05-22T07:39:27.263Z,168474116726301
"Uncalled bet of 16.00 returned to ""RikTop @ wAgo7xgxkb""",2023-05-22T07:39:27.263Z,168474116726300
"""Hayden @ 2LakBwr16r"" folds",2023-05-22T07:39:26.424Z,168474116642400
"""RikTop @ wAgo7xgxkb"" raises to 24.00",2023-05-22T07:39:24.486Z,168474116448600
"""Hayden @ 2LakBwr16r"" raises to 8.00",2023-05-22T07:39:19.385Z,168474115938500
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-22T07:39:16.216Z,168474115621600
"""RikTop @ wAgo7xgxkb"" posts a big blind of 2.00",2023-05-22T07:39:14.454Z,168474115445406
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-22T07:39:14.454Z,168474115445405
"Player stacks: #2 ""Hayden @ 2LakBwr16r"" (1241.50) | #9 ""RikTop @ wAgo7xgxkb"" (916.80) | #10 ""Gill iPad @ rBxx2OqQ80"" (116.38)",2023-05-22T07:39:14.454Z,168474115445401
