entry,at,order
"The player ""Phil @ JZNV0izPqn"" stand up with the stack of 243.15.",2023-06-03T05:36:49.789Z,168577060978900
"-- ending hand #171 --",2023-06-03T05:36:46.863Z,168577060686302
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-06-03T05:36:46.863Z,168577060686301
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-06-03T05:36:46.863Z,168577060686300
"""Phil @ JZNV0izPqn"" folds",2023-06-03T05:36:46.028Z,168577060602800
"""Hayden @ 2LakBwr16r"" raises to 3.00",2023-06-03T05:36:45.057Z,168577060505700
"""Phil @ JZNV0izPqn"" posts a big blind of 1.00",2023-06-03T05:36:41.461Z,168577060146106
"""Hayden @ 2LakBwr16r"" posts a small blind of 0.50",2023-06-03T05:36:41.461Z,168577060146105
"Player stacks: #2 ""Phil @ JZNV0izPqn"" (244.15) | #7 ""Hayden @ 2LakBwr16r"" (146.88)",2023-06-03T05:36:41.461Z,168577060146102
"-- starting hand #171 (id: ycyum6j95lsq)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-06-03T05:36:41.461Z,168577060146101
"The player ""Goml @ ZHBYSqLh4g"" stand up with the stack of 174.90.",2023-06-03T05:36:41.461Z,168577060146100
"-- ending hand #170 --",2023-06-03T05:36:38.509Z,168577059850902
"""Phil @ JZNV0izPqn"" collected 1.00 from pot",2023-06-03T05:36:38.509Z,168577059850901
"Uncalled bet of 0.50 returned to ""Phil @ JZNV0izPqn""",2023-06-03T05:36:38.509Z,168577059850900
"""Hayden @ 2LakBwr16r"" folds",2023-06-03T05:36:37.660Z,168577059766000
"""Goml @ ZHBYSqLh4g"" folds",2023-06-03T05:36:36.580Z,168577059658000
"""Phil @ JZNV0izPqn"" posts a big blind of 1.00",2023-06-03T05:36:34.909Z,168577059490906
"""Hayden @ 2LakBwr16r"" posts a small blind of 0.50",2023-06-03T05:36:34.909Z,168577059490905
"Player stacks: #2 ""Phil @ JZNV0izPqn"" (243.65) | #3 ""Goml @ ZHBYSqLh4g"" (174.90) | #7 ""Hayden @ 2LakBwr16r"" (147.38)",2023-06-03T05:36:34.909Z,168577059490901
"-- starting hand #170 (id: kpasvmbbb25g)  (No Limit Texas Hold'em) (dealer: ""Goml @ ZHBYSqLh4g"") --",2023-06-03T05:36:34.909Z,168577059490900
"-- ending hand #169 --",2023-06-03T05:36:31.989Z,168577059198902
"""Hayden @ 2LakBwr16r"" collected 4.00 from pot",2023-06-03T05:36:31.989Z,168577059198901
"Uncalled bet of 3.00 returned to ""Hayden @ 2LakBwr16r""",2023-06-03T05:36:31.989Z,168577059198900
"""Goml @ ZHBYSqLh4g"" folds",2023-06-03T05:36:31.172Z,168577059117200
"""Hayden @ 2LakBwr16r"" bets 3.00",2023-06-03T05:36:29.889Z,168577058988900
"""Goml @ ZHBYSqLh4g"" checks",2023-06-03T05:36:26.144Z,168577058614400
"River: Q♠, 5♦, Q♦, 6♠ [3♣]",2023-06-03T05:36:25.302Z,168577058530200
"""Goml @ ZHBYSqLh4g"" calls 1.00",2023-06-03T05:36:24.465Z,168577058446500
"""Hayden @ 2LakBwr16r"" bets 1.00",2023-06-03T05:36:23.435Z,168577058343500
"""Goml @ ZHBYSqLh4g"" checks",2023-06-03T05:36:20.027Z,168577058002700
"Turn: Q♠, 5♦, Q♦ [6♠]",2023-06-03T05:36:18.503Z,168577057850300
"""Hayden @ 2LakBwr16r"" checks",2023-06-03T05:36:17.662Z,168577057766200
"""Goml @ ZHBYSqLh4g"" checks",2023-06-03T05:36:12.520Z,168577057252000
"Flop:  [Q♠, 5♦, Q♦]",2023-06-03T05:36:10.693Z,168577057069300
"""Hayden @ 2LakBwr16r"" checks",2023-06-03T05:36:09.825Z,168577056982500
"""Goml @ ZHBYSqLh4g"" calls 1.00",2023-06-03T05:36:07.439Z,168577056743900
"""Phil @ JZNV0izPqn"" folds",2023-06-03T05:36:06.271Z,168577056627100
"""Hayden @ 2LakBwr16r"" posts a big blind of 1.00",2023-06-03T05:36:04.360Z,168577056436006
"""Goml @ ZHBYSqLh4g"" posts a small blind of 0.50",2023-06-03T05:36:04.360Z,168577056436005
"Player stacks: #2 ""Phil @ JZNV0izPqn"" (243.65) | #3 ""Goml @ ZHBYSqLh4g"" (176.90) | #7 ""Hayden @ 2LakBwr16r"" (145.38)",2023-06-03T05:36:04.360Z,168577056436001
