entry,at,order
"The player ""Nyet @ M4PvxvIGMA"" quits the game with a stack of 403.08.",2023-05-29T01:43:41.528Z,168532462152801
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the removal of the player ""Nyet @ M4PvxvIGMA"".",2023-05-29T01:43:41.528Z,168532462152800
"The player ""DoubleMeUp @ b7ceNwY-zZ"" stand up with the stack of 175.90.",2023-05-29T01:39:31.078Z,168532437107800
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the game stop on next hand.",2023-05-29T01:39:29.345Z,168532436934500
"-- ending hand #544 --",2023-05-29T01:39:19.323Z,168532435932302
"""Shlapp @ ZWO9_p1DU9"" collected 2.00 from pot",2023-05-29T01:39:19.323Z,168532435932301
"Uncalled bet of 1.00 returned to ""Shlapp @ ZWO9_p1DU9""",2023-05-29T01:39:19.323Z,168532435932300
"""DoubleMeUp @ b7ceNwY-zZ"" folds",2023-05-29T01:39:18.460Z,168532435846000
"""Shlapp @ ZWO9_p1DU9"" bets 1.00",2023-05-29T01:39:17.626Z,168532435762600
"Flop:  [8♠, A♠, 10♥]",2023-05-29T01:39:15.019Z,168532435501900
"""DoubleMeUp @ b7ceNwY-zZ"" checks",2023-05-29T01:39:14.116Z,168532435411600
"""Shlapp @ ZWO9_p1DU9"" calls 1.00",2023-05-29T01:39:13.297Z,168532435329700
"""Bruce @ aZy8GgOmC7"" folds",2023-05-29T01:39:10.586Z,168532435058600
"""DoubleMeUp @ b7ceNwY-zZ"" posts a big blind of 1.00",2023-05-29T01:39:08.106Z,168532434810607
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-05-29T01:39:08.106Z,168532434810606
"Player stacks: #1 ""Shlapp @ ZWO9_p1DU9"" (294.90) | #5 ""DoubleMeUp @ b7ceNwY-zZ"" (176.90) | #10 ""Bruce @ aZy8GgOmC7"" (233.60)",2023-05-29T01:39:08.106Z,168532434810602
