entry,at,order
"The player ""Rickkkkk @ UZZ05k8aJ-"" quits the game with a stack of 478.25.",2023-06-17T18:51:59.864Z,168702791986400
"The player ""Allen @ cMRMyhiJeR"" quits the game with a stack of 365.00.",2023-06-17T08:02:30.248Z,168698895024800
"-- ending hand #90 --",2023-06-17T08:02:24.278Z,168698894427802
"""Phil @ GCtQMn_f2C"" collected 2.00 from pot",2023-06-17T08:02:24.278Z,168698894427801
"Uncalled bet of 1.00 returned to ""Phil @ GCtQMn_f2C""",2023-06-17T08:02:24.278Z,168698894427800
"""Allen @ cMRMyhiJeR"" folds",2023-06-17T08:02:23.470Z,168698894347000
"""Phil @ GCtQMn_f2C"" posts a big blind of 2.00",2023-06-17T08:02:20.340Z,168698894034005
"""Allen @ cMRMyhiJeR"" posts a small blind of 1.00",2023-06-17T08:02:20.340Z,168698894034004
"Player stacks: #3 ""Allen @ cMRMyhiJeR"" (366.00) | #6 ""Phil @ GCtQMn_f2C"" (526.97)",2023-06-17T08:02:20.340Z,168698894034001
"-- starting hand #90 (id: 1dlgzwifeb2g)  (No Limit Texas Hold'em) (dealer: ""Allen @ cMRMyhiJeR"") --",2023-06-17T08:02:20.340Z,168698894034000
"-- ending hand #89 --",2023-06-17T08:02:14.417Z,168698893441702
"""Allen @ cMRMyhiJeR"" collected 12.00 from pot",2023-06-17T08:02:14.417Z,168698893441701
"Uncalled bet of 12.00 returned to ""Allen @ cMRMyhiJeR""",2023-06-17T08:02:14.417Z,168698893441700
"""Phil @ GCtQMn_f2C"" folds",2023-06-17T08:02:13.613Z,168698893361300
"""Allen @ cMRMyhiJeR"" raises to 18.00",2023-06-17T08:02:10.591Z,168698893059100
"""Phil @ GCtQMn_f2C"" raises to 6.00",2023-06-17T08:02:02.464Z,168698892246400
"""Allen @ cMRMyhiJeR"" posts a big blind of 2.00",2023-06-17T08:01:59.902Z,168698891990207
"""Phil @ GCtQMn_f2C"" posts a small blind of 1.00",2023-06-17T08:01:59.902Z,168698891990206
"Player stacks: #3 ""Allen @ cMRMyhiJeR"" (360.00) | #6 ""Phil @ GCtQMn_f2C"" (532.97)",2023-06-17T08:01:59.902Z,168698891990203
"-- starting hand #89 (id: pujufuefkjtj)  (No Limit Texas Hold'em) (dealer: ""Phil @ GCtQMn_f2C"") --",2023-06-17T08:01:59.902Z,168698891990202
"The player ""Toby @ 76KLHFOJAT"" quits the game with a stack of 439.00.",2023-06-17T08:01:59.902Z,168698891990201
"The player ""Goml @ UkR2tN2H8R"" stand up with the stack of 295.89.",2023-06-17T08:01:59.902Z,168698891990200
"-- ending hand #88 --",2023-06-17T08:01:53.978Z,168698891397802
"""Allen @ cMRMyhiJeR"" collected 5.00 from pot",2023-06-17T08:01:53.978Z,168698891397801
"Uncalled bet of 4.00 returned to ""Allen @ cMRMyhiJeR""",2023-06-17T08:01:53.978Z,168698891397800
"""Toby @ 76KLHFOJAT"" folds",2023-06-17T08:01:53.107Z,168698891310700
"""Phil @ GCtQMn_f2C"" folds",2023-06-17T08:01:36.923Z,168698889692300
"""Goml @ UkR2tN2H8R"" folds",2023-06-17T08:01:35.953Z,168698889595300
"""Allen @ cMRMyhiJeR"" raises to 6.00",2023-06-17T08:01:35.090Z,168698889509000
"""Toby @ 76KLHFOJAT"" posts a big blind of 2.00",2023-06-17T08:01:26.263Z,168698888626309
"""Phil @ GCtQMn_f2C"" posts a small blind of 1.00",2023-06-17T08:01:26.263Z,168698888626308
"Player stacks: #3 ""Allen @ cMRMyhiJeR"" (357.00) | #5 ""Goml @ UkR2tN2H8R"" (295.89) | #6 ""Phil @ GCtQMn_f2C"" (533.97) | #9 ""Toby @ 76KLHFOJAT"" (441.00)",2023-06-17T08:01:26.263Z,168698888626303
"-- starting hand #88 (id: vzfa4ah24mqt)  (No Limit Texas Hold'em) (dealer: ""Goml @ UkR2tN2H8R"") --",2023-06-17T08:01:26.263Z,168698888626302
"The player ""Ben @ vpan8W0H_8"" stand up with the stack of 103.18.",2023-06-17T08:01:26.263Z,168698888626301
"The player ""brett @ eKDH2_sDqp"" stand up with the stack of 521.97.",2023-06-17T08:01:26.263Z,168698888626300
"-- ending hand #87 --",2023-06-17T08:01:20.253Z,168698888025302
"""Allen @ cMRMyhiJeR"" collected 71.00 from pot",2023-06-17T08:01:20.253Z,168698888025301
"Uncalled bet of 40.00 returned to ""Allen @ cMRMyhiJeR""",2023-06-17T08:01:20.253Z,168698888025300
"""Phil @ GCtQMn_f2C"" folds",2023-06-17T08:01:19.407Z,168698887940700
"""Allen @ cMRMyhiJeR"" bets 40.00",2023-06-17T08:01:17.433Z,168698887743300
"""Phil @ GCtQMn_f2C"" checks",2023-06-17T08:01:13.046Z,168698887304600
"Turn: 6♠, Q♠, 3♥ [4♠]",2023-06-17T08:01:06.245Z,168698886624500
"""Allen @ cMRMyhiJeR"" calls 17.00",2023-06-17T08:01:05.403Z,168698886540300
"""Phil @ GCtQMn_f2C"" bets 17.00",2023-06-17T08:01:04.136Z,168698886413600
"Flop:  [6♠, Q♠, 3♥]",2023-06-17T08:01:00.316Z,168698886031600
"""Allen @ cMRMyhiJeR"" calls 18.00",2023-06-17T08:00:59.445Z,168698885944500
"""Phil @ GCtQMn_f2C"" raises to 18.00",2023-06-17T08:00:57.585Z,168698885758500
"""Goml @ UkR2tN2H8R"" folds",2023-06-17T08:00:54.425Z,168698885442500
"""Allen @ cMRMyhiJeR"" raises to 5.00",2023-06-17T08:00:52.443Z,168698885244300
"""Ben @ vpan8W0H_8"" folds",2023-06-17T08:00:31.786Z,168698883178600
"""Toby @ 76KLHFOJAT"" folds",2023-06-17T08:00:30.893Z,168698883089300
"""brett @ eKDH2_sDqp"" folds",2023-06-17T08:00:29.972Z,168698882997200
"""Phil @ GCtQMn_f2C"" posts a big blind of 2.00",2023-06-17T08:00:22.378Z,168698882237809
"""Goml @ UkR2tN2H8R"" posts a small blind of 1.00",2023-06-17T08:00:22.378Z,168698882237808
"Player stacks: #1 ""Ben @ vpan8W0H_8"" (103.18) | #3 ""Allen @ cMRMyhiJeR"" (321.00) | #5 ""Goml @ UkR2tN2H8R"" (296.89) | #6 ""Phil @ GCtQMn_f2C"" (568.97) | #8 ""brett @ eKDH2_sDqp"" (521.97) | #9 ""Toby @ 76KLHFOJAT"" (441.00)",2023-06-17T08:00:22.378Z,168698882237801
"-- starting hand #87 (id: glk4kzhe9vll)  (No Limit Texas Hold'em) (dead button) --",2023-06-17T08:00:22.378Z,168698882237800
"-- ending hand #86 --",2023-06-17T08:00:16.377Z,168698881637702
"""Toby @ 76KLHFOJAT"" collected 4.00 from pot",2023-06-17T08:00:16.377Z,168698881637701
"Uncalled bet of 4.00 returned to ""Toby @ 76KLHFOJAT""",2023-06-17T08:00:16.377Z,168698881637700
"""Goml @ UkR2tN2H8R"" folds",2023-06-17T08:00:15.561Z,168698881556100
"""Allen @ cMRMyhiJeR"" folds",2023-06-17T08:00:11.852Z,168698881185200
"""Ben @ vpan8W0H_8"" folds",2023-06-17T08:00:11.009Z,168698881100900
"""Toby @ 76KLHFOJAT"" raises to 6.00",2023-06-17T07:59:50.141Z,168698879014100
"""brett @ eKDH2_sDqp"" folds",2023-06-17T07:59:40.108Z,168698878010800
"""Phil @ GCtQMn_f2C"" folds",2023-06-17T07:59:39.251Z,168698877925100
"""Goml @ UkR2tN2H8R"" posts a big blind of 2.00",2023-06-17T07:59:37.812Z,168698877781211
"Dead Small Blind",2023-06-17T07:59:37.812Z,168698877781210
"Player stacks: #1 ""Ben @ vpan8W0H_8"" (103.18) | #3 ""Allen @ cMRMyhiJeR"" (321.00) | #5 ""Goml @ UkR2tN2H8R"" (298.89) | #6 ""Phil @ GCtQMn_f2C"" (568.97) | #8 ""brett @ eKDH2_sDqp"" (521.97) | #9 ""Toby @ 76KLHFOJAT"" (439.00)",2023-06-17T07:59:37.812Z,168698877781203
"-- starting hand #86 (id: r7b1abwet6ki)  (No Limit Texas Hold'em) (dealer: ""Allen @ cMRMyhiJeR"") --",2023-06-17T07:59:37.812Z,168698877781202
"The player ""Kitsos @ 4DT3vFeWj1"" stand up with the stack of 682.00.",2023-06-17T07:59:37.812Z,168698877781201
"The player ""Rickkkkk @ UZZ05k8aJ-"" stand up with the stack of 478.25.",2023-06-17T07:59:37.812Z,168698877781200
"""brett @ eKDH2_sDqp"" shows a 9♥, 2♣.",2023-06-17T07:59:33.456Z,168698877345600
"-- ending hand #85 --",2023-06-17T07:59:31.251Z,168698877125103
"""Phil @ GCtQMn_f2C"" shows a 2♥, 7♥.",2023-06-17T07:59:31.251Z,168698877125102
"""Toby @ 76KLHFOJAT"" collected 39.00 from pot with Pair, 9's (combination: 9♠, 9♦, Q♥, 10♥, 8♣)",2023-06-17T07:59:31.251Z,168698877125101
"""Toby @ 76KLHFOJAT"" shows a Q♥, 9♠.",2023-06-17T07:59:31.251Z,168698877125100
