entry,at,order
"The player ""Phil @ JZNV0izPqn"" quits the game with a stack of 208.05.",2023-05-23T22:06:18.508Z,168487957850800
"The player ""Shlapp @ ZWO9_p1DU9"" quits the game with a stack of 117.85.",2023-05-23T22:05:37.665Z,168487953766500
"The player ""Wolfman @ uKKXT74Xql"" quits the game with a stack of 286.02.",2023-05-23T22:05:18.151Z,168487951815101
"The admin ""aiden @ KMAZFFRoUh"" enqueued the removal of the player ""Wolfman @ uKKXT74Xql"".",2023-05-23T22:05:18.151Z,168487951815100
"The player ""Toby @ 76KLHFOJAT"" quits the game with a stack of 222.12.",2023-05-23T22:05:10.128Z,168487951012801
"The admin ""aiden @ KMAZFFRoUh"" enqueued the removal of the player ""Toby @ 76KLHFOJAT"".",2023-05-23T22:05:10.128Z,168487951012800
"The player ""Phil @ JZNV0izPqn"" sit back with the stack of 208.05.",2023-05-23T22:05:05.725Z,168487950572500
"The player ""Dp @ YyWpODWXWx"" quits the game with a stack of 256.22.",2023-05-23T22:05:03.062Z,168487950306201
"The admin ""aiden @ KMAZFFRoUh"" enqueued the removal of the player ""Dp @ YyWpODWXWx"".",2023-05-23T22:05:03.062Z,168487950306200
"The player ""Phil @ JZNV0izPqn"" stand up with the stack of 208.05.",2023-05-23T22:00:18.350Z,168487921835000
"-- ending hand #301 --",2023-05-23T22:00:12.344Z,168487921234403
"""Phil @ JZNV0izPqn"" shows a A♥, K♠.",2023-05-23T22:00:12.344Z,168487921234402
"""aiden @ KMAZFFRoUh"" collected 24.00 from pot with Two Pair, J's & 10's (combination: J♣, J♦, 10♣, 10♠, 7♠)",2023-05-23T22:00:12.344Z,168487921234401
"""aiden @ KMAZFFRoUh"" shows a J♣, 4♣.",2023-05-23T22:00:12.344Z,168487921234400
"""Phil @ JZNV0izPqn"" checks",2023-05-23T22:00:11.512Z,168487921151200
"""aiden @ KMAZFFRoUh"" checks",2023-05-23T22:00:10.514Z,168487921051400
"River: J♦, 7♠, 4♥, 10♣ [10♠]",2023-05-23T22:00:08.853Z,168487920885300
"""Phil @ JZNV0izPqn"" calls 6.00",2023-05-23T22:00:07.976Z,168487920797600
"""aiden @ KMAZFFRoUh"" bets 6.00",2023-05-23T22:00:06.644Z,168487920664400
"Turn: J♦, 7♠, 4♥ [10♣]",2023-05-23T22:00:02.847Z,168487920284700
"""Phil @ JZNV0izPqn"" calls 3.00",2023-05-23T22:00:02.021Z,168487920202100
"""aiden @ KMAZFFRoUh"" bets 3.00",2023-05-23T22:00:00.224Z,168487920022400
"Flop:  [J♦, 7♠, 4♥]",2023-05-23T21:59:57.049Z,168487919704900
"""aiden @ KMAZFFRoUh"" calls 3.00",2023-05-23T21:59:56.222Z,168487919622200
"""Phil @ JZNV0izPqn"" raises to 3.00",2023-05-23T21:59:54.613Z,168487919461300
"""aiden @ KMAZFFRoUh"" posts a big blind of 1.00",2023-05-23T21:59:52.358Z,168487919235805
"""Phil @ JZNV0izPqn"" posts a small blind of 0.50",2023-05-23T21:59:52.358Z,168487919235804
