entry,at,order
"The player ""Phil @ mKQWLZqsrK"" quits the game with a stack of 582.47.",2023-06-22T20:26:09.963Z,168746556996300
"The player ""Phil @ mKQWLZqsrK"" stand up with the stack of 582.47.",2023-06-22T20:24:44.065Z,168746548406500
"The player ""Jackson @ yXr_bmZ3u2"" quits the game with a stack of 0.00.",2023-06-22T20:24:38.468Z,168746547846800
"-- ending hand #163 --",2023-06-22T20:24:30.457Z,168746547045702
"""Phil @ mKQWLZqsrK"" collected 152.00 from pot with Pair, A's on the second run  (combination: A♠, A♥, K♣, J♠, 8♠)",2023-06-22T20:24:30.457Z,168746547045701
"""Phil @ mKQWLZqsrK"" collected 152.00 from pot with Pair, K's (combination: K♣, K♦, A♠, Q♦, 8♥)",2023-06-22T20:24:30.457Z,168746547045700
"River (second run): 8♠, 3♣, 6♦, J♠ [A♥]",2023-06-22T20:24:26.446Z,168746546644600
"Turn (second run): 8♠, 3♣, 6♦ [J♠]",2023-06-22T20:24:22.416Z,168746546241600
"Flop (second run):  [8♠, 3♣, 6♦]",2023-06-22T20:24:18.338Z,168746545833800
"River: 4♠, 2♦, K♦, Q♦ [8♥]",2023-06-22T20:24:14.334Z,168746545433400
"Turn: 4♠, 2♦, K♦ [Q♦]",2023-06-22T20:24:10.321Z,168746545032100
"Flop:  [4♠, 2♦, K♦]",2023-06-22T20:24:06.232Z,168746544623200
"""Phil @ mKQWLZqsrK"" shows a A♠, K♣.",2023-06-22T20:24:02.205Z,168746544220501
"""Jackson @ yXr_bmZ3u2"" shows a 5♣, 5♦.",2023-06-22T20:24:02.205Z,168746544220500
"All players in hand choose to run it twice.",2023-06-22T20:24:01.312Z,168746544131201
"""Phil @ mKQWLZqsrK"" chooses to  run it twice.",2023-06-22T20:24:01.312Z,168746544131200
"""Jackson @ yXr_bmZ3u2"" chooses to  run it twice.",2023-06-22T20:24:00.794Z,168746544079400
"Remaining players decide whether to run it twice.",2023-06-22T20:23:59.992Z,168746543999201
"""Jackson @ yXr_bmZ3u2"" calls 152.00 and go all in",2023-06-22T20:23:59.992Z,168746543999200
"""Phil @ mKQWLZqsrK"" raises to 152.00",2023-06-22T20:23:24.413Z,168746540441300
"""Jackson @ yXr_bmZ3u2"" raises to 10.00",2023-06-22T20:23:22.385Z,168746540238500
"""Phil @ mKQWLZqsrK"" posts a straddle of 2.00",2023-06-22T20:23:16.431Z,168746539643106
"""Jackson @ yXr_bmZ3u2"" posts a big blind of 1.00",2023-06-22T20:23:16.431Z,168746539643105
"""Phil @ mKQWLZqsrK"" posts a small blind of 0.50",2023-06-22T20:23:16.431Z,168746539643104
"Player stacks: #3 ""Jackson @ yXr_bmZ3u2"" (152.00) | #5 ""Phil @ mKQWLZqsrK"" (430.47)",2023-06-22T20:23:16.431Z,168746539643101
"-- starting hand #163 (id: te160qhk1ufp)  (No Limit Texas Hold'em) (dealer: ""Phil @ mKQWLZqsrK"") --",2023-06-22T20:23:16.431Z,168746539643100
"-- ending hand #162 --",2023-06-22T20:23:13.502Z,168746539350202
"""Jackson @ yXr_bmZ3u2"" collected 64.00 from pot",2023-06-22T20:23:13.502Z,168746539350201
"Uncalled bet of 1.00 returned to ""Jackson @ yXr_bmZ3u2""",2023-06-22T20:23:13.502Z,168746539350200
"""Phil @ mKQWLZqsrK"" folds",2023-06-22T20:23:12.689Z,168746539268900
"""Jackson @ yXr_bmZ3u2"" bets 1.00",2023-06-22T20:23:04.989Z,168746538498900
"""Phil @ mKQWLZqsrK"" checks",2023-06-22T20:22:57.340Z,168746537734000
"River: 6♦, K♥, 4♦, K♦ [Q♣]",2023-06-22T20:22:56.193Z,168746537619300
"""Jackson @ yXr_bmZ3u2"" calls 16.00",2023-06-22T20:22:55.334Z,168746537533400
"""Phil @ mKQWLZqsrK"" bets 16.00",2023-06-22T20:22:53.880Z,168746537388000
"Turn: 6♦, K♥, 4♦ [K♦]",2023-06-22T20:22:44.052Z,168746536405200
"""Jackson @ yXr_bmZ3u2"" calls 10.00",2023-06-22T20:22:43.171Z,168746536317100
"""Phil @ mKQWLZqsrK"" raises to 10.00",2023-06-22T20:22:41.195Z,168746536119500
"""Jackson @ yXr_bmZ3u2"" raises to 2.00",2023-06-22T20:22:38.525Z,168746535852500
"""Phil @ mKQWLZqsrK"" bets 1.00",2023-06-22T20:22:35.331Z,168746535533100
"Flop:  [6♦, K♥, 4♦]",2023-06-22T20:22:32.844Z,168746535284400
"""Jackson @ yXr_bmZ3u2"" calls 6.00",2023-06-22T20:22:31.957Z,168746535195700
"""Phil @ mKQWLZqsrK"" raises to 6.00",2023-06-22T20:22:30.635Z,168746535063500
"""Jackson @ yXr_bmZ3u2"" calls 1.00",2023-06-22T20:22:28.400Z,168746534840000
"""Phil @ mKQWLZqsrK"" posts a big blind of 1.00",2023-06-22T20:22:26.753Z,168746534675305
"""Jackson @ yXr_bmZ3u2"" posts a small blind of 0.50",2023-06-22T20:22:26.753Z,168746534675304
"Player stacks: #3 ""Jackson @ yXr_bmZ3u2"" (120.00) | #5 ""Phil @ mKQWLZqsrK"" (462.47)",2023-06-22T20:22:26.753Z,168746534675301
"-- starting hand #162 (id: omsntabznozw)  (No Limit Texas Hold'em) (dealer: ""Jackson @ yXr_bmZ3u2"") --",2023-06-22T20:22:26.753Z,168746534675300
"""Jackson @ yXr_bmZ3u2"" shows a 6♠, J♦.",2023-06-22T20:22:22.976Z,168746534297600
"-- ending hand #161 --",2023-06-22T20:22:20.220Z,168746534022002
"""Phil @ mKQWLZqsrK"" collected 24.00 from pot with Pair, 6's (combination: 6♣, 6♦, K♦, Q♦, 8♠)",2023-06-22T20:22:20.220Z,168746534022001
"""Phil @ mKQWLZqsrK"" shows a K♦, 6♣.",2023-06-22T20:22:20.220Z,168746534022000
"""Phil @ mKQWLZqsrK"" checks",2023-06-22T20:22:19.358Z,168746533935800
"""Jackson @ yXr_bmZ3u2"" checks",2023-06-22T20:22:18.459Z,168746533845900
"River: Q♦, 6♦, 3♦, 8♠ [4♣]",2023-06-22T20:22:17.019Z,168746533701900
"""Jackson @ yXr_bmZ3u2"" calls 6.00",2023-06-22T20:22:16.177Z,168746533617700
"""Phil @ mKQWLZqsrK"" bets 6.00",2023-06-22T20:22:14.606Z,168746533460600
"""Jackson @ yXr_bmZ3u2"" checks",2023-06-22T20:22:11.769Z,168746533176900
"Turn: Q♦, 6♦, 3♦ [8♠]",2023-06-22T20:22:07.265Z,168746532726500
"""Phil @ mKQWLZqsrK"" checks",2023-06-22T20:22:06.427Z,168746532642700
"""Jackson @ yXr_bmZ3u2"" checks",2023-06-22T20:22:05.502Z,168746532550200
"Flop:  [Q♦, 6♦, 3♦]",2023-06-22T20:22:02.240Z,168746532224000
"""Jackson @ yXr_bmZ3u2"" calls 6.00",2023-06-22T20:22:01.401Z,168746532140100
"""Phil @ mKQWLZqsrK"" raises to 6.00",2023-06-22T20:21:55.310Z,168746531531000
"""Jackson @ yXr_bmZ3u2"" calls 2.00",2023-06-22T20:21:53.392Z,168746531339200
"""Phil @ mKQWLZqsrK"" posts a straddle of 2.00",2023-06-22T20:21:51.681Z,168746531168106
"""Jackson @ yXr_bmZ3u2"" posts a big blind of 1.00",2023-06-22T20:21:51.681Z,168746531168105
"""Phil @ mKQWLZqsrK"" posts a small blind of 0.50",2023-06-22T20:21:51.681Z,168746531168104
"Player stacks: #3 ""Jackson @ yXr_bmZ3u2"" (132.00) | #5 ""Phil @ mKQWLZqsrK"" (450.47)",2023-06-22T20:21:51.681Z,168746531168101
"-- starting hand #161 (id: oozn2vcxih4m)  (No Limit Texas Hold'em) (dealer: ""Phil @ mKQWLZqsrK"") --",2023-06-22T20:21:51.681Z,168746531168100
"-- ending hand #160 --",2023-06-22T20:21:45.674Z,168746530567402
"""Jackson @ yXr_bmZ3u2"" collected 4.98 from pot with Pair, 6's (combination: 6♣, 6♥, A♠, 10♠, 9♥)",2023-06-22T20:21:45.674Z,168746530567401
"""Jackson @ yXr_bmZ3u2"" shows a 5♦, 6♣.",2023-06-22T20:21:45.674Z,168746530567400
"""Jackson @ yXr_bmZ3u2"" checks",2023-06-22T20:21:44.839Z,168746530483900
"""Phil @ mKQWLZqsrK"" checks",2023-06-22T20:21:43.841Z,168746530384100
"River: 10♠, 8♦, 9♥, A♠ [6♥]",2023-06-22T20:21:43.033Z,168746530303300
"""Jackson @ yXr_bmZ3u2"" checks",2023-06-22T20:21:42.215Z,168746530221500
"""Phil @ mKQWLZqsrK"" checks",2023-06-22T20:21:40.625Z,168746530062500
"Turn: 10♠, 8♦, 9♥ [A♠]",2023-06-22T20:21:40.268Z,168746530026800
"""Jackson @ yXr_bmZ3u2"" checks",2023-06-22T20:21:39.429Z,168746529942900
"""Phil @ mKQWLZqsrK"" checks",2023-06-22T20:21:38.120Z,168746529812000
"Flop:  [10♠, 8♦, 9♥]",2023-06-22T20:21:36.822Z,168746529682200
"""Jackson @ yXr_bmZ3u2"" calls 2.49",2023-06-22T20:21:35.989Z,168746529598900
"""Phil @ mKQWLZqsrK"" raises to 2.49",2023-06-22T20:21:34.468Z,168746529446800
"""Jackson @ yXr_bmZ3u2"" calls 1.00",2023-06-22T20:21:31.711Z,168746529171100
"""Phil @ mKQWLZqsrK"" posts a big blind of 1.00",2023-06-22T20:21:30.021Z,168746529002105
"""Jackson @ yXr_bmZ3u2"" posts a small blind of 0.50",2023-06-22T20:21:30.021Z,168746529002104
"Player stacks: #3 ""Jackson @ yXr_bmZ3u2"" (129.51) | #5 ""Phil @ mKQWLZqsrK"" (452.96)",2023-06-22T20:21:30.021Z,168746529002101
"-- starting hand #160 (id: t2dijpavrbuw)  (No Limit Texas Hold'em) (dealer: ""Jackson @ yXr_bmZ3u2"") --",2023-06-22T20:21:30.021Z,168746529002100
"-- ending hand #159 --",2023-06-22T20:21:27.028Z,168746528702802
"""Jackson @ yXr_bmZ3u2"" collected 12.00 from pot",2023-06-22T20:21:27.028Z,168746528702801
"Uncalled bet of 12.00 returned to ""Jackson @ yXr_bmZ3u2""",2023-06-22T20:21:27.028Z,168746528702800
"""Phil @ mKQWLZqsrK"" folds",2023-06-22T20:21:26.187Z,168746528618700
"""Jackson @ yXr_bmZ3u2"" bets 12.00",2023-06-22T20:21:25.002Z,168746528500200
"River: 4♦, 6♦, J♣, 9♥ [5♦]",2023-06-22T20:21:21.710Z,168746528171000
"""Phil @ mKQWLZqsrK"" calls 3.00",2023-06-22T20:21:20.871Z,168746528087100
"""Jackson @ yXr_bmZ3u2"" bets 3.00",2023-06-22T20:21:19.777Z,168746527977700
"Turn: 4♦, 6♦, J♣ [9♥]",2023-06-22T20:21:15.695Z,168746527569500
"""Phil @ mKQWLZqsrK"" calls 1.00",2023-06-22T20:21:14.848Z,168746527484800
"""Jackson @ yXr_bmZ3u2"" bets 1.00",2023-06-22T20:21:13.791Z,168746527379100
"Flop:  [4♦, 6♦, J♣]",2023-06-22T20:21:04.360Z,168746526436000
"""Phil @ mKQWLZqsrK"" checks",2023-06-22T20:21:03.487Z,168746526348700
"""Jackson @ yXr_bmZ3u2"" calls 2.00",2023-06-22T20:21:02.473Z,168746526247300
"""Phil @ mKQWLZqsrK"" posts a straddle of 2.00",2023-06-22T20:21:00.789Z,168746526078906
"""Jackson @ yXr_bmZ3u2"" posts a big blind of 1.00",2023-06-22T20:21:00.789Z,168746526078905
"""Phil @ mKQWLZqsrK"" posts a small blind of 0.50",2023-06-22T20:21:00.789Z,168746526078904
