entry,at,order
"The player ""Gill PC @ dyr2KdooJk"" stand up with the stack of 104.51.",2023-05-20T03:08:22.167Z,168455210216700
"-- ending hand #1129 --",2023-05-20T03:08:16.197Z,168455209619702
"""Gill PC @ dyr2KdooJk"" collected 1.00 from pot",2023-05-20T03:08:16.197Z,168455209619701
"Uncalled bet of 0.50 returned to ""Gill PC @ dyr2KdooJk""",2023-05-20T03:08:16.197Z,168455209619700
"""Cameron @ 9htPtPnrfo"" folds",2023-05-20T03:08:15.366Z,168455209536600
"""Gill PC @ dyr2KdooJk"" posts a big blind of 1.00",2023-05-20T03:08:14.456Z,168455209445605
"""Cameron @ 9htPtPnrfo"" posts a small blind of 0.50",2023-05-20T03:08:14.456Z,168455209445604
"Player stacks: #1 ""Gill PC @ dyr2KdooJk"" (104.01) | #8 ""Cameron @ 9htPtPnrfo"" (603.36)",2023-05-20T03:08:14.456Z,168455209445601
"-- starting hand #1129 (id: 5jx2ttnrw8kp)  (No Limit Texas Hold'em) (dealer: ""Cameron @ 9htPtPnrfo"") --",2023-05-20T03:08:14.456Z,168455209445600
"-- ending hand #1128 --",2023-05-20T03:08:08.392Z,168455208839202
"""Cameron @ 9htPtPnrfo"" collected 150.00 from pot with Full House, K's over J's (combination: K♠, K♥, K♣, J♠, J♣)",2023-05-20T03:08:08.392Z,168455208839201
"""Cameron @ 9htPtPnrfo"" shows a 10♠, J♠.",2023-05-20T03:08:08.392Z,168455208839200
"""Gill PC @ dyr2KdooJk"" calls 37.50",2023-05-20T03:08:07.564Z,168455208756400
"""Cameron @ 9htPtPnrfo"" bets 37.50",2023-05-20T03:08:05.737Z,168455208573700
"River: J♣, K♠, 8♠, K♥ [K♣]",2023-05-20T03:08:02.753Z,168455208275300
"""Gill PC @ dyr2KdooJk"" calls 22.50",2023-05-20T03:08:01.859Z,168455208185900
"""Cameron @ 9htPtPnrfo"" bets 22.50",2023-05-20T03:08:00.413Z,168455208041300
"Turn: J♣, K♠, 8♠ [K♥]",2023-05-20T03:07:57.796Z,168455207779600
"""Gill PC @ dyr2KdooJk"" checks",2023-05-20T03:07:56.976Z,168455207697600
"""Cameron @ 9htPtPnrfo"" checks",2023-05-20T03:07:54.822Z,168455207482200
"Flop:  [J♣, K♠, 8♠]",2023-05-20T03:07:53.304Z,168455207330400
"""Cameron @ 9htPtPnrfo"" calls 15.00",2023-05-20T03:07:52.457Z,168455207245700
"""Gill PC @ dyr2KdooJk"" raises to 15.00",2023-05-20T03:07:50.986Z,168455207098600
"""Cameron @ 9htPtPnrfo"" raises to 6.00",2023-05-20T03:07:47.445Z,168455206744500
"""Gill PC @ dyr2KdooJk"" posts a straddle of 2.00",2023-05-20T03:07:45.337Z,168455206533706
"""Cameron @ 9htPtPnrfo"" posts a big blind of 1.00",2023-05-20T03:07:45.337Z,168455206533705
"""Gill PC @ dyr2KdooJk"" posts a small blind of 0.50",2023-05-20T03:07:45.337Z,168455206533704
"Player stacks: #1 ""Gill PC @ dyr2KdooJk"" (179.01) | #8 ""Cameron @ 9htPtPnrfo"" (528.36)",2023-05-20T03:07:45.337Z,168455206533701
"-- starting hand #1128 (id: 8lci7dscrbim)  (No Limit Texas Hold'em) (dealer: ""Gill PC @ dyr2KdooJk"") --",2023-05-20T03:07:45.337Z,168455206533700
"-- ending hand #1127 --",2023-05-20T03:07:39.384Z,168455205938402
"""Cameron @ 9htPtPnrfo"" collected 2.00 from pot",2023-05-20T03:07:39.384Z,168455205938401
"Uncalled bet of 5.00 returned to ""Cameron @ 9htPtPnrfo""",2023-05-20T03:07:39.384Z,168455205938400
"""Gill PC @ dyr2KdooJk"" folds",2023-05-20T03:07:38.564Z,168455205856400
"""Cameron @ 9htPtPnrfo"" raises to 6.00",2023-05-20T03:07:37.454Z,168455205745400
"""Gill PC @ dyr2KdooJk"" posts a big blind of 1.00",2023-05-20T03:07:35.383Z,168455205538305
"""Cameron @ 9htPtPnrfo"" posts a small blind of 0.50",2023-05-20T03:07:35.383Z,168455205538304
"Player stacks: #1 ""Gill PC @ dyr2KdooJk"" (180.01) | #8 ""Cameron @ 9htPtPnrfo"" (527.36)",2023-05-20T03:07:35.383Z,168455205538301
"-- starting hand #1127 (id: 6ixzoezrj5bs)  (No Limit Texas Hold'em) (dealer: ""Cameron @ 9htPtPnrfo"") --",2023-05-20T03:07:35.383Z,168455205538300
"-- ending hand #1126 --",2023-05-20T03:07:29.322Z,168455204932203
"""Cameron @ 9htPtPnrfo"" shows a J♣, 10♠.",2023-05-20T03:07:29.322Z,168455204932202
"""Gill PC @ dyr2KdooJk"" collected 64.00 from pot with Two Pair, 5's & 3's (combination: 5♠, 5♣, 3♣, 3♠, 9♥)",2023-05-20T03:07:29.322Z,168455204932201
"""Gill PC @ dyr2KdooJk"" shows a 4♠, 5♠.",2023-05-20T03:07:29.322Z,168455204932200
"""Gill PC @ dyr2KdooJk"" calls 16.00",2023-05-20T03:07:28.492Z,168455204849200
"""Cameron @ 9htPtPnrfo"" bets 16.00",2023-05-20T03:07:27.092Z,168455204709200
"River: 9♥, 3♣, 5♣, 3♠ [7♠]",2023-05-20T03:07:22.876Z,168455204287600
"""Gill PC @ dyr2KdooJk"" checks",2023-05-20T03:07:22.014Z,168455204201400
"""Cameron @ 9htPtPnrfo"" checks",2023-05-20T03:07:20.582Z,168455204058200
"Turn: 9♥, 3♣, 5♣ [3♠]",2023-05-20T03:07:19.661Z,168455203966100
"""Cameron @ 9htPtPnrfo"" calls 8.00",2023-05-20T03:07:18.795Z,168455203879500
"""Gill PC @ dyr2KdooJk"" bets 8.00",2023-05-20T03:07:17.737Z,168455203773700
"""Cameron @ 9htPtPnrfo"" checks",2023-05-20T03:07:15.424Z,168455203542400
"Flop:  [9♥, 3♣, 5♣]",2023-05-20T03:07:14.057Z,168455203405700
"""Cameron @ 9htPtPnrfo"" calls 8.00",2023-05-20T03:07:13.223Z,168455203322300
"""Gill PC @ dyr2KdooJk"" raises to 8.00",2023-05-20T03:07:12.217Z,168455203221700
"""Cameron @ 9htPtPnrfo"" calls 2.00",2023-05-20T03:07:08.923Z,168455202892300
"""Gill PC @ dyr2KdooJk"" posts a straddle of 2.00",2023-05-20T03:07:07.955Z,168455202795506
"""Cameron @ 9htPtPnrfo"" posts a big blind of 1.00",2023-05-20T03:07:07.955Z,168455202795505
"""Gill PC @ dyr2KdooJk"" posts a small blind of 0.50",2023-05-20T03:07:07.955Z,168455202795504
"Player stacks: #1 ""Gill PC @ dyr2KdooJk"" (148.01) | #8 ""Cameron @ 9htPtPnrfo"" (559.36)",2023-05-20T03:07:07.955Z,168455202795501
"-- starting hand #1126 (id: qeej5ybbi5ci)  (No Limit Texas Hold'em) (dealer: ""Gill PC @ dyr2KdooJk"") --",2023-05-20T03:07:07.955Z,168455202795500
"-- ending hand #1125 --",2023-05-20T03:07:02.000Z,168455202200002
"""Gill PC @ dyr2KdooJk"" collected 1.00 from pot",2023-05-20T03:07:02.000Z,168455202200001
"Uncalled bet of 0.50 returned to ""Gill PC @ dyr2KdooJk""",2023-05-20T03:07:02.000Z,168455202200000
"""Cameron @ 9htPtPnrfo"" folds",2023-05-20T03:07:01.187Z,168455202118700
"""Gill PC @ dyr2KdooJk"" posts a big blind of 1.00",2023-05-20T03:07:00.200Z,168455202020005
"""Cameron @ 9htPtPnrfo"" posts a small blind of 0.50",2023-05-20T03:07:00.200Z,168455202020004
