entry,at,order
"-- ending hand #749 --",2023-05-25T08:31:49.247Z,168500350924702
"""Tripp @ _ZMbVR0_2e"" collected 18.00 from pot",2023-05-25T08:31:49.247Z,168500350924701
"Uncalled bet of 13.50 returned to ""Tripp @ _ZMbVR0_2e""",2023-05-25T08:31:49.247Z,168500350924700
"""Bp @ _zk24nnVPb"" folds",2023-05-25T08:31:48.399Z,168500350839900
"""Tripp @ _ZMbVR0_2e"" bets 13.50",2023-05-25T08:31:47.470Z,168500350747000
"Flop:  [9♠, A♣, J♦]",2023-05-25T08:31:42.948Z,168500350294800
"""Bp @ _zk24nnVPb"" calls 9.00",2023-05-25T08:31:42.103Z,168500350210300
"The admin ""Dp @ YyWpODWXWx"" enqueued the game stop on next hand.",2023-05-25T08:31:41.123Z,168500350112300
"""Tripp @ _ZMbVR0_2e"" raises to 9.00",2023-05-25T08:31:40.690Z,168500350069000
"""Bp @ _zk24nnVPb"" raises to 3.00",2023-05-25T08:31:36.088Z,168500349608800
"""Tripp @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-25T08:31:32.616Z,168500349261605
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-05-25T08:31:32.616Z,168500349261604
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (513.90) | #10 ""Tripp @ _ZMbVR0_2e"" (202.52)",2023-05-25T08:31:32.616Z,168500349261601
"-- starting hand #749 (id: jcecsbms1vmr)  (No Limit Texas Hold'em) (dealer: ""Bp @ _zk24nnVPb"") --",2023-05-25T08:31:32.616Z,168500349261600
"""Bp @ _zk24nnVPb"" shows a 9♥, 10♣.",2023-05-25T08:31:28.309Z,168500348830900
"-- ending hand #748 --",2023-05-25T08:31:26.007Z,168500348600702
"""Bp @ _zk24nnVPb"" collected 1.00 from pot",2023-05-25T08:31:26.007Z,168500348600701
"Uncalled bet of 0.50 returned to ""Bp @ _zk24nnVPb""",2023-05-25T08:31:26.007Z,168500348600700
"""Tripp @ _ZMbVR0_2e"" folds",2023-05-25T08:31:25.156Z,168500348515600
"""Bp @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-25T08:31:23.812Z,168500348381205
"""Tripp @ _ZMbVR0_2e"" posts a small blind of 0.50",2023-05-25T08:31:23.812Z,168500348381204
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (513.40) | #10 ""Tripp @ _ZMbVR0_2e"" (203.02)",2023-05-25T08:31:23.812Z,168500348381201
"-- starting hand #748 (id: sn7uxheseylg)  (No Limit Texas Hold'em) (dealer: ""Tripp @ _ZMbVR0_2e"") --",2023-05-25T08:31:23.812Z,168500348381200
"-- ending hand #747 --",2023-05-25T08:31:17.830Z,168500347783002
"""Tripp @ _ZMbVR0_2e"" collected 1.00 from pot",2023-05-25T08:31:17.830Z,168500347783001
"Uncalled bet of 0.50 returned to ""Tripp @ _ZMbVR0_2e""",2023-05-25T08:31:17.830Z,168500347783000
"""Bp @ _zk24nnVPb"" folds",2023-05-25T08:31:17.010Z,168500347701000
"""Tripp @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-25T08:31:15.952Z,168500347595205
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-05-25T08:31:15.952Z,168500347595204
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (513.90) | #10 ""Tripp @ _ZMbVR0_2e"" (202.52)",2023-05-25T08:31:15.952Z,168500347595201
"-- starting hand #747 (id: bi9qe9mx6oex)  (No Limit Texas Hold'em) (dealer: ""Bp @ _zk24nnVPb"") --",2023-05-25T08:31:15.952Z,168500347595200
"-- ending hand #746 --",2023-05-25T08:31:10.023Z,168500347002302
"""Bp @ _zk24nnVPb"" collected 1.00 from pot",2023-05-25T08:31:10.023Z,168500347002301
"Uncalled bet of 0.50 returned to ""Bp @ _zk24nnVPb""",2023-05-25T08:31:10.023Z,168500347002300
"""Tripp @ _ZMbVR0_2e"" folds",2023-05-25T08:31:09.201Z,168500346920100
"""Bp @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-25T08:31:07.907Z,168500346790705
"""Tripp @ _ZMbVR0_2e"" posts a small blind of 0.50",2023-05-25T08:31:07.907Z,168500346790704
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (513.40) | #10 ""Tripp @ _ZMbVR0_2e"" (203.02)",2023-05-25T08:31:07.907Z,168500346790701
"-- starting hand #746 (id: x3avgu32qtlx)  (No Limit Texas Hold'em) (dealer: ""Tripp @ _ZMbVR0_2e"") --",2023-05-25T08:31:07.907Z,168500346790700
"-- ending hand #745 --",2023-05-25T08:31:01.942Z,168500346194202
"""Bp @ _zk24nnVPb"" collected 6.00 from pot",2023-05-25T08:31:01.942Z,168500346194201
"Uncalled bet of 6.00 returned to ""Bp @ _zk24nnVPb""",2023-05-25T08:31:01.942Z,168500346194200
"""Tripp @ _ZMbVR0_2e"" folds",2023-05-25T08:31:01.129Z,168500346112900
"""Bp @ _zk24nnVPb"" bets 6.00",2023-05-25T08:31:00.229Z,168500346022900
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-25T08:30:57.918Z,168500345791800
"Turn: Q♦, 2♥, K♥ [7♦]",2023-05-25T08:30:56.738Z,168500345673800
"""Bp @ _zk24nnVPb"" checks",2023-05-25T08:30:55.928Z,168500345592800
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-25T08:30:54.987Z,168500345498700
"Flop:  [Q♦, 2♥, K♥]",2023-05-25T08:30:53.332Z,168500345333200
"""Tripp @ _ZMbVR0_2e"" calls 3.00",2023-05-25T08:30:52.525Z,168500345252500
"""Bp @ _zk24nnVPb"" raises to 3.00",2023-05-25T08:30:51.608Z,168500345160800
"""Tripp @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-25T08:30:49.600Z,168500344960005
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-05-25T08:30:49.600Z,168500344960004
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (510.40) | #10 ""Tripp @ _ZMbVR0_2e"" (206.02)",2023-05-25T08:30:49.600Z,168500344960001
"-- starting hand #745 (id: m4mwzos5obsz)  (No Limit Texas Hold'em) (dealer: ""Bp @ _zk24nnVPb"") --",2023-05-25T08:30:49.600Z,168500344960000
"-- ending hand #744 --",2023-05-25T08:30:43.654Z,168500344365402
"""Tripp @ _ZMbVR0_2e"" collected 2.00 from pot",2023-05-25T08:30:43.654Z,168500344365401
"Uncalled bet of 2.00 returned to ""Tripp @ _ZMbVR0_2e""",2023-05-25T08:30:43.654Z,168500344365400
"""Bp @ _zk24nnVPb"" folds",2023-05-25T08:30:42.849Z,168500344284900
"""Tripp @ _ZMbVR0_2e"" raises to 3.00",2023-05-25T08:30:41.855Z,168500344185500
"""Bp @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-25T08:30:39.779Z,168500343977905
"""Tripp @ _ZMbVR0_2e"" posts a small blind of 0.50",2023-05-25T08:30:39.779Z,168500343977904
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (511.40) | #10 ""Tripp @ _ZMbVR0_2e"" (205.02)",2023-05-25T08:30:39.779Z,168500343977901
"-- starting hand #744 (id: z9ld386ynoco)  (No Limit Texas Hold'em) (dealer: ""Tripp @ _ZMbVR0_2e"") --",2023-05-25T08:30:39.779Z,168500343977900
"-- ending hand #743 --",2023-05-25T08:30:33.845Z,168500343384502
"""Tripp @ _ZMbVR0_2e"" collected 1.00 from pot",2023-05-25T08:30:33.845Z,168500343384501
"Uncalled bet of 0.50 returned to ""Tripp @ _ZMbVR0_2e""",2023-05-25T08:30:33.845Z,168500343384500
"""Bp @ _zk24nnVPb"" folds",2023-05-25T08:30:33.038Z,168500343303800
"""Tripp @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-25T08:30:30.366Z,168500343036605
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-05-25T08:30:30.366Z,168500343036604
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (511.90) | #10 ""Tripp @ _ZMbVR0_2e"" (204.52)",2023-05-25T08:30:30.366Z,168500343036601
"-- starting hand #743 (id: 1id4pzwxgidw)  (No Limit Texas Hold'em) (dealer: ""Bp @ _zk24nnVPb"") --",2023-05-25T08:30:30.366Z,168500343036600
"-- ending hand #742 --",2023-05-25T08:30:24.433Z,168500342443302
"""Tripp @ _ZMbVR0_2e"" collected 4.00 from pot",2023-05-25T08:30:24.433Z,168500342443301
"Uncalled bet of 1.00 returned to ""Tripp @ _ZMbVR0_2e""",2023-05-25T08:30:24.433Z,168500342443300
"""Bp @ _zk24nnVPb"" folds",2023-05-25T08:30:23.611Z,168500342361100
"""Tripp @ _ZMbVR0_2e"" bets 1.00",2023-05-25T08:30:22.398Z,168500342239800
"""Bp @ _zk24nnVPb"" checks",2023-05-25T08:30:20.986Z,168500342098600
"Turn: 4♠, Q♣, 4♣ [7♠]",2023-05-25T08:30:19.081Z,168500341908100
"""Bp @ _zk24nnVPb"" calls 1.00",2023-05-25T08:30:18.235Z,168500341823500
"""Tripp @ _ZMbVR0_2e"" bets 1.00",2023-05-25T08:30:16.912Z,168500341691200
"""Bp @ _zk24nnVPb"" checks",2023-05-25T08:30:15.520Z,168500341552000
"Flop:  [4♠, Q♣, 4♣]",2023-05-25T08:30:14.397Z,168500341439700
"""Bp @ _zk24nnVPb"" checks",2023-05-25T08:30:13.557Z,168500341355700
"""Tripp @ _ZMbVR0_2e"" calls 1.00",2023-05-25T08:30:12.195Z,168500341219500
"""Bp @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-25T08:30:10.466Z,168500341046605
"""Tripp @ _ZMbVR0_2e"" posts a small blind of 0.50",2023-05-25T08:30:10.466Z,168500341046604
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (513.90) | #10 ""Tripp @ _ZMbVR0_2e"" (202.52)",2023-05-25T08:30:10.466Z,168500341046601
"-- starting hand #742 (id: qzjsrukjsm1t)  (No Limit Texas Hold'em) (dealer: ""Tripp @ _ZMbVR0_2e"") --",2023-05-25T08:30:10.466Z,168500341046600
"-- ending hand #741 --",2023-05-25T08:30:04.542Z,168500340454202
"""Bp @ _zk24nnVPb"" collected 2.00 from pot",2023-05-25T08:30:04.542Z,168500340454201
"Uncalled bet of 2.00 returned to ""Bp @ _zk24nnVPb""",2023-05-25T08:30:04.542Z,168500340454200
"""Tripp @ _ZMbVR0_2e"" folds",2023-05-25T08:30:03.670Z,168500340367000
"""Bp @ _zk24nnVPb"" raises to 3.00",2023-05-25T08:30:02.145Z,168500340214500
"""Tripp @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-25T08:29:59.887Z,168500339988705
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-05-25T08:29:59.887Z,168500339988704
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (512.90) | #10 ""Tripp @ _ZMbVR0_2e"" (203.52)",2023-05-25T08:29:59.887Z,168500339988701
"-- starting hand #741 (id: qxwppciqyi1d)  (No Limit Texas Hold'em) (dealer: ""Bp @ _zk24nnVPb"") --",2023-05-25T08:29:59.887Z,168500339988700
"-- ending hand #740 --",2023-05-25T08:29:53.930Z,168500339393002
"""Bp @ _zk24nnVPb"" collected 1.00 from pot",2023-05-25T08:29:53.930Z,168500339393001
"Uncalled bet of 0.50 returned to ""Bp @ _zk24nnVPb""",2023-05-25T08:29:53.930Z,168500339393000
"""Tripp @ _ZMbVR0_2e"" folds",2023-05-25T08:29:53.110Z,168500339311000
"""Bp @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-25T08:29:51.212Z,168500339121205
"""Tripp @ _ZMbVR0_2e"" posts a small blind of 0.50",2023-05-25T08:29:51.212Z,168500339121204
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (512.40) | #10 ""Tripp @ _ZMbVR0_2e"" (204.02)",2023-05-25T08:29:51.212Z,168500339121201
"-- starting hand #740 (id: ti9ieddkear6)  (No Limit Texas Hold'em) (dealer: ""Tripp @ _ZMbVR0_2e"") --",2023-05-25T08:29:51.212Z,168500339121200
"-- ending hand #739 --",2023-05-25T08:29:45.199Z,168500338519903
"""Bp @ _zk24nnVPb"" shows a A♠, 2♠.",2023-05-25T08:29:45.199Z,168500338519902
"""Tripp @ _ZMbVR0_2e"" collected 14.00 from pot with Pair, K's (combination: K♣, K♦, J♠, 8♣, 6♣)",2023-05-25T08:29:45.199Z,168500338519901
"""Tripp @ _ZMbVR0_2e"" shows a K♣, 8♣.",2023-05-25T08:29:45.199Z,168500338519900
"""Bp @ _zk24nnVPb"" checks",2023-05-25T08:29:44.329Z,168500338432900
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-25T08:29:43.325Z,168500338332500
"River: 6♣, 4♠, K♦, 2♦ [J♠]",2023-05-25T08:29:41.194Z,168500338119400
"""Tripp @ _ZMbVR0_2e"" calls 3.00",2023-05-25T08:29:40.338Z,168500338033800
"""Bp @ _zk24nnVPb"" bets 3.00",2023-05-25T08:29:38.788Z,168500337878800
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-25T08:29:35.281Z,168500337528100
"Turn: 6♣, 4♠, K♦ [2♦]",2023-05-25T08:29:33.658Z,168500337365800
"""Bp @ _zk24nnVPb"" checks",2023-05-25T08:29:32.829Z,168500337282900
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-25T08:29:31.531Z,168500337153100
"Flop:  [6♣, 4♠, K♦]",2023-05-25T08:29:28.656Z,168500336865600
"""Tripp @ _ZMbVR0_2e"" calls 4.00",2023-05-25T08:29:27.819Z,168500336781900
"""Bp @ _zk24nnVPb"" raises to 4.00",2023-05-25T08:29:26.928Z,168500336692800
"""Tripp @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-25T08:29:21.695Z,168500336169505
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-05-25T08:29:21.695Z,168500336169504
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (519.40) | #10 ""Tripp @ _ZMbVR0_2e"" (197.02)",2023-05-25T08:29:21.695Z,168500336169501
"-- starting hand #739 (id: 8f4tymkvybvg)  (No Limit Texas Hold'em) (dealer: ""Bp @ _zk24nnVPb"") --",2023-05-25T08:29:21.695Z,168500336169500
"-- ending hand #738 --",2023-05-25T08:29:15.777Z,168500335577702
"""Tripp @ _ZMbVR0_2e"" collected 2.00 from pot",2023-05-25T08:29:15.777Z,168500335577701
"Uncalled bet of 2.00 returned to ""Tripp @ _ZMbVR0_2e""",2023-05-25T08:29:15.777Z,168500335577700
"""Bp @ _zk24nnVPb"" folds",2023-05-25T08:29:14.908Z,168500335490800
"""Tripp @ _ZMbVR0_2e"" raises to 3.00",2023-05-25T08:29:13.912Z,168500335391200
"""Bp @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-25T08:29:11.284Z,168500335128405
"""Tripp @ _ZMbVR0_2e"" posts a small blind of 0.50",2023-05-25T08:29:11.284Z,168500335128404
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (520.40) | #10 ""Tripp @ _ZMbVR0_2e"" (196.02)",2023-05-25T08:29:11.284Z,168500335128401
"-- starting hand #738 (id: pghxcv05lrry)  (No Limit Texas Hold'em) (dealer: ""Tripp @ _ZMbVR0_2e"") --",2023-05-25T08:29:11.284Z,168500335128400
"-- ending hand #737 --",2023-05-25T08:29:05.367Z,168500334536702
"""Tripp @ _ZMbVR0_2e"" collected 1.00 from pot",2023-05-25T08:29:05.367Z,168500334536701
"Uncalled bet of 0.50 returned to ""Tripp @ _ZMbVR0_2e""",2023-05-25T08:29:05.367Z,168500334536700
"""Bp @ _zk24nnVPb"" folds",2023-05-25T08:29:04.549Z,168500334454900
"""Tripp @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-25T08:29:03.419Z,168500334341905
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-05-25T08:29:03.419Z,168500334341904
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (520.90) | #10 ""Tripp @ _ZMbVR0_2e"" (195.52)",2023-05-25T08:29:03.419Z,168500334341901
"-- starting hand #737 (id: lvutqywbcnlb)  (No Limit Texas Hold'em) (dealer: ""Bp @ _zk24nnVPb"") --",2023-05-25T08:29:03.419Z,168500334341900
"-- ending hand #736 --",2023-05-25T08:28:57.475Z,168500333747502
"""Bp @ _zk24nnVPb"" collected 1.00 from pot",2023-05-25T08:28:57.475Z,168500333747501
"Uncalled bet of 0.50 returned to ""Bp @ _zk24nnVPb""",2023-05-25T08:28:57.475Z,168500333747500
"""Tripp @ _ZMbVR0_2e"" folds",2023-05-25T08:28:56.643Z,168500333664300
"""Bp @ _zk24nnVPb"" posts a big blind of 1.00",2023-05-25T08:28:54.756Z,168500333475605
"""Tripp @ _ZMbVR0_2e"" posts a small blind of 0.50",2023-05-25T08:28:54.756Z,168500333475604
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (520.40) | #10 ""Tripp @ _ZMbVR0_2e"" (196.02)",2023-05-25T08:28:54.756Z,168500333475601
"-- starting hand #736 (id: tn5psgkjecj6)  (No Limit Texas Hold'em) (dealer: ""Tripp @ _ZMbVR0_2e"") --",2023-05-25T08:28:54.756Z,168500333475600
"-- ending hand #735 --",2023-05-25T08:28:51.800Z,168500333180002
"""Tripp @ _ZMbVR0_2e"" collected 15.00 from pot",2023-05-25T08:28:51.800Z,168500333180001
"Uncalled bet of 15.00 returned to ""Tripp @ _ZMbVR0_2e""",2023-05-25T08:28:51.800Z,168500333180000
"""Bp @ _zk24nnVPb"" folds",2023-05-25T08:28:50.960Z,168500333096000
"""Tripp @ _ZMbVR0_2e"" bets 15.00",2023-05-25T08:28:45.333Z,168500332533300
"River: 5♦, 4♦, Q♠, Q♥ [6♣]",2023-05-25T08:28:40.146Z,168500332014600
"""Bp @ _zk24nnVPb"" checks",2023-05-25T08:28:39.289Z,168500331928900
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-25T08:28:38.203Z,168500331820300
"Turn: 5♦, 4♦, Q♠ [Q♥]",2023-05-25T08:28:36.543Z,168500331654300
"""Tripp @ _ZMbVR0_2e"" calls 4.50",2023-05-25T08:28:35.741Z,168500331574100
"""Bp @ _zk24nnVPb"" bets 4.50",2023-05-25T08:28:34.660Z,168500331466000
"""Tripp @ _ZMbVR0_2e"" checks",2023-05-25T08:28:31.592Z,168500331159200
"Flop:  [5♦, 4♦, Q♠]",2023-05-25T08:28:28.537Z,168500330853700
"""Tripp @ _ZMbVR0_2e"" calls 3.00",2023-05-25T08:28:27.673Z,168500330767300
"""Bp @ _zk24nnVPb"" raises to 3.00",2023-05-25T08:28:26.796Z,168500330679600
"""Tripp @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-25T08:28:24.637Z,168500330463705
"""Bp @ _zk24nnVPb"" posts a small blind of 0.50",2023-05-25T08:28:24.637Z,168500330463704
"Player stacks: #1 ""Bp @ _zk24nnVPb"" (527.90) | #10 ""Tripp @ _ZMbVR0_2e"" (188.52)",2023-05-25T08:28:24.637Z,168500330463701
"-- starting hand #735 (id: tnsel7lbhjks)  (No Limit Texas Hold'em) (dealer: ""Bp @ _zk24nnVPb"") --",2023-05-25T08:28:24.637Z,168500330463700
"-- ending hand #734 --",2023-05-25T08:28:18.728Z,168500329872802
"""Tripp @ _ZMbVR0_2e"" collected 6.00 from pot",2023-05-25T08:28:18.728Z,168500329872801
