entry,at,order
"""Hayden @ 2LakBwr16r"" folds",2023-05-29T08:48:27.859Z,168535010785900
"""Apex @ -3crw0gEJ1"" posts a big blind of 2.00",2023-05-29T08:48:04.131Z,168535008413106
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-29T08:48:04.131Z,168535008413105
"Player stacks: #6 ""Hayden @ 2LakBwr16r"" (723.00) | #7 ""Apex @ -3crw0gEJ1"" (685.50)",2023-05-29T08:48:04.131Z,168535008413102
"-- starting hand #223 (id: sgqtdtgmyqnu)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-05-29T08:48:04.131Z,168535008413101
"The player ""brett @ C-NjgDuYnf"" quits the game with a stack of 0.00.",2023-05-29T08:48:04.131Z,168535008413100
"-- ending hand #222 --",2023-05-29T08:47:51.387Z,168535007138703
"""brett @ C-NjgDuYnf"" shows a 8♣, Q♣.",2023-05-29T08:47:51.387Z,168535007138702
"""Apex @ -3crw0gEJ1"" collected 443.00 from pot with Full House, J's over 10's (combination: J♥, J♠, J♣, 10♦, 10♥)",2023-05-29T08:47:51.387Z,168535007138701
"""Apex @ -3crw0gEJ1"" shows a J♥, 10♦.",2023-05-29T08:47:51.387Z,168535007138700
"""brett @ C-NjgDuYnf"" calls 214.00 and go all in",2023-05-29T08:47:50.541Z,168535007054100
"""Apex @ -3crw0gEJ1"" raises to 214.00",2023-05-29T08:47:37.965Z,168535005796500
"""brett @ C-NjgDuYnf"" raises to 66.00",2023-05-29T08:47:15.746Z,168535003574600
"""Apex @ -3crw0gEJ1"" raises to 25.00",2023-05-29T08:46:42.891Z,168535000289100
"""brett @ C-NjgDuYnf"" bets 10.00",2023-05-29T08:46:31.031Z,168534999103100
"""Apex @ -3crw0gEJ1"" checks",2023-05-29T08:46:21.912Z,168534998191200
"River: 6♠, 10♥, J♠, J♣ [9♣]",2023-05-29T08:46:18.766Z,168534997876600
"""brett @ C-NjgDuYnf"" checks",2023-05-29T08:46:17.844Z,168534997784400
"""Apex @ -3crw0gEJ1"" checks",2023-05-29T08:46:08.049Z,168534996804900
"Turn: 6♠, 10♥, J♠ [J♣]",2023-05-29T08:45:51.565Z,168534995156500
"""brett @ C-NjgDuYnf"" checks",2023-05-29T08:45:50.754Z,168534995075400
"""Apex @ -3crw0gEJ1"" checks",2023-05-29T08:45:30.539Z,168534993053900
"Flop:  [6♠, 10♥, J♠]",2023-05-29T08:45:27.377Z,168534992737700
"""brett @ C-NjgDuYnf"" calls 7.00",2023-05-29T08:45:26.570Z,168534992657000
"""Apex @ -3crw0gEJ1"" raises to 7.00",2023-05-29T08:45:21.618Z,168534992161800
"""Hayden @ 2LakBwr16r"" folds",2023-05-29T08:45:17.419Z,168534991741900
"""brett @ C-NjgDuYnf"" calls 2.00",2023-05-29T08:45:15.641Z,168534991564100
"""Apex @ -3crw0gEJ1"" posts a big blind of 2.00",2023-05-29T08:45:08.039Z,168534990803906
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-05-29T08:45:08.039Z,168534990803905
"Player stacks: #6 ""Hayden @ 2LakBwr16r"" (724.00) | #7 ""Apex @ -3crw0gEJ1"" (463.50) | #9 ""brett @ C-NjgDuYnf"" (221.00)",2023-05-29T08:45:08.039Z,168534990803901
"-- starting hand #222 (id: ofzysfxe1xmk)  (No Limit Texas Hold'em) (dealer: ""brett @ C-NjgDuYnf"") --",2023-05-29T08:45:08.039Z,168534990803900
"-- ending hand #221 --",2023-05-29T08:45:05.121Z,168534990512102
"""Apex @ -3crw0gEJ1"" collected 5.00 from pot",2023-05-29T08:45:05.121Z,168534990512101
"Uncalled bet of 4.00 returned to ""Apex @ -3crw0gEJ1""",2023-05-29T08:45:05.121Z,168534990512100
"""Hayden @ 2LakBwr16r"" folds",2023-05-29T08:45:04.276Z,168534990427600
"""brett @ C-NjgDuYnf"" folds",2023-05-29T08:45:03.243Z,168534990324300
"""Apex @ -3crw0gEJ1"" raises to 6.00",2023-05-29T08:45:00.055Z,168534990005500
"""Hayden @ 2LakBwr16r"" posts a big blind of 2.00",2023-05-29T08:44:54.618Z,168534989461806
"""brett @ C-NjgDuYnf"" posts a small blind of 1.00",2023-05-29T08:44:54.618Z,168534989461805
"Player stacks: #6 ""Hayden @ 2LakBwr16r"" (726.00) | #7 ""Apex @ -3crw0gEJ1"" (460.50) | #9 ""brett @ C-NjgDuYnf"" (222.00)",2023-05-29T08:44:54.618Z,168534989461801
"-- starting hand #221 (id: vlbsyqdfg4lu)  (No Limit Texas Hold'em) (dealer: ""Apex @ -3crw0gEJ1"") --",2023-05-29T08:44:54.618Z,168534989461800
"-- ending hand #220 --",2023-05-29T08:44:51.634Z,168534989163402
"""brett @ C-NjgDuYnf"" collected 13.00 from pot",2023-05-29T08:44:51.634Z,168534989163401
"Uncalled bet of 6.50 returned to ""brett @ C-NjgDuYnf""",2023-05-29T08:44:51.634Z,168534989163400
"""Hayden @ 2LakBwr16r"" folds",2023-05-29T08:44:50.728Z,168534989072800
"""brett @ C-NjgDuYnf"" bets 6.50",2023-05-29T08:44:44.712Z,168534988471200
"River: 10♥, 9♣, 6♣, 7♠ [9♦]",2023-05-29T08:44:38.880Z,168534987888000
"""Hayden @ 2LakBwr16r"" checks",2023-05-29T08:44:38.061Z,168534987806100
"""brett @ C-NjgDuYnf"" checks",2023-05-29T08:44:18.298Z,168534985829800
"Turn: 10♥, 9♣, 6♣ [7♠]",2023-05-29T08:44:14.276Z,168534985427600
"""Hayden @ 2LakBwr16r"" checks",2023-05-29T08:44:13.434Z,168534985343400
"""brett @ C-NjgDuYnf"" checks",2023-05-29T08:43:55.592Z,168534983559200
"Flop:  [10♥, 9♣, 6♣]",2023-05-29T08:43:53.968Z,168534983396800
"""brett @ C-NjgDuYnf"" calls 6.00",2023-05-29T08:43:53.097Z,168534983309700
"""Apex @ -3crw0gEJ1"" folds",2023-05-29T08:43:50.698Z,168534983069800
"""Hayden @ 2LakBwr16r"" raises to 6.00",2023-05-29T08:43:49.674Z,168534982967400
"""brett @ C-NjgDuYnf"" posts a big blind of 2.00",2023-05-29T08:43:46.637Z,168534982663706
