entry,at,order
"The player ""Evan Ding @ iOfET8riwD"" stand up with the stack of 880.70.",2023-06-27T07:16:43.613Z,168785020361300
"-- ending hand #790 --",2023-06-27T07:16:37.597Z,168785019759702
"""Evan Ding @ iOfET8riwD"" collected 56.00 from pot with Pair, A's (combination: A♣, A♥, Q♣, J♣, 10♥)",2023-06-27T07:16:37.597Z,168785019759701
"""Evan Ding @ iOfET8riwD"" shows a A♣, J♣.",2023-06-27T07:16:37.597Z,168785019759700
"""Evan Ding @ iOfET8riwD"" checks",2023-06-27T07:16:36.768Z,168785019676800
"""Seneca @ 3K1udw0KZ8"" checks",2023-06-27T07:16:35.406Z,168785019540600
"River: 2♣, Q♣, 10♥, A♥ [8♥]",2023-06-27T07:16:04.160Z,168785016416000
"""Evan Ding @ iOfET8riwD"" checks",2023-06-27T07:16:03.349Z,168785016334900
"""Seneca @ 3K1udw0KZ8"" checks",2023-06-27T07:16:00.229Z,168785016022900
"Turn: 2♣, Q♣, 10♥ [A♥]",2023-06-27T07:15:49.342Z,168785014934200
"""Evan Ding @ iOfET8riwD"" calls 22.00",2023-06-27T07:15:48.531Z,168785014853100
"""Seneca @ 3K1udw0KZ8"" raises to 22.00",2023-06-27T07:15:43.683Z,168785014368300
"""Evan Ding @ iOfET8riwD"" bets 6.00",2023-06-27T07:15:26.899Z,168785012689900
"""Seneca @ 3K1udw0KZ8"" checks",2023-06-27T07:15:24.055Z,168785012405500
"Flop:  [2♣, Q♣, 10♥]",2023-06-27T07:15:19.866Z,168785011986600
"""Seneca @ 3K1udw0KZ8"" calls 6.00",2023-06-27T07:15:19.025Z,168785011902500
"""Evan Ding @ iOfET8riwD"" raises to 6.00",2023-06-27T07:15:16.064Z,168785011606400
"""Seneca @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-06-27T07:15:13.964Z,168785011396406
"""Evan Ding @ iOfET8riwD"" posts a small blind of 1.00",2023-06-27T07:15:13.964Z,168785011396405
"Player stacks: #1 ""Seneca @ 3K1udw0KZ8"" (586.11) | #9 ""Evan Ding @ iOfET8riwD"" (852.70)",2023-06-27T07:15:13.964Z,168785011396402
"-- starting hand #790 (id: wjoq0byvysl2)  (No Limit Texas Hold'em) (dealer: ""Evan Ding @ iOfET8riwD"") --",2023-06-27T07:15:13.964Z,168785011396401
"The player ""Phil @ G04mhajadH"" quits the game with a stack of 820.66.",2023-06-27T07:15:13.964Z,168785011396400
"-- ending hand #789 --",2023-06-27T07:15:11.060Z,168785011106002
"""Evan Ding @ iOfET8riwD"" collected 18.00 from pot",2023-06-27T07:15:11.060Z,168785011106001
"Uncalled bet of 13.50 returned to ""Evan Ding @ iOfET8riwD""",2023-06-27T07:15:11.060Z,168785011106000
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-27T07:15:10.236Z,168785011023600
"""Evan Ding @ iOfET8riwD"" bets 13.50",2023-06-27T07:15:08.709Z,168785010870900
"River: 7♠, 8♦, Q♦, A♠ [9♠]",2023-06-27T07:15:03.107Z,168785010310700
"""Seneca @ 3K1udw0KZ8"" checks",2023-06-27T07:15:02.291Z,168785010229100
"""Evan Ding @ iOfET8riwD"" checks",2023-06-27T07:14:57.436Z,168785009743600
"Turn: 7♠, 8♦, Q♦ [A♠]",2023-06-27T07:14:55.834Z,168785009583400
"""Evan Ding @ iOfET8riwD"" calls 4.00",2023-06-27T07:14:54.995Z,168785009499500
