entry,at,order
"The player ""Phil @ JZNV0izPqn"" stand up with the stack of 533.89.",2023-05-22T21:03:15.699Z,168478939569900
"The player ""Pi @ Q_7p9RYvho"" quits the game with a stack of 194.40.",2023-05-22T21:03:13.173Z,168478939317301
"The player ""Rik @ UNLThMQLBK"" stand up with the stack of 100.91.",2023-05-22T21:03:13.173Z,168478939317300
"""AA @ 9htPtPnrfo"" shows a K♠, K♦.",2023-05-22T21:03:11.681Z,168478939168100
"""Rik @ UNLThMQLBK"" shows a 4♦, 8♦.",2023-05-22T21:03:09.210Z,168478938921000
"-- ending hand #214 --",2023-05-22T21:03:05.820Z,168478938582002
"""AA @ 9htPtPnrfo"" collected 23.00 from pot",2023-05-22T21:03:05.820Z,168478938582001
"Uncalled bet of 25.00 returned to ""AA @ 9htPtPnrfo""",2023-05-22T21:03:05.820Z,168478938582000
"""Rik @ UNLThMQLBK"" folds",2023-05-22T21:03:04.962Z,168478938496200
"""Drew @ zjc1AvmjDB"" folds",2023-05-22T21:03:04.150Z,168478938415000
"""AA @ 9htPtPnrfo"" raises to 35.00",2023-05-22T21:02:49.795Z,168478936979500
"""Rik @ UNLThMQLBK"" raises to 10.00",2023-05-22T21:02:45.451Z,168478936545100
"""Howell @ t1dQ9HoySl"" folds",2023-05-22T21:02:41.340Z,168478936134000
"""Drew @ zjc1AvmjDB"" calls 2.00",2023-05-22T21:02:25.482Z,168478934548200
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-22T21:02:22.101Z,168478934210100
"""Phil @ JZNV0izPqn"" folds",2023-05-22T21:02:21.201Z,168478934120100
"""Goml @ 7a56dpAeZy"" folds",2023-05-22T21:02:19.716Z,168478933971600
"""AA @ 9htPtPnrfo"" calls 2.00",2023-05-22T21:02:16.758Z,168478933675800
"The admin ""Goml @ 7a56dpAeZy"" enqueued the game stop on next hand.",2023-05-22T21:02:12.799Z,168478933279900
"""Rik @ UNLThMQLBK"" posts a straddle of 2.00",2023-05-22T21:02:11.495Z,168478933149511
"""Howell @ t1dQ9HoySl"" posts a big blind of 1.00",2023-05-22T21:02:11.495Z,168478933149510
"""Drew @ zjc1AvmjDB"" posts a small blind of 0.50",2023-05-22T21:02:11.495Z,168478933149509
"Player stacks: #1 ""Howell @ t1dQ9HoySl"" (222.24) | #2 ""Rik @ UNLThMQLBK"" (110.91) | #3 ""AA @ 9htPtPnrfo"" (217.43) | #4 ""Goml @ 7a56dpAeZy"" (46.74) | #7 ""Phil @ JZNV0izPqn"" (533.89) | #9 ""Shlapp @ ZWO9_p1DU9"" (129.50) | #10 ""Drew @ zjc1AvmjDB"" (294.63)",2023-05-22T21:02:11.495Z,168478933149501
"-- starting hand #214 (id: o7luclci4hnu)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-05-22T21:02:11.495Z,168478933149500
"-- ending hand #213 --",2023-05-22T21:02:05.561Z,168478932556102
"""Goml @ 7a56dpAeZy"" collected 10.50 from pot",2023-05-22T21:02:05.561Z,168478932556101
"Uncalled bet of 36.24 returned to ""Goml @ 7a56dpAeZy""",2023-05-22T21:02:05.561Z,168478932556100
"""AA @ 9htPtPnrfo"" folds",2023-05-22T21:02:04.678Z,168478932467800
"""Rik @ UNLThMQLBK"" folds",2023-05-22T21:02:03.810Z,168478932381000
"""Drew @ zjc1AvmjDB"" folds",2023-05-22T21:02:02.898Z,168478932289800
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-22T21:02:01.971Z,168478932197100
"""Phil @ JZNV0izPqn"" folds",2023-05-22T21:01:55.965Z,168478931596500
"""Goml @ 7a56dpAeZy"" raises to 39.24 and go all in",2023-05-22T21:01:55.062Z,168478931506200
"""AA @ 9htPtPnrfo"" calls 3.00",2023-05-22T21:01:52.751Z,168478931275100
"""Rik @ UNLThMQLBK"" raises to 3.00",2023-05-22T21:01:50.553Z,168478931055300
"""Howell @ t1dQ9HoySl"" folds",2023-05-22T21:01:47.480Z,168478930748000
"""Drew @ zjc1AvmjDB"" posts a big blind of 1.00",2023-05-22T21:01:34.562Z,168478929456211
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-05-22T21:01:34.562Z,168478929456210
"Player stacks: #1 ""Howell @ t1dQ9HoySl"" (222.24) | #2 ""Rik @ UNLThMQLBK"" (113.91) | #3 ""AA @ 9htPtPnrfo"" (220.43) | #4 ""Goml @ 7a56dpAeZy"" (39.24) | #7 ""Phil @ JZNV0izPqn"" (533.89) | #9 ""Shlapp @ ZWO9_p1DU9"" (130.00) | #10 ""Drew @ zjc1AvmjDB"" (295.63)",2023-05-22T21:01:34.562Z,168478929456202
"-- starting hand #213 (id: 6vdytmwcn216)  (No Limit Texas Hold'em) (dead button) --",2023-05-22T21:01:34.562Z,168478929456201
"The player ""Pi @ Q_7p9RYvho"" stand up with the stack of 194.40.",2023-05-22T21:01:34.562Z,168478929456200
"-- ending hand #212 --",2023-05-22T21:01:28.536Z,168478928853603
"""Shlapp @ ZWO9_p1DU9"" shows a K♥, 9♠.",2023-05-22T21:01:28.536Z,168478928853602
"""Drew @ zjc1AvmjDB"" collected 58.00 from pot with Three of a Kind, 10's (combination: 10♣, 10♥, 10♦, K♦, J♣)",2023-05-22T21:01:28.536Z,168478928853601
"""Drew @ zjc1AvmjDB"" shows a J♣, 10♣.",2023-05-22T21:01:28.536Z,168478928853600
"""Drew @ zjc1AvmjDB"" calls 12.00",2023-05-22T21:01:27.723Z,168478928772300
"""Shlapp @ ZWO9_p1DU9"" bets 12.00",2023-05-22T21:01:26.358Z,168478928635800
"River: 10♥, 10♦, 9♥, K♦ [5♦]",2023-05-22T21:01:17.220Z,168478927722000
"""Drew @ zjc1AvmjDB"" calls 10.00",2023-05-22T21:01:16.368Z,168478927636800
"""Shlapp @ ZWO9_p1DU9"" bets 10.00",2023-05-22T21:01:08.391Z,168478926839100
"Turn: 10♥, 10♦, 9♥ [K♦]",2023-05-22T21:01:00.786Z,168478926078600
"""AA @ 9htPtPnrfo"" folds",2023-05-22T21:00:59.950Z,168478925995000
"""Drew @ zjc1AvmjDB"" calls 4.00",2023-05-22T21:00:59.079Z,168478925907900
"""Shlapp @ ZWO9_p1DU9"" bets 4.00",2023-05-22T21:00:50.046Z,168478925004600
"Flop:  [10♥, 10♦, 9♥]",2023-05-22T21:00:40.772Z,168478924077200
"""Drew @ zjc1AvmjDB"" checks",2023-05-22T21:00:39.902Z,168478923990200
"""Shlapp @ ZWO9_p1DU9"" calls 2.00",2023-05-22T21:00:37.403Z,168478923740300
"""Phil @ JZNV0izPqn"" folds",2023-05-22T21:00:36.401Z,168478923640100
"""Pi @ Q_7p9RYvho"" folds",2023-05-22T21:00:35.561Z,168478923556100
"""Goml @ 7a56dpAeZy"" folds",2023-05-22T21:00:34.665Z,168478923466500
"""AA @ 9htPtPnrfo"" calls 2.00",2023-05-22T21:00:33.794Z,168478923379400
"""Rik @ UNLThMQLBK"" folds",2023-05-22T21:00:32.892Z,168478923289200
"""Howell @ t1dQ9HoySl"" folds",2023-05-22T21:00:31.833Z,168478923183300
"""Drew @ zjc1AvmjDB"" posts a straddle of 2.00",2023-05-22T21:00:16.826Z,168478921682613
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-05-22T21:00:16.826Z,168478921682612
"Dead Small Blind",2023-05-22T21:00:16.826Z,168478921682611
"Player stacks: #1 ""Howell @ t1dQ9HoySl"" (222.24) | #2 ""Rik @ UNLThMQLBK"" (113.91) | #3 ""AA @ 9htPtPnrfo"" (222.43) | #4 ""Goml @ 7a56dpAeZy"" (39.24) | #6 ""Pi @ Q_7p9RYvho"" (194.40) | #7 ""Phil @ JZNV0izPqn"" (533.89) | #9 ""Shlapp @ ZWO9_p1DU9"" (158.00) | #10 ""Drew @ zjc1AvmjDB"" (265.63)",2023-05-22T21:00:16.826Z,168478921682602
"-- starting hand #212 (id: mg79ihm5l2lh)  (No Limit Texas Hold'em) (dealer: ""Phil @ JZNV0izPqn"") --",2023-05-22T21:00:16.826Z,168478921682601
"The player ""Don @ 6T4espke1S"" stand up with the stack of 169.00.",2023-05-22T21:00:16.826Z,168478921682600
"-- ending hand #211 --",2023-05-22T21:00:10.901Z,168478921090102
"""Phil @ JZNV0izPqn"" collected 21.00 from pot",2023-05-22T21:00:10.901Z,168478921090101
"Uncalled bet of 45.00 returned to ""Phil @ JZNV0izPqn""",2023-05-22T21:00:10.901Z,168478921090100
"""Goml @ 7a56dpAeZy"" folds",2023-05-22T21:00:10.017Z,168478921001700
"""AA @ 9htPtPnrfo"" folds",2023-05-22T21:00:09.131Z,168478920913100
"""Rik @ UNLThMQLBK"" folds",2023-05-22T21:00:08.257Z,168478920825700
"""Don @ 6T4espke1S"" folds",2023-05-22T21:00:07.371Z,168478920737100
"""Phil @ JZNV0izPqn"" raises to 50.00",2023-05-22T21:00:02.987Z,168478920298700
"""Pi @ Q_7p9RYvho"" folds",2023-05-22T21:00:00.331Z,168478920033100
"""Goml @ 7a56dpAeZy"" calls 5.00",2023-05-22T20:59:59.470Z,168478919947000
"""AA @ 9htPtPnrfo"" calls 5.00",2023-05-22T20:59:57.855Z,168478919785500
"""Rik @ UNLThMQLBK"" raises to 5.00",2023-05-22T20:59:56.460Z,168478919646000
"""Howell @ t1dQ9HoySl"" folds",2023-05-22T20:59:46.131Z,168478918613100
"""Drew @ zjc1AvmjDB"" folds",2023-05-22T20:59:45.037Z,168478918503700
"""Shlapp @ ZWO9_p1DU9"" folds",2023-05-22T20:59:21.279Z,168478916127900
"""Don @ 6T4espke1S"" posts a big blind of 1.00",2023-05-22T20:59:19.535Z,168478915953512
