entry,at,order
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 1215.62.",2023-06-05T08:20:07.616Z,168595320761601
"The player ""Gill iPad @ rBxx2OqQ80"" stand up with the stack of 911.63.",2023-06-05T08:20:07.616Z,168595320761600
"-- ending hand #608 --",2023-06-05T08:20:04.663Z,168595320466302
"""Hayden @ 2LakBwr16r"" collected 12.00 from pot",2023-06-05T08:20:04.663Z,168595320466301
"Uncalled bet of 2.00 returned to ""Hayden @ 2LakBwr16r""",2023-06-05T08:20:04.663Z,168595320466300
"""Gill iPad @ rBxx2OqQ80"" folds",2023-06-05T08:20:03.852Z,168595320385200
"""Hayden @ 2LakBwr16r"" bets 2.00",2023-06-05T08:20:02.230Z,168595320223000
"River: K♦, 9♠, J♥, J♣ [6♥]",2023-06-05T08:20:01.151Z,168595320115100
"""Gill iPad @ rBxx2OqQ80"" checks",2023-06-05T08:20:00.312Z,168595320031200
"""Hayden @ 2LakBwr16r"" checks",2023-06-05T08:19:59.290Z,168595319929000
"Turn: K♦, 9♠, J♥ [J♣]",2023-06-05T08:19:58.349Z,168595319834900
"""Gill iPad @ rBxx2OqQ80"" checks",2023-06-05T08:19:57.460Z,168595319746000
"""Hayden @ 2LakBwr16r"" checks",2023-06-05T08:19:56.474Z,168595319647400
"Flop:  [K♦, 9♠, J♥]",2023-06-05T08:19:54.779Z,168595319477900
"""Hayden @ 2LakBwr16r"" calls 6.00",2023-06-05T08:19:53.974Z,168595319397400
"""Gill iPad @ rBxx2OqQ80"" raises to 6.00",2023-06-05T08:19:52.570Z,168595319257000
"""Hayden @ 2LakBwr16r"" posts a big blind of 2.00",2023-06-05T08:19:49.551Z,168595318955105
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-06-05T08:19:49.551Z,168595318955104
"Player stacks: #6 ""Gill iPad @ rBxx2OqQ80"" (917.63) | #9 ""Hayden @ 2LakBwr16r"" (1209.62)",2023-06-05T08:19:49.551Z,168595318955101
"-- starting hand #608 (id: 4zjovt4ss8gv)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-06-05T08:19:49.551Z,168595318955100
"-- ending hand #607 --",2023-06-05T08:19:43.614Z,168595318361402
"""Hayden @ 2LakBwr16r"" collected 4.00 from pot",2023-06-05T08:19:43.614Z,168595318361401
"Uncalled bet of 4.00 returned to ""Hayden @ 2LakBwr16r""",2023-06-05T08:19:43.614Z,168595318361400
"""Gill iPad @ rBxx2OqQ80"" folds",2023-06-05T08:19:42.790Z,168595318279000
"""Hayden @ 2LakBwr16r"" raises to 6.00",2023-06-05T08:19:38.944Z,168595317894400
"""Gill iPad @ rBxx2OqQ80"" posts a big blind of 2.00",2023-06-05T08:19:23.820Z,168595316382005
"""Hayden @ 2LakBwr16r"" posts a small blind of 1.00",2023-06-05T08:19:23.820Z,168595316382004
"Player stacks: #6 ""Gill iPad @ rBxx2OqQ80"" (919.63) | #9 ""Hayden @ 2LakBwr16r"" (1207.62)",2023-06-05T08:19:23.820Z,168595316382001
"-- starting hand #607 (id: 0wqpbbftjbdw)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-06-05T08:19:23.820Z,168595316382000
"-- ending hand #606 --",2023-06-05T08:19:17.907Z,168595315790702
"""Hayden @ 2LakBwr16r"" collected 2.00 from pot",2023-06-05T08:19:17.907Z,168595315790701
"Uncalled bet of 1.00 returned to ""Hayden @ 2LakBwr16r""",2023-06-05T08:19:17.907Z,168595315790700
"""Gill iPad @ rBxx2OqQ80"" folds",2023-06-05T08:19:17.101Z,168595315710100
"""Hayden @ 2LakBwr16r"" posts a big blind of 2.00",2023-06-05T08:19:15.590Z,168595315559006
"""Gill iPad @ rBxx2OqQ80"" posts a small blind of 1.00",2023-06-05T08:19:15.590Z,168595315559005
"Player stacks: #6 ""Gill iPad @ rBxx2OqQ80"" (920.63) | #9 ""Hayden @ 2LakBwr16r"" (1206.62)",2023-06-05T08:19:15.590Z,168595315559002
"-- starting hand #606 (id: udtbzwh9kyev)  (No Limit Texas Hold'em) (dealer: ""Gill iPad @ rBxx2OqQ80"") --",2023-06-05T08:19:15.590Z,168595315559001
"The player ""sim @ UPtUESnETm"" quits the game with a stack of 0.00.",2023-06-05T08:19:15.590Z,168595315559000
"-- ending hand #605 --",2023-06-05T08:19:09.582Z,168595314958201
"""Gill iPad @ rBxx2OqQ80"" collected 151.00 from pot with Pair, A's (combination: A♣, A♥, K♦, Q♣, 9♦)",2023-06-05T08:19:09.582Z,168595314958200
"River: 9♦, Q♣, 8♠, 5♠ [A♥]",2023-06-05T08:19:05.567Z,168595314556700
"Turn: 9♦, Q♣, 8♠ [5♠]",2023-06-05T08:19:01.557Z,168595314155700
"Flop:  [9♦, Q♣, 8♠]",2023-06-05T08:18:57.457Z,168595313745700
"""sim @ UPtUESnETm"" shows a J♠, A♦.",2023-06-05T08:18:53.454Z,168595313345401
"""Gill iPad @ rBxx2OqQ80"" shows a K♦, A♣.",2023-06-05T08:18:53.454Z,168595313345400
"Some players choose to not run it twice.",2023-06-05T08:18:52.621Z,168595313262101
"""Gill iPad @ rBxx2OqQ80"" chooses to not run it twice.",2023-06-05T08:18:52.621Z,168595313262100
"Remaining players decide whether to run it twice.",2023-06-05T08:18:51.238Z,168595313123801
"""sim @ UPtUESnETm"" calls 75.50 and go all in",2023-06-05T08:18:51.238Z,168595313123800
"""Gill iPad @ rBxx2OqQ80"" raises to 75.50",2023-06-05T08:18:47.733Z,168595312773300
"""sim @ UPtUESnETm"" raises to 8.00",2023-06-05T08:18:45.251Z,168595312525100
"""Gill iPad @ rBxx2OqQ80"" calls 2.00",2023-06-05T08:18:40.414Z,168595312041400
"""Hayden @ 2LakBwr16r"" folds",2023-06-05T08:18:38.965Z,168595311896500
"""sim @ UPtUESnETm"" posts a big blind of 2.00",2023-06-05T08:18:37.545Z,168595311754506
