entry,at,order
"""Marv69 @ HplYz2U0rs"" shows a Q♥, 3♥, 8♦, 6♠.",2023-06-26T08:18:12.057Z,168776749205700
"""MJK @ 8xuYQoCB-e"" shows a 4♥, 10♣, K♠, 8♣.",2023-06-26T08:18:09.638Z,168776748963800
"-- ending hand #246 --",2023-06-26T08:18:08.775Z,168776748877502
"""Marv69 @ HplYz2U0rs"" collected 6.00 from pot",2023-06-26T08:18:08.775Z,168776748877501
"Uncalled bet of 6.00 returned to ""Marv69 @ HplYz2U0rs""",2023-06-26T08:18:08.775Z,168776748877500
"""MJK @ 8xuYQoCB-e"" folds",2023-06-26T08:18:07.923Z,168776748792300
"""Marv69 @ HplYz2U0rs"" bets 6.00",2023-06-26T08:18:06.987Z,168776748698700
"Turn: Q♦, A♣, 8♠ [5♥]",2023-06-26T08:18:01.566Z,168776748156600
"""MJK @ 8xuYQoCB-e"" calls 2.00",2023-06-26T08:18:00.734Z,168776748073400
"""Marv69 @ HplYz2U0rs"" bets 2.00",2023-06-26T08:17:58.950Z,168776747895000
"Flop:  [Q♦, A♣, 8♠]",2023-06-26T08:17:51.503Z,168776747150300
"""Marv69 @ HplYz2U0rs"" checks",2023-06-26T08:17:50.694Z,168776747069400
"""MJK @ 8xuYQoCB-e"" calls 1.00",2023-06-26T08:17:49.437Z,168776746943700
"The admin ""MJK @ 8xuYQoCB-e"" enqueued the game stop on next hand.",2023-06-26T08:17:48.303Z,168776746830300
"""Marv69 @ HplYz2U0rs"" posts a big blind of 1.00",2023-06-26T08:17:48.030Z,168776746803005
"""MJK @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-06-26T08:17:48.030Z,168776746803004
"Player stacks: #4 ""Marv69 @ HplYz2U0rs"" (247.12) | #9 ""MJK @ 8xuYQoCB-e"" (841.88)",2023-06-26T08:17:48.030Z,168776746803001
"-- starting hand #246 (id: n1oc3uk5xcnv)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-26T08:17:48.030Z,168776746803000
"""MJK @ 8xuYQoCB-e"" shows a 8♥, K♦, K♣, 6♠.",2023-06-26T08:17:45.938Z,168776746593800
"-- ending hand #245 --",2023-06-26T08:17:41.493Z,168776746149302
"""Marv69 @ HplYz2U0rs"" collected 36.00 from pot with Straight (combination: J♥, 10♠, 9♣, 8♣, 7♥)",2023-06-26T08:17:41.493Z,168776746149301
"""Marv69 @ HplYz2U0rs"" shows a 8♣, 3♠, Q♥, 10♠.",2023-06-26T08:17:41.493Z,168776746149300
"""Marv69 @ HplYz2U0rs"" checks",2023-06-26T08:17:40.681Z,168776746068100
"""MJK @ 8xuYQoCB-e"" checks",2023-06-26T08:17:39.159Z,168776745915900
"River: 7♥, 9♣, 2♥, 6♦ [J♥]",2023-06-26T08:17:38.355Z,168776745835500
"""MJK @ 8xuYQoCB-e"" calls 12.00",2023-06-26T08:17:37.513Z,168776745751300
"""Marv69 @ HplYz2U0rs"" bets 12.00",2023-06-26T08:17:35.526Z,168776745552600
"""MJK @ 8xuYQoCB-e"" checks",2023-06-26T08:17:32.154Z,168776745215400
"Turn: 7♥, 9♣, 2♥ [6♦]",2023-06-26T08:17:29.947Z,168776744994700
"""Marv69 @ HplYz2U0rs"" calls 3.00",2023-06-26T08:17:29.068Z,168776744906800
"""MJK @ 8xuYQoCB-e"" bets 3.00",2023-06-26T08:17:24.177Z,168776744417700
"Flop:  [7♥, 9♣, 2♥]",2023-06-26T08:17:19.658Z,168776743965800
"""Marv69 @ HplYz2U0rs"" calls 3.00",2023-06-26T08:17:18.828Z,168776743882800
"""MJK @ 8xuYQoCB-e"" raises to 3.00",2023-06-26T08:17:17.533Z,168776743753300
"""Marv69 @ HplYz2U0rs"" calls 1.00",2023-06-26T08:17:14.991Z,168776743499100
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-06-26T08:17:07.317Z,168776742731705
"""Marv69 @ HplYz2U0rs"" posts a small blind of 0.50",2023-06-26T08:17:07.317Z,168776742731704
"Player stacks: #4 ""Marv69 @ HplYz2U0rs"" (229.12) | #9 ""MJK @ 8xuYQoCB-e"" (859.88)",2023-06-26T08:17:07.317Z,168776742731701
"-- starting hand #245 (id: zifidub3w5bk)  (Pot Limit Omaha Hi) (dealer: ""Marv69 @ HplYz2U0rs"") --",2023-06-26T08:17:07.317Z,168776742731700
"""Marv69 @ HplYz2U0rs"" shows a J♠, 2♥, 6♦, J♣.",2023-06-26T08:17:03.055Z,168776742305500
"""MJK @ 8xuYQoCB-e"" shows a Q♥, K♣, 9♠, 6♣.",2023-06-26T08:17:00.859Z,168776742085900
"-- ending hand #244 --",2023-06-26T08:16:59.957Z,168776741995702
