entry,at,order
"The player ""Jackson @ yXr_bmZ3u2"" quits the game with a stack of 111.32.",2023-06-05T22:14:31.120Z,168600327112000
"The player ""Jackson @ yXr_bmZ3u2"" stand up with the stack of 111.32.",2023-06-05T22:13:49.555Z,168600322955500
"-- ending hand #143 --",2023-06-05T22:13:43.526Z,168600322352602
"""Shlapp @ ZWO9_p1DU9"" collected 1.00 from pot",2023-06-05T22:13:43.526Z,168600322352601
"Uncalled bet of 0.50 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-05T22:13:43.526Z,168600322352600
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the game stop on next hand.",2023-06-05T22:13:43.043Z,168600322304300
"""Mr Action @ rn7K1DtZTz"" folds",2023-06-05T22:13:42.632Z,168600322263200
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-05T22:13:40.821Z,168600322082100
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-06-05T22:13:40.727Z,168600322072706
"""Mr Action @ rn7K1DtZTz"" posts a small blind of 0.50",2023-06-05T22:13:40.727Z,168600322072705
"Player stacks: #1 ""Jackson @ yXr_bmZ3u2"" (111.32) | #6 ""Mr Action @ rn7K1DtZTz"" (56.16) | #10 ""Shlapp @ ZWO9_p1DU9"" (216.20)",2023-06-05T22:13:40.727Z,168600322072701
"-- starting hand #143 (id: kn7o5glnprqx)  (No Limit Texas Hold'em) (dealer: ""Jackson @ yXr_bmZ3u2"") --",2023-06-05T22:13:40.727Z,168600322072700
"-- ending hand #142 --",2023-06-05T22:13:34.723Z,168600321472302
"""Mr Action @ rn7K1DtZTz"" collected 1.00 from pot",2023-06-05T22:13:34.723Z,168600321472301
"Uncalled bet of 0.50 returned to ""Mr Action @ rn7K1DtZTz""",2023-06-05T22:13:34.723Z,168600321472300
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-05T22:13:33.806Z,168600321380600
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-05T22:13:30.841Z,168600321084100
"""Mr Action @ rn7K1DtZTz"" posts a big blind of 1.00",2023-06-05T22:13:29.518Z,168600320951806
"""Jackson @ yXr_bmZ3u2"" posts a small blind of 0.50",2023-06-05T22:13:29.518Z,168600320951805
"Player stacks: #1 ""Jackson @ yXr_bmZ3u2"" (111.82) | #6 ""Mr Action @ rn7K1DtZTz"" (55.66) | #10 ""Shlapp @ ZWO9_p1DU9"" (216.20)",2023-06-05T22:13:29.518Z,168600320951801
"-- starting hand #142 (id: vplhdyuc4owf)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-06-05T22:13:29.518Z,168600320951800
"""Shlapp @ ZWO9_p1DU9"" shows a 10♣, 10♦.",2023-06-05T22:13:28.541Z,168600320854100
"""Mr Action @ rn7K1DtZTz"" shows a 5♥, 10♥.",2023-06-05T22:13:24.803Z,168600320480300
"-- ending hand #141 --",2023-06-05T22:13:22.194Z,168600320219402
"""Mr Action @ rn7K1DtZTz"" collected 15.00 from pot",2023-06-05T22:13:22.194Z,168600320219401
"Uncalled bet of 40.66 returned to ""Mr Action @ rn7K1DtZTz""",2023-06-05T22:13:22.194Z,168600320219400
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-05T22:13:21.342Z,168600320134200
"""Mr Action @ rn7K1DtZTz"" raises to 44.66 and go all in",2023-06-05T22:13:19.459Z,168600319945900
"""Shlapp @ ZWO9_p1DU9"" bets 4.00",2023-06-05T22:13:13.478Z,168600319347800
"Flop:  [5♣, A♥, J♥]",2023-06-05T22:13:06.488Z,168600318648800
"""Mr Action @ rn7K1DtZTz"" calls 3.00",2023-06-05T22:13:05.619Z,168600318561900
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-05T22:13:04.206Z,168600318420600
"""Shlapp @ ZWO9_p1DU9"" raises to 3.00",2023-06-05T22:13:00.058Z,168600318005800
"""Mr Action @ rn7K1DtZTz"" calls 1.00",2023-06-05T22:12:57.389Z,168600317738900
"""Jackson @ yXr_bmZ3u2"" posts a big blind of 1.00",2023-06-05T22:12:55.074Z,168600317507406
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-05T22:12:55.074Z,168600317507405
"Player stacks: #1 ""Jackson @ yXr_bmZ3u2"" (112.82) | #6 ""Mr Action @ rn7K1DtZTz"" (47.66) | #10 ""Shlapp @ ZWO9_p1DU9"" (223.20)",2023-06-05T22:12:55.074Z,168600317507401
"-- starting hand #141 (id: zvgm7lmj77as)  (No Limit Texas Hold'em) (dealer: ""Mr Action @ rn7K1DtZTz"") --",2023-06-05T22:12:55.074Z,168600317507400
"-- ending hand #140 --",2023-06-05T22:12:49.142Z,168600316914202
"""Shlapp @ ZWO9_p1DU9"" collected 1.00 from pot",2023-06-05T22:12:49.142Z,168600316914201
"Uncalled bet of 0.50 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-05T22:12:49.142Z,168600316914200
"""Mr Action @ rn7K1DtZTz"" folds",2023-06-05T22:12:48.264Z,168600316826400
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-05T22:12:47.235Z,168600316723500
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-06-05T22:12:45.341Z,168600316534106
"""Mr Action @ rn7K1DtZTz"" posts a small blind of 0.50",2023-06-05T22:12:45.341Z,168600316534105
"Player stacks: #1 ""Jackson @ yXr_bmZ3u2"" (112.82) | #6 ""Mr Action @ rn7K1DtZTz"" (48.16) | #10 ""Shlapp @ ZWO9_p1DU9"" (222.70)",2023-06-05T22:12:45.341Z,168600316534101
"-- starting hand #140 (id: 0rwhyturhplp)  (No Limit Texas Hold'em) (dealer: ""Jackson @ yXr_bmZ3u2"") --",2023-06-05T22:12:45.341Z,168600316534100
"-- ending hand #139 --",2023-06-05T22:12:39.260Z,168600315926001
"""Mr Action @ rn7K1DtZTz"" collected 48.16 from pot with Two Pair, 7's & 6's (combination: 7♠, 7♥, 6♠, 6♥, A♦)",2023-06-05T22:12:39.260Z,168600315926000
"River: 7♠, A♦, 2♠, K♣ [7♥]",2023-06-05T22:12:35.234Z,168600315523400
"Turn: 7♠, A♦, 2♠ [K♣]",2023-06-05T22:12:31.220Z,168600315122000
"Flop:  [7♠, A♦, 2♠]",2023-06-05T22:12:27.116Z,168600314711600
"""Mr Action @ rn7K1DtZTz"" shows a 6♠, 6♥.",2023-06-05T22:12:23.110Z,168600314311001
"""Jackson @ yXr_bmZ3u2"" shows a Q♦, 10♠.",2023-06-05T22:12:23.110Z,168600314311000
"Some players choose to not run it twice.",2023-06-05T22:12:22.238Z,168600314223801
"""Mr Action @ rn7K1DtZTz"" chooses to not run it twice.",2023-06-05T22:12:22.238Z,168600314223800
"Remaining players decide whether to run it twice.",2023-06-05T22:12:20.855Z,168600314085501
"""Mr Action @ rn7K1DtZTz"" calls 24.08 and go all in",2023-06-05T22:12:20.855Z,168600314085500
"""Jackson @ yXr_bmZ3u2"" raises to 24.08",2023-06-05T22:12:19.432Z,168600313943200
"""Mr Action @ rn7K1DtZTz"" raises to 3.00",2023-06-05T22:12:15.755Z,168600313575500
"""Jackson @ yXr_bmZ3u2"" calls 1.00",2023-06-05T22:12:13.252Z,168600313325200
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-05T22:12:05.557Z,168600312555700
"""Mr Action @ rn7K1DtZTz"" posts a big blind of 1.00",2023-06-05T22:11:53.930Z,168600311393006
"""Jackson @ yXr_bmZ3u2"" posts a small blind of 0.50",2023-06-05T22:11:53.930Z,168600311393005
"Player stacks: #1 ""Jackson @ yXr_bmZ3u2"" (136.90) | #6 ""Mr Action @ rn7K1DtZTz"" (24.08) | #10 ""Shlapp @ ZWO9_p1DU9"" (222.70)",2023-06-05T22:11:53.930Z,168600311393001
"-- starting hand #139 (id: on4f7xymq1lt)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-06-05T22:11:53.930Z,168600311393000
"-- ending hand #138 --",2023-06-05T22:11:48.017Z,168600310801702
"""Shlapp @ ZWO9_p1DU9"" collected 2.00 from pot",2023-06-05T22:11:48.017Z,168600310801701
"Uncalled bet of 2.00 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-05T22:11:48.017Z,168600310801700
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-05T22:11:47.173Z,168600310717300
"""Shlapp @ ZWO9_p1DU9"" raises to 3.00",2023-06-05T22:11:44.019Z,168600310401900
"""Mr Action @ rn7K1DtZTz"" folds",2023-06-05T22:11:36.676Z,168600309667600
"""Jackson @ yXr_bmZ3u2"" posts a big blind of 1.00",2023-06-05T22:11:34.184Z,168600309418406
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-05T22:11:34.184Z,168600309418405
"Player stacks: #1 ""Jackson @ yXr_bmZ3u2"" (137.90) | #6 ""Mr Action @ rn7K1DtZTz"" (24.08) | #10 ""Shlapp @ ZWO9_p1DU9"" (221.70)",2023-06-05T22:11:34.184Z,168600309418401
"-- starting hand #138 (id: ithgjjkhmbdk)  (No Limit Texas Hold'em) (dealer: ""Mr Action @ rn7K1DtZTz"") --",2023-06-05T22:11:34.184Z,168600309418400
"-- ending hand #137 --",2023-06-05T22:11:28.104Z,168600308810402
"""Mr Action @ rn7K1DtZTz"" collected 4.00 from pot with Two Pair, A's & 8's (combination: A♣, A♦, 8♥, 8♣, 9♣)",2023-06-05T22:11:28.104Z,168600308810401
"""Mr Action @ rn7K1DtZTz"" shows a 8♥, 9♣.",2023-06-05T22:11:28.104Z,168600308810400
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-05T22:11:27.181Z,168600308718100
"""Mr Action @ rn7K1DtZTz"" checks",2023-06-05T22:11:25.879Z,168600308587900
"River: 5♦, 2♦, A♣, 8♣ [A♦]",2023-06-05T22:11:23.159Z,168600308315900
"""Mr Action @ rn7K1DtZTz"" calls 1.00",2023-06-05T22:11:22.348Z,168600308234800
"""Shlapp @ ZWO9_p1DU9"" bets 1.00",2023-06-05T22:11:20.442Z,168600308044200
"""Mr Action @ rn7K1DtZTz"" checks",2023-06-05T22:11:18.930Z,168600307893000
"Turn: 5♦, 2♦, A♣ [8♣]",2023-06-05T22:11:17.060Z,168600307706000
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-05T22:11:16.233Z,168600307623300
"""Mr Action @ rn7K1DtZTz"" checks",2023-06-05T22:11:15.019Z,168600307501900
"Flop:  [5♦, 2♦, A♣]",2023-06-05T22:11:12.454Z,168600307245400
"""Shlapp @ ZWO9_p1DU9"" checks",2023-06-05T22:11:11.556Z,168600307155600
"""Mr Action @ rn7K1DtZTz"" calls 1.00",2023-06-05T22:11:08.478Z,168600306847800
"The admin ""Shlapp @ ZWO9_p1DU9"" canceled the game stop on next hand.",2023-06-05T22:11:08.415Z,168600306841500
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-05T22:11:07.164Z,168600306716400
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the game stop on next hand.",2023-06-05T22:11:03.603Z,168600306360300
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-06-05T22:11:01.716Z,168600306171606
"""Mr Action @ rn7K1DtZTz"" posts a small blind of 0.50",2023-06-05T22:11:01.716Z,168600306171605
"Player stacks: #1 ""Jackson @ yXr_bmZ3u2"" (137.90) | #6 ""Mr Action @ rn7K1DtZTz"" (22.08) | #10 ""Shlapp @ ZWO9_p1DU9"" (223.70)",2023-06-05T22:11:01.716Z,168600306171601
"-- starting hand #137 (id: jwx0mewjma5o)  (No Limit Texas Hold'em) (dealer: ""Jackson @ yXr_bmZ3u2"") --",2023-06-05T22:11:01.716Z,168600306171600
"-- ending hand #136 --",2023-06-05T22:10:58.805Z,168600305880502
"""Jackson @ yXr_bmZ3u2"" collected 2.00 from pot",2023-06-05T22:10:58.805Z,168600305880501
"Uncalled bet of 22.00 returned to ""Jackson @ yXr_bmZ3u2""",2023-06-05T22:10:58.805Z,168600305880500
"""Mr Action @ rn7K1DtZTz"" folds",2023-06-05T22:10:57.947Z,168600305794700
"""Jackson @ yXr_bmZ3u2"" raises to 23.00",2023-06-05T22:10:56.539Z,168600305653900
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-05T22:10:45.244Z,168600304524400
"""Mr Action @ rn7K1DtZTz"" posts a big blind of 1.00",2023-06-05T22:10:42.187Z,168600304218707
"""Jackson @ yXr_bmZ3u2"" posts a small blind of 0.50",2023-06-05T22:10:42.187Z,168600304218706
