entry,at,order
"The player ""Ty @ 8ugHyNN1iO"" quits the game with a stack of 309.91.",2023-06-16T00:03:37.919Z,168687381791900
"""Marv69 @ y_GDUYNaSE"" shows a 2♦, 2♠.",2023-06-16T00:03:34.252Z,168687381425200
"""Brett’s ohone @ NNUvRxevUK"" shows a 8♥, 3♦.",2023-06-16T00:03:32.171Z,168687381217100
"-- ending hand #272 --",2023-06-16T00:03:30.610Z,168687381061002
"""Marv69 @ y_GDUYNaSE"" collected 2.00 from pot",2023-06-16T00:03:30.610Z,168687381061001
"Uncalled bet of 2.00 returned to ""Marv69 @ y_GDUYNaSE""",2023-06-16T00:03:30.610Z,168687381061000
"""Brett’s ohone @ NNUvRxevUK"" folds",2023-06-16T00:03:29.799Z,168687380979900
"The admin ""Marv69 @ y_GDUYNaSE"" enqueued the game stop on next hand.",2023-06-16T00:03:29.496Z,168687380949600
"""Marv69 @ y_GDUYNaSE"" raises to 3.00",2023-06-16T00:03:27.622Z,168687380762200
"""Brett’s ohone @ NNUvRxevUK"" posts a big blind of 1.00",2023-06-16T00:03:25.612Z,168687380561206
"""Marv69 @ y_GDUYNaSE"" posts a small blind of 0.50",2023-06-16T00:03:25.612Z,168687380561205
"Player stacks: #2 ""Marv69 @ y_GDUYNaSE"" (280.93) | #7 ""Brett’s ohone @ NNUvRxevUK"" (155.98)",2023-06-16T00:03:25.612Z,168687380561202
"-- starting hand #272 (id: szwhh81sjntz)  (No Limit Texas Hold'em) (dealer: ""Marv69 @ y_GDUYNaSE"") --",2023-06-16T00:03:25.612Z,168687380561201
"The player ""Ty @ 8ugHyNN1iO"" stand up with the stack of 309.91.",2023-06-16T00:03:25.612Z,168687380561200
"""Brett’s ohone @ NNUvRxevUK"" shows a 9♠, 9♣.",2023-06-16T00:03:22.601Z,168687380260100
"-- ending hand #271 --",2023-06-16T00:03:19.006Z,168687379900602
"""Brett’s ohone @ NNUvRxevUK"" collected 6.00 from pot",2023-06-16T00:03:19.006Z,168687379900601
"Uncalled bet of 6.50 returned to ""Brett’s ohone @ NNUvRxevUK""",2023-06-16T00:03:19.006Z,168687379900600
"""Marv69 @ y_GDUYNaSE"" folds",2023-06-16T00:03:18.151Z,168687379815100
