entry,at,order
"The player ""JV @ zRoBi8HvOM"" stand up with the stack of 722.63.",2023-06-17T01:08:04.860Z,168696408486001
"The player ""The Top G @ dyr2KdooJk"" stand up with the stack of 196.74.",2023-06-17T01:08:04.860Z,168696408486000
"-- ending hand #537 --",2023-06-17T01:07:58.836Z,168696407883603
"""The Top G @ dyr2KdooJk"" shows a 7♥, 4♦.",2023-06-17T01:07:58.836Z,168696407883602
"""JV @ zRoBi8HvOM"" collected 20.00 from pot with Pair, J's (combination: J♦, J♥, K♠, Q♥, 10♠)",2023-06-17T01:07:58.836Z,168696407883601
"""JV @ zRoBi8HvOM"" shows a 6♣, J♦.",2023-06-17T01:07:58.836Z,168696407883600
"""The Top G @ dyr2KdooJk"" checks",2023-06-17T01:07:57.994Z,168696407799400
"""JV @ zRoBi8HvOM"" checks",2023-06-17T01:07:57.090Z,168696407709000
"River: K♠, J♥, Q♥, 10♠ [3♥]",2023-06-17T01:07:56.436Z,168696407643600
"""The Top G @ dyr2KdooJk"" checks",2023-06-17T01:07:55.589Z,168696407558900
"""JV @ zRoBi8HvOM"" checks",2023-06-17T01:07:54.643Z,168696407464300
"Turn: K♠, J♥, Q♥ [10♠]",2023-06-17T01:07:53.635Z,168696407363500
"""The Top G @ dyr2KdooJk"" checks",2023-06-17T01:07:52.792Z,168696407279200
"""JV @ zRoBi8HvOM"" checks",2023-06-17T01:07:51.860Z,168696407186000
"Flop:  [K♠, J♥, Q♥]",2023-06-17T01:07:51.319Z,168696407131900
"""JV @ zRoBi8HvOM"" calls 10.00",2023-06-17T01:07:50.490Z,168696407049000
"""The Top G @ dyr2KdooJk"" raises to 10.00",2023-06-17T01:07:49.258Z,168696406925800
"""JV @ zRoBi8HvOM"" posts a big blind of 1.00",2023-06-17T01:07:45.119Z,168696406511905
"""The Top G @ dyr2KdooJk"" posts a small blind of 0.50",2023-06-17T01:07:45.119Z,168696406511904
"Player stacks: #6 ""JV @ zRoBi8HvOM"" (712.63) | #7 ""The Top G @ dyr2KdooJk"" (206.74)",2023-06-17T01:07:45.119Z,168696406511901
"-- starting hand #537 (id: c3y3dvaasqmp)  (No Limit Texas Hold'em) (dealer: ""The Top G @ dyr2KdooJk"") --",2023-06-17T01:07:45.119Z,168696406511900
"-- ending hand #536 --",2023-06-17T01:07:39.113Z,168696405911302
"""JV @ zRoBi8HvOM"" collected 250.00 from pot with Straight, 8 High (combination: 8♥, 7♣, 6♥, 5♠, 4♥)",2023-06-17T01:07:39.113Z,168696405911301
"""JV @ zRoBi8HvOM"" shows a 5♠, 6♥.",2023-06-17T01:07:39.113Z,168696405911300
"""The Top G @ dyr2KdooJk"" calls 100.00",2023-06-17T01:07:38.227Z,168696405822700
"""JV @ zRoBi8HvOM"" raises to 100.00",2023-06-17T01:06:45.989Z,168696400598900
"""The Top G @ dyr2KdooJk"" bets 25.00",2023-06-17T01:06:37.591Z,168696399759100
"River: 7♣, 8♥, 4♥, A♠ [3♣]",2023-06-17T01:06:32.186Z,168696399218600
"""JV @ zRoBi8HvOM"" calls 15.00",2023-06-17T01:06:31.377Z,168696399137700
"""The Top G @ dyr2KdooJk"" bets 15.00",2023-06-17T01:06:27.910Z,168696398791000
"Turn: 7♣, 8♥, 4♥ [A♠]",2023-06-17T01:06:22.565Z,168696398256500
