entry,at,order
"The player ""Kalp @ IjZYxWfJf8"" stand up with the stack of 1247.75.",2023-06-02T09:06:34.973Z,168569679497300
"-- ending hand #429 --",2023-06-02T09:06:32.036Z,168569679203602
"""Kalp @ IjZYxWfJf8"" collected 4.00 from pot",2023-06-02T09:06:32.036Z,168569679203601
"Uncalled bet of 4.00 returned to ""Kalp @ IjZYxWfJf8""",2023-06-02T09:06:32.036Z,168569679203600
"""Seneca Compute @ 3K1udw0KZ8"" folds",2023-06-02T09:06:31.194Z,168569679119400
"""Kalp @ IjZYxWfJf8"" raises to 6.00",2023-06-02T09:06:28.536Z,168569678853600
"""Seneca Compute @ 3K1udw0KZ8"" posts a big blind of 2.00",2023-06-02T09:06:25.296Z,168569678529605
"""Kalp @ IjZYxWfJf8"" posts a small blind of 1.00",2023-06-02T09:06:25.296Z,168569678529604
"Player stacks: #5 ""Kalp @ IjZYxWfJf8"" (1245.75) | #8 ""Seneca Compute @ 3K1udw0KZ8"" (451.14)",2023-06-02T09:06:25.296Z,168569678529601
"-- starting hand #429 (id: naxjztxbuzwh)  (No Limit Texas Hold'em) (dealer: ""Kalp @ IjZYxWfJf8"") --",2023-06-02T09:06:25.296Z,168569678529600
"-- ending hand #428 --",2023-06-02T09:06:19.361Z,168569677936102
"""Seneca Compute @ 3K1udw0KZ8"" collected 24.00 from pot",2023-06-02T09:06:19.361Z,168569677936101
"Uncalled bet of 20.00 returned to ""Seneca Compute @ 3K1udw0KZ8""",2023-06-02T09:06:19.361Z,168569677936100
"""Kalp @ IjZYxWfJf8"" folds",2023-06-02T09:06:18.523Z,168569677852300
"""Seneca Compute @ 3K1udw0KZ8"" bets 20.00",2023-06-02T09:06:15.281Z,168569677528100
"""Kalp @ IjZYxWfJf8"" checks",2023-06-02T09:06:05.027Z,168569676502700
"Turn: 4♣, Q♦, 5♣ [3♦]",2023-06-02T09:06:02.936Z,168569676293600
"""Kalp @ IjZYxWfJf8"" calls 6.00",2023-06-02T09:06:02.065Z,168569676206500
"""Seneca Compute @ 3K1udw0KZ8"" bets 6.00",2023-06-02T09:05:57.635Z,168569675763500
"""Kalp @ IjZYxWfJf8"" checks",2023-06-02T09:05:54.212Z,168569675421200
"Flop:  [4♣, Q♦, 5♣]",2023-06-02T09:05:51.921Z,168569675192100
"""Kalp @ IjZYxWfJf8"" calls 6.00",2023-06-02T09:05:51.095Z,168569675109500
"""Seneca Compute @ 3K1udw0KZ8"" raises to 6.00",2023-06-02T09:05:49.128Z,168569674912800
"""Kalp @ IjZYxWfJf8"" posts a big blind of 2.00",2023-06-02T09:05:46.228Z,168569674622805
"""Seneca Compute @ 3K1udw0KZ8"" posts a small blind of 1.00",2023-06-02T09:05:46.228Z,168569674622804
"Player stacks: #5 ""Kalp @ IjZYxWfJf8"" (1257.75) | #8 ""Seneca Compute @ 3K1udw0KZ8"" (439.14)",2023-06-02T09:05:46.228Z,168569674622801
"-- starting hand #428 (id: s9jnec3zfzte)  (No Limit Texas Hold'em) (dealer: ""Seneca Compute @ 3K1udw0KZ8"") --",2023-06-02T09:05:46.228Z,168569674622800
"-- ending hand #427 --",2023-06-02T09:05:40.311Z,168569674031102
"""Seneca Compute @ 3K1udw0KZ8"" collected 4.00 from pot",2023-06-02T09:05:40.311Z,168569674031101
"Uncalled bet of 10.00 returned to ""Seneca Compute @ 3K1udw0KZ8""",2023-06-02T09:05:40.311Z,168569674031100
"""Kalp @ IjZYxWfJf8"" folds",2023-06-02T09:05:39.480Z,168569673948000
"""Seneca Compute @ 3K1udw0KZ8"" bets 10.00",2023-06-02T09:05:36.073Z,168569673607300
"Turn: 6♦, A♠, J♠ [3♥]",2023-06-02T09:05:30.812Z,168569673081200
"""Kalp @ IjZYxWfJf8"" checks",2023-06-02T09:05:29.956Z,168569672995600
"""Seneca Compute @ 3K1udw0KZ8"" checks",2023-06-02T09:05:28.509Z,168569672850900
