entry,at,order
"The player ""BP @ _zk24nnVPb"" stand up with the stack of 232.30.",2023-05-29T09:53:55.970Z,168535403597000
"""Sushi @ 3f91MMrAMb"" shows a 3♦, A♦.",2023-05-29T09:53:53.437Z,168535403343700
"""BP @ _zk24nnVPb"" shows a 9♣, 4♥.",2023-05-29T09:53:52.187Z,168535403218700
"-- ending hand #444 --",2023-05-29T09:53:48.655Z,168535402865502
"""Sushi @ 3f91MMrAMb"" collected 6.50 from pot",2023-05-29T09:53:48.655Z,168535402865501
"Uncalled bet of 6.50 returned to ""Sushi @ 3f91MMrAMb""",2023-05-29T09:53:48.655Z,168535402865500
"""BP @ _zk24nnVPb"" folds",2023-05-29T09:53:47.819Z,168535402781900
"""Sushi @ 3f91MMrAMb"" raises to 9.50",2023-05-29T09:53:46.245Z,168535402624500
"""BP @ _zk24nnVPb"" posts a big blind of 3.00",2023-05-29T09:53:44.566Z,168535402456607
"""Sushi @ 3f91MMrAMb"" posts a small blind of 1.00",2023-05-29T09:53:44.566Z,168535402456606
"""Sushi @ 3f91MMrAMb"" posts an ante of 0.25",2023-05-29T09:53:44.566Z,168535402456605
"""BP @ _zk24nnVPb"" posts an ante of 0.25",2023-05-29T09:53:44.566Z,168535402456604
"Player stacks: #4 ""BP @ _zk24nnVPb"" (235.55) | #5 ""Sushi @ 3f91MMrAMb"" (212.76)",2023-05-29T09:53:44.566Z,168535402456601
"-- starting hand #444 (id: rzunbbjrcvad)  (No Limit Texas Hold'em) (dealer: ""Sushi @ 3f91MMrAMb"") --",2023-05-29T09:53:44.566Z,168535402456600
"-- ending hand #443 --",2023-05-29T09:53:41.558Z,168535402155802
"""Sushi @ 3f91MMrAMb"" collected 19.50 from pot",2023-05-29T09:53:41.558Z,168535402155801
"Uncalled bet of 19.50 returned to ""Sushi @ 3f91MMrAMb""",2023-05-29T09:53:41.558Z,168535402155800
"""BP @ _zk24nnVPb"" folds",2023-05-29T09:53:40.750Z,168535402075000
"""Sushi @ 3f91MMrAMb"" bets 19.50",2023-05-29T09:53:39.575Z,168535401957500
"River: 6♥, 2♦, 8♥, J♥ [3♠]",2023-05-29T09:53:36.956Z,168535401695600
"""BP @ _zk24nnVPb"" checks",2023-05-29T09:53:36.077Z,168535401607700
"""Sushi @ 3f91MMrAMb"" checks",2023-05-29T09:53:35.084Z,168535401508400
"Turn: 6♥, 2♦, 8♥ [J♥]",2023-05-29T09:53:33.436Z,168535401343600
"""BP @ _zk24nnVPb"" checks",2023-05-29T09:53:32.625Z,168535401262500
"""Sushi @ 3f91MMrAMb"" checks",2023-05-29T09:53:31.607Z,168535401160700
"Flop:  [6♥, 2♦, 8♥]",2023-05-29T09:53:29.148Z,168535400914800
"""BP @ _zk24nnVPb"" calls 9.50",2023-05-29T09:53:28.293Z,168535400829300
"""Sushi @ 3f91MMrAMb"" raises to 9.50",2023-05-29T09:53:27.217Z,168535400721700
"""BP @ _zk24nnVPb"" calls 3.00",2023-05-29T09:53:25.325Z,168535400532500
"""Sushi @ 3f91MMrAMb"" posts a big blind of 3.00",2023-05-29T09:53:23.941Z,168535400394107
"""BP @ _zk24nnVPb"" posts a small blind of 1.00",2023-05-29T09:53:23.941Z,168535400394106
"""Sushi @ 3f91MMrAMb"" posts an ante of 0.25",2023-05-29T09:53:23.941Z,168535400394105
"""BP @ _zk24nnVPb"" posts an ante of 0.25",2023-05-29T09:53:23.941Z,168535400394104
"Player stacks: #4 ""BP @ _zk24nnVPb"" (245.30) | #5 ""Sushi @ 3f91MMrAMb"" (203.01)",2023-05-29T09:53:23.941Z,168535400394101
"-- starting hand #443 (id: f8x6qgrsyc8g)  (No Limit Texas Hold'em) (dealer: ""BP @ _zk24nnVPb"") --",2023-05-29T09:53:23.941Z,168535400394100
"-- ending hand #442 --",2023-05-29T09:53:17.936Z,168535399793602
"""BP @ _zk24nnVPb"" collected 2.50 from pot",2023-05-29T09:53:17.936Z,168535399793601
"Uncalled bet of 2.00 returned to ""BP @ _zk24nnVPb""",2023-05-29T09:53:17.936Z,168535399793600
"""Sushi @ 3f91MMrAMb"" folds",2023-05-29T09:53:17.101Z,168535399710100
"""BP @ _zk24nnVPb"" posts a big blind of 3.00",2023-05-29T09:53:15.933Z,168535399593307
"""Sushi @ 3f91MMrAMb"" posts a small blind of 1.00",2023-05-29T09:53:15.933Z,168535399593306
"""Sushi @ 3f91MMrAMb"" posts an ante of 0.25",2023-05-29T09:53:15.933Z,168535399593305
"""BP @ _zk24nnVPb"" posts an ante of 0.25",2023-05-29T09:53:15.933Z,168535399593304
"Player stacks: #4 ""BP @ _zk24nnVPb"" (244.05) | #5 ""Sushi @ 3f91MMrAMb"" (204.26)",2023-05-29T09:53:15.933Z,168535399593301
"-- starting hand #442 (id: f9sx1wyzhmyv)  (No Limit Texas Hold'em) (dealer: ""Sushi @ 3f91MMrAMb"") --",2023-05-29T09:53:15.933Z,168535399593300
"-- ending hand #441 --",2023-05-29T09:53:10.019Z,168535399001902
"""Sushi @ 3f91MMrAMb"" collected 2.50 from pot",2023-05-29T09:53:10.019Z,168535399001901
"Uncalled bet of 2.00 returned to ""Sushi @ 3f91MMrAMb""",2023-05-29T09:53:10.019Z,168535399001900
"""BP @ _zk24nnVPb"" folds",2023-05-29T09:53:09.204Z,168535398920400
"""Sushi @ 3f91MMrAMb"" posts a big blind of 3.00",2023-05-29T09:53:07.321Z,168535398732107
"""BP @ _zk24nnVPb"" posts a small blind of 1.00",2023-05-29T09:53:07.321Z,168535398732106
"""Sushi @ 3f91MMrAMb"" posts an ante of 0.25",2023-05-29T09:53:07.321Z,168535398732105
"""BP @ _zk24nnVPb"" posts an ante of 0.25",2023-05-29T09:53:07.321Z,168535398732104
"Player stacks: #4 ""BP @ _zk24nnVPb"" (245.30) | #5 ""Sushi @ 3f91MMrAMb"" (203.01)",2023-05-29T09:53:07.321Z,168535398732101
"-- starting hand #441 (id: qanqjty4vati)  (No Limit Texas Hold'em) (dealer: ""BP @ _zk24nnVPb"") --",2023-05-29T09:53:07.321Z,168535398732100
"-- ending hand #440 --",2023-05-29T09:53:01.320Z,168535398132002
"""Sushi @ 3f91MMrAMb"" collected 6.50 from pot",2023-05-29T09:53:01.320Z,168535398132001
"Uncalled bet of 6.50 returned to ""Sushi @ 3f91MMrAMb""",2023-05-29T09:53:01.320Z,168535398132000
"""BP @ _zk24nnVPb"" folds",2023-05-29T09:53:00.498Z,168535398049800
