entry,at,order
"The player ""Head of Trust @ dyr2KdooJk"" stand up with the stack of 310.90.",2023-05-27T00:41:21.019Z,168514808101901
"The player ""Marv @ -hvfveDaC2"" stand up with the stack of 674.71.",2023-05-27T00:41:21.019Z,168514808101900
"-- ending hand #298 --",2023-05-27T00:41:18.111Z,168514807811102
"""Head of Trust @ dyr2KdooJk"" collected 6.00 from pot",2023-05-27T00:41:18.111Z,168514807811101
"Uncalled bet of 3.00 returned to ""Head of Trust @ dyr2KdooJk""",2023-05-27T00:41:18.111Z,168514807811100
"""Marv @ -hvfveDaC2"" folds",2023-05-27T00:41:17.302Z,168514807730200
"""Head of Trust @ dyr2KdooJk"" bets 3.00",2023-05-27T00:41:16.313Z,168514807631300
"River: 6♥, 2♦, 2♥, 3♠ [Q♠]",2023-05-27T00:41:12.902Z,168514807290200
"""Marv @ -hvfveDaC2"" checks",2023-05-27T00:41:12.090Z,168514807209000
"""Head of Trust @ dyr2KdooJk"" checks",2023-05-27T00:41:10.699Z,168514807069900
"Turn: 6♥, 2♦, 2♥ [3♠]",2023-05-27T00:41:10.296Z,168514807029600
"""Marv @ -hvfveDaC2"" checks",2023-05-27T00:41:09.465Z,168514806946500
"""Head of Trust @ dyr2KdooJk"" checks",2023-05-27T00:41:07.116Z,168514806711600
"Flop:  [6♥, 2♦, 2♥]",2023-05-27T00:41:06.097Z,168514806609700
"""Head of Trust @ dyr2KdooJk"" calls 3.00",2023-05-27T00:41:05.282Z,168514806528200
"""Marv @ -hvfveDaC2"" raises to 3.00",2023-05-27T00:41:04.319Z,168514806431900
"""Head of Trust @ dyr2KdooJk"" posts a big blind of 1.00",2023-05-27T00:41:01.390Z,168514806139005
"""Marv @ -hvfveDaC2"" posts a small blind of 0.50",2023-05-27T00:41:01.390Z,168514806139004
"Player stacks: #2 ""Marv @ -hvfveDaC2"" (677.71) | #5 ""Head of Trust @ dyr2KdooJk"" (307.90)",2023-05-27T00:41:01.390Z,168514806139001
"-- starting hand #298 (id: andmwwbj6wj8)  (No Limit Texas Hold'em) (dealer: ""Marv @ -hvfveDaC2"") --",2023-05-27T00:41:01.390Z,168514806139000
"-- ending hand #297 --",2023-05-27T00:40:55.383Z,168514805538302
"""Head of Trust @ dyr2KdooJk"" collected 8.00 from pot",2023-05-27T00:40:55.383Z,168514805538301
"Uncalled bet of 4.00 returned to ""Head of Trust @ dyr2KdooJk""",2023-05-27T00:40:55.383Z,168514805538300
"""Marv @ -hvfveDaC2"" folds",2023-05-27T00:40:54.516Z,168514805451600
"""Head of Trust @ dyr2KdooJk"" bets 4.00",2023-05-27T00:40:52.684Z,168514805268400
"""Marv @ -hvfveDaC2"" checks",2023-05-27T00:40:50.329Z,168514805032900
"Flop:  [8♦, 6♦, 6♥]",2023-05-27T00:40:48.378Z,168514804837800
"""Marv @ -hvfveDaC2"" calls 4.00",2023-05-27T00:40:47.553Z,168514804755300
"""Head of Trust @ dyr2KdooJk"" raises to 4.00",2023-05-27T00:40:45.744Z,168514804574400
"""Marv @ -hvfveDaC2"" posts a big blind of 1.00",2023-05-27T00:40:43.574Z,168514804357405
"""Head of Trust @ dyr2KdooJk"" posts a small blind of 0.50",2023-05-27T00:40:43.574Z,168514804357404
"Player stacks: #2 ""Marv @ -hvfveDaC2"" (681.71) | #5 ""Head of Trust @ dyr2KdooJk"" (303.90)",2023-05-27T00:40:43.574Z,168514804357401
"-- starting hand #297 (id: v3bdj3xlljti)  (No Limit Texas Hold'em) (dealer: ""Head of Trust @ dyr2KdooJk"") --",2023-05-27T00:40:43.574Z,168514804357400
"-- ending hand #296 --",2023-05-27T00:40:37.659Z,168514803765902
"""Head of Trust @ dyr2KdooJk"" collected 1.00 from pot",2023-05-27T00:40:37.659Z,168514803765901
"Uncalled bet of 0.50 returned to ""Head of Trust @ dyr2KdooJk""",2023-05-27T00:40:37.659Z,168514803765900
"""Marv @ -hvfveDaC2"" folds",2023-05-27T00:40:36.829Z,168514803682900
"""Head of Trust @ dyr2KdooJk"" posts a big blind of 1.00",2023-05-27T00:40:34.752Z,168514803475205
"""Marv @ -hvfveDaC2"" posts a small blind of 0.50",2023-05-27T00:40:34.752Z,168514803475204
"Player stacks: #2 ""Marv @ -hvfveDaC2"" (682.21) | #5 ""Head of Trust @ dyr2KdooJk"" (303.40)",2023-05-27T00:40:34.752Z,168514803475201
"-- starting hand #296 (id: ywuhqg5vwnp2)  (No Limit Texas Hold'em) (dealer: ""Marv @ -hvfveDaC2"") --",2023-05-27T00:40:34.752Z,168514803475200
"-- ending hand #295 --",2023-05-27T00:40:28.744Z,168514802874402
"""Marv @ -hvfveDaC2"" collected 20.00 from pot with Two Pair, 10's & 4's (combination: 10♦, 10♠, 4♠, 4♣, Q♠)",2023-05-27T00:40:28.744Z,168514802874401
"""Marv @ -hvfveDaC2"" shows a 10♦, Q♠.",2023-05-27T00:40:28.744Z,168514802874400
"""Head of Trust @ dyr2KdooJk"" calls 5.00",2023-05-27T00:40:27.888Z,168514802788800
"""Marv @ -hvfveDaC2"" bets 5.00",2023-05-27T00:40:25.626Z,168514802562600
"River: 6♣, 4♠, 10♠, 4♣ [7♣]",2023-05-27T00:40:23.044Z,168514802304400
"""Head of Trust @ dyr2KdooJk"" checks",2023-05-27T00:40:22.228Z,168514802222800
"""Marv @ -hvfveDaC2"" checks",2023-05-27T00:40:20.624Z,168514802062400
"Turn: 6♣, 4♠, 10♠ [4♣]",2023-05-27T00:40:16.643Z,168514801664300
"""Marv @ -hvfveDaC2"" calls 2.50",2023-05-27T00:40:15.811Z,168514801581100
"""Head of Trust @ dyr2KdooJk"" bets 2.50",2023-05-27T00:40:13.336Z,168514801333600
"""Marv @ -hvfveDaC2"" checks",2023-05-27T00:40:11.179Z,168514801117900
"Flop:  [6♣, 4♠, 10♠]",2023-05-27T00:40:09.201Z,168514800920100
"""Marv @ -hvfveDaC2"" calls 2.50",2023-05-27T00:40:08.376Z,168514800837600
"""Head of Trust @ dyr2KdooJk"" raises to 2.50",2023-05-27T00:40:06.824Z,168514800682400
"""Marv @ -hvfveDaC2"" posts a big blind of 1.00",2023-05-27T00:39:58.313Z,168514799831305
