entry,at,order
"The player ""PLJOE @ _t70J__qQ8"" passed the room ownership to ""mp @ -DkySTil6a"".",2023-05-22T04:24:36.207Z,168472947620700
"The player ""Kitsos @ 4DT3vFeWj1"" stand up with the stack of 461.37.",2023-05-22T04:15:31.925Z,168472893192500
"-- ending hand #154 --",2023-05-22T04:12:56.736Z,168472877673602
"""Hayden @ 2LakBwr16r"" collected 18.00 from pot",2023-05-22T04:12:56.736Z,168472877673601
"Uncalled bet of 18.00 returned to ""Hayden @ 2LakBwr16r""",2023-05-22T04:12:56.736Z,168472877673600
"""Pi @ Q_7p9RYvho"" folds",2023-05-22T04:12:55.840Z,168472877584000
"""Hayden @ 2LakBwr16r"" bets 18.00",2023-05-22T04:12:30.277Z,168472875027700
"River: 5♠, Q♠, 6♠, 9♣ [8♣]",2023-05-22T04:12:25.345Z,168472874534500
"""Pi @ Q_7p9RYvho"" calls 6.00",2023-05-22T04:12:24.530Z,168472874453000
"""Hayden @ 2LakBwr16r"" bets 6.00",2023-05-22T04:12:22.726Z,168472874272600
"The admin ""PLJOE @ _t70J__qQ8"" enqueued the game stop on next hand.",2023-05-22T04:12:22.649Z,168472874264900
"Turn: 5♠, Q♠, 6♠ [9♣]",2023-05-22T04:12:19.191Z,168472873919100
"""Pi @ Q_7p9RYvho"" calls 1.50",2023-05-22T04:12:18.372Z,168472873837200
"""MJKplo @ 8xuYQoCB-e"" folds",2023-05-22T04:12:17.440Z,168472873744000
"""Hayden @ 2LakBwr16r"" bets 1.50",2023-05-22T04:12:16.401Z,168472873640100
"Flop:  [5♠, Q♠, 6♠]",2023-05-22T04:12:12.695Z,168472873269500
"""MJKplo @ 8xuYQoCB-e"" checks",2023-05-22T04:12:11.873Z,168472873187300
"""Hayden @ 2LakBwr16r"" calls 1.00",2023-05-22T04:12:10.871Z,168472873087100
"""Kitsos @ 4DT3vFeWj1"" folds",2023-05-22T04:12:08.469Z,168472872846900
"""Pi @ Q_7p9RYvho"" calls 1.00",2023-05-22T04:12:07.535Z,168472872753500
"""Farnan @ 6GVYVlWnT4"" folds",2023-05-22T04:12:03.578Z,168472872357800
