entry,at,order
"The player ""Sushi @ 3f91MMrAMb"" stand up with the stack of 210.12.",2023-05-24T08:38:14.605Z,168491749460500
"-- ending hand #279 --",2023-05-24T08:38:08.701Z,168491748870102
"""T1 @ _ZMbVR0_2e"" collected 1.00 from pot",2023-05-24T08:38:08.701Z,168491748870101
"Uncalled bet of 0.50 returned to ""T1 @ _ZMbVR0_2e""",2023-05-24T08:38:08.701Z,168491748870100
"""Sushi @ 3f91MMrAMb"" folds",2023-05-24T08:38:07.810Z,168491748781000
"""T1 @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-24T08:38:06.699Z,168491748669905
"""Sushi @ 3f91MMrAMb"" posts a small blind of 0.50",2023-05-24T08:38:06.699Z,168491748669904
"Player stacks: #3 ""Sushi @ 3f91MMrAMb"" (210.62) | #7 ""T1 @ _ZMbVR0_2e"" (345.17)",2023-05-24T08:38:06.699Z,168491748669901
"-- starting hand #279 (id: dyjlmlxztpya)  (No Limit Texas Hold'em) (dealer: ""Sushi @ 3f91MMrAMb"") --",2023-05-24T08:38:06.699Z,168491748669900
"-- ending hand #278 --",2023-05-24T08:38:00.651Z,168491748065102
"""T1 @ _ZMbVR0_2e"" collected 26.00 from pot with Pair, J's (combination: J♥, J♣, K♠, 10♥, 7♣)",2023-05-24T08:38:00.651Z,168491748065101
"""T1 @ _ZMbVR0_2e"" shows a 10♥, J♥.",2023-05-24T08:38:00.651Z,168491748065100
"""Sushi @ 3f91MMrAMb"" calls 3.00",2023-05-24T08:37:59.787Z,168491747978700
"""T1 @ _ZMbVR0_2e"" bets 3.00",2023-05-24T08:37:58.694Z,168491747869400
"""Sushi @ 3f91MMrAMb"" checks",2023-05-24T08:37:56.057Z,168491747605700
"River: J♣, 2♦, K♠, 7♣ [4♦]",2023-05-24T08:37:54.649Z,168491747464900
"""Sushi @ 3f91MMrAMb"" calls 5.00",2023-05-24T08:37:53.737Z,168491747373700
"""T1 @ _ZMbVR0_2e"" bets 5.00",2023-05-24T08:37:52.311Z,168491747231100
"""Sushi @ 3f91MMrAMb"" checks",2023-05-24T08:37:49.497Z,168491746949700
"Turn: J♣, 2♦, K♠ [7♣]",2023-05-24T08:37:48.049Z,168491746804900
"""T1 @ _ZMbVR0_2e"" checks",2023-05-24T08:37:47.192Z,168491746719200
"""Sushi @ 3f91MMrAMb"" checks",2023-05-24T08:37:46.040Z,168491746604000
"Flop:  [J♣, 2♦, K♠]",2023-05-24T08:37:44.870Z,168491746487000
"""Sushi @ 3f91MMrAMb"" calls 5.00",2023-05-24T08:37:44.052Z,168491746405200
"""T1 @ _ZMbVR0_2e"" raises to 5.00",2023-05-24T08:37:42.775Z,168491746277500
"""Sushi @ 3f91MMrAMb"" posts a big blind of 1.00",2023-05-24T08:37:40.033Z,168491746003305
"""T1 @ _ZMbVR0_2e"" posts a small blind of 0.50",2023-05-24T08:37:40.033Z,168491746003304
"Player stacks: #3 ""Sushi @ 3f91MMrAMb"" (223.62) | #7 ""T1 @ _ZMbVR0_2e"" (332.17)",2023-05-24T08:37:40.033Z,168491746003301
"-- starting hand #278 (id: yl3vrtyznb7c)  (No Limit Texas Hold'em) (dealer: ""T1 @ _ZMbVR0_2e"") --",2023-05-24T08:37:40.033Z,168491746003300
"-- ending hand #277 --",2023-05-24T08:37:34.025Z,168491745402502
"""T1 @ _ZMbVR0_2e"" collected 1.00 from pot",2023-05-24T08:37:34.025Z,168491745402501
"Uncalled bet of 0.50 returned to ""T1 @ _ZMbVR0_2e""",2023-05-24T08:37:34.025Z,168491745402500
"""Sushi @ 3f91MMrAMb"" folds",2023-05-24T08:37:33.138Z,168491745313800
"""T1 @ _ZMbVR0_2e"" posts a big blind of 1.00",2023-05-24T08:37:32.026Z,168491745202605
"""Sushi @ 3f91MMrAMb"" posts a small blind of 0.50",2023-05-24T08:37:32.026Z,168491745202604
"Player stacks: #3 ""Sushi @ 3f91MMrAMb"" (224.12) | #7 ""T1 @ _ZMbVR0_2e"" (331.67)",2023-05-24T08:37:32.026Z,168491745202601
