entry,at,order
"The player ""Phil @ 0ZS9sFG6Da"" quits the game with a stack of 1085.",2023-06-07T07:51:40.122Z,168612430012200
"The player ""Kitsos @ 4DT3vFeWj1"" stand up with the stack of 1031.",2023-06-07T07:48:44.130Z,168612412413000
"-- ending hand #391 --",2023-06-07T07:48:38.130Z,168612411813002
"""BP @ _zk24nnVPb"" collected 2 from pot",2023-06-07T07:48:38.130Z,168612411813001
"Uncalled bet of 1 returned to ""BP @ _zk24nnVPb""",2023-06-07T07:48:38.130Z,168612411813000
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-07T07:48:37.300Z,168612411730000
"""BP @ _zk24nnVPb"" posts a big blind of 2",2023-06-07T07:48:34.327Z,168612411432706
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 1",2023-06-07T07:48:34.327Z,168612411432705
"Player stacks: #4 ""Kitsos @ 4DT3vFeWj1"" (1032) | #10 ""BP @ _zk24nnVPb"" (329)",2023-06-07T07:48:34.327Z,168612411432702
"-- starting hand #391 (id: dz5ne6xol0jm)  (No Limit Texas Hold'em) (dealer: ""Kitsos @ 4DT3vFeWj1"") --",2023-06-07T07:48:34.327Z,168612411432701
"The player ""Phil @ 0ZS9sFG6Da"" stand up with the stack of 1085.",2023-06-07T07:48:34.327Z,168612411432700
"-- ending hand #390 --",2023-06-07T07:48:28.321Z,168612410832102
"""Phil @ 0ZS9sFG6Da"" collected 2 from pot",2023-06-07T07:48:28.321Z,168612410832101
"Uncalled bet of 1 returned to ""Phil @ 0ZS9sFG6Da""",2023-06-07T07:48:28.321Z,168612410832100
"""Kitsos @ 4DT3vFeWj1"" folds",2023-06-07T07:48:27.430Z,168612410743000
"""BP @ _zk24nnVPb"" folds",2023-06-07T07:48:26.168Z,168612410616800
"""Phil @ 0ZS9sFG6Da"" posts a big blind of 2",2023-06-07T07:48:25.118Z,168612410511807
"""Kitsos @ 4DT3vFeWj1"" posts a small blind of 1",2023-06-07T07:48:25.118Z,168612410511806
"Player stacks: #4 ""Kitsos @ 4DT3vFeWj1"" (1033) | #9 ""Phil @ 0ZS9sFG6Da"" (1084) | #10 ""BP @ _zk24nnVPb"" (329)",2023-06-07T07:48:25.118Z,168612410511802
"-- starting hand #390 (id: kligxdym4qli)  (No Limit Texas Hold'em) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-07T07:48:25.118Z,168612410511801
"The player ""Hayden @ 2LakBwr16r"" stand up with the stack of 2377.",2023-06-07T07:48:25.118Z,168612410511800
"-- ending hand #389 --",2023-06-07T07:48:19.093Z,168612409909302
"""Kitsos @ 4DT3vFeWj1"" collected 2 from pot",2023-06-07T07:48:19.093Z,168612409909301
"Uncalled bet of 1 returned to ""Kitsos @ 4DT3vFeWj1""",2023-06-07T07:48:19.093Z,168612409909300
"""BP @ _zk24nnVPb"" folds",2023-06-07T07:48:18.250Z,168612409825000
"""Phil @ 0ZS9sFG6Da"" folds",2023-06-07T07:48:17.067Z,168612409706700
"""Hayden @ 2LakBwr16r"" folds",2023-06-07T07:48:15.840Z,168612409584000
"""Kitsos @ 4DT3vFeWj1"" posts a big blind of 2",2023-06-07T07:48:14.086Z,168612409408607
"""BP @ _zk24nnVPb"" posts a small blind of 1",2023-06-07T07:48:14.086Z,168612409408606
