entry,at,order
"The player ""JakeZ @ pxBPFTADd7"" stand up with the stack of 343.96.",2023-06-12T22:40:13.523Z,168660961352300
"The player ""mp @ 9fDzT11Vfc"" stand up with the stack of 148.99.",2023-06-12T22:35:00.781Z,168660930078100
"""Rich @ eLgUEg8AWv"" shows a 2♥, 3♦, A♣, J♠.",2023-06-12T22:34:57.306Z,168660929730600
"-- ending hand #132 --",2023-06-12T22:34:54.163Z,168660929416302
"""Rich @ eLgUEg8AWv"" collected 54.00 from pot",2023-06-12T22:34:54.163Z,168660929416301
"Uncalled bet of 28.00 returned to ""Rich @ eLgUEg8AWv""",2023-06-12T22:34:54.163Z,168660929416300
"""JakeZ @ pxBPFTADd7"" folds",2023-06-12T22:34:53.250Z,168660929325000
"""Rich @ eLgUEg8AWv"" bets 28.00",2023-06-12T22:34:47.964Z,168660928796400
"""JakeZ @ pxBPFTADd7"" checks",2023-06-12T22:34:44.053Z,168660928405300
"Turn: 6♣, Q♣, K♣ [7♦]",2023-06-12T22:34:42.141Z,168660928214100
"""JakeZ @ pxBPFTADd7"" calls 14.50",2023-06-12T22:34:41.253Z,168660928125300
"The admin ""Marv69 @ EeZXRmsr_R"" enqueued the game stop on next hand.",2023-06-12T22:34:34.032Z,168660927403200
"""Marv69 @ EeZXRmsr_R"" folds",2023-06-12T22:34:29.991Z,168660926999100
"""Brett @ VeVXdEFdHD"" folds",2023-06-12T22:34:27.312Z,168660926731200
"""mp @ 9fDzT11Vfc"" folds",2023-06-12T22:34:22.771Z,168660926277100
"""Rich @ eLgUEg8AWv"" bets 14.50",2023-06-12T22:34:20.942Z,168660926094200
"""JakeZ @ pxBPFTADd7"" checks",2023-06-12T22:34:17.130Z,168660925713000
"""Marv69 @ EeZXRmsr_R"" checks",2023-06-12T22:34:12.771Z,168660925277100
"""Brett @ VeVXdEFdHD"" checks",2023-06-12T22:34:06.786Z,168660924678600
"""mp @ 9fDzT11Vfc"" checks",2023-06-12T22:34:02.107Z,168660924210700
"Flop:  [6♣, Q♣, K♣]",2023-06-12T22:33:59.811Z,168660923981100
"""Marv69 @ EeZXRmsr_R"" calls 5.00",2023-06-12T22:33:58.943Z,168660923894300
"""Brett @ VeVXdEFdHD"" calls 5.00",2023-06-12T22:33:56.330Z,168660923633000
"""mp @ 9fDzT11Vfc"" calls 5.00",2023-06-12T22:33:53.601Z,168660923360100
"""Rich @ eLgUEg8AWv"" calls 5.00",2023-06-12T22:33:52.566Z,168660923256600
"""JakeZ @ pxBPFTADd7"" raises to 5.00",2023-06-12T22:33:50.701Z,168660923070100
"""Marv69 @ EeZXRmsr_R"" raises to 2.00",2023-06-12T22:33:43.464Z,168660922346400
"""Brett @ VeVXdEFdHD"" posts a big blind of 1.00",2023-06-12T22:33:38.711Z,168660921871115
"""mp @ 9fDzT11Vfc"" posts a small blind of 0.50",2023-06-12T22:33:38.711Z,168660921871114
"Player stacks: #1 ""Brett @ VeVXdEFdHD"" (406.25) | #3 ""Marv69 @ EeZXRmsr_R"" (183.48) | #4 ""JakeZ @ pxBPFTADd7"" (363.46) | #6 ""Rich @ eLgUEg8AWv"" (266.52) | #10 ""mp @ 9fDzT11Vfc"" (153.99)",2023-06-12T22:33:38.711Z,168660921871108
"The player ""mp @ 9fDzT11Vfc"" joined the game with a stack of 153.99.",2023-06-12T22:33:38.711Z,168660921871107
"The player ""Rich @ eLgUEg8AWv"" joined the game with a stack of 266.52.",2023-06-12T22:33:38.711Z,168660921871106
"The player ""shack @ 0S8ESSxOVh"" joined the game with a stack of 42.06.",2023-06-12T22:33:38.711Z,168660921871105
"The player ""JakeZ @ pxBPFTADd7"" joined the game with a stack of 363.46.",2023-06-12T22:33:38.711Z,168660921871104
"The player ""Marv69 @ EeZXRmsr_R"" joined the game with a stack of 183.48.",2023-06-12T22:33:38.711Z,168660921871103
"The player ""Thomas Shelby @ ydsUrHMPlY"" joined the game with a stack of 310.66.",2023-06-12T22:33:38.711Z,168660921871102
"The player ""Brett @ VeVXdEFdHD"" joined the game with a stack of 406.25.",2023-06-12T22:33:38.711Z,168660921871101
"-- starting hand #132 (id: vfz2jt5i1sgz)  (Pot Limit Omaha Hi) (dealer: ""Rich @ eLgUEg8AWv"") --",2023-06-12T22:33:38.711Z,168660921871100
"The player ""shack @ 0S8ESSxOVh"" stand up with the stack of 42.06.",2023-06-12T22:33:24.462Z,168660920446200
"The player ""Brax @ 8AfcU6gFVT"" quits the game with a stack of 653.36.",2023-06-12T22:32:52.589Z,168660917258900
"""mp @ 9fDzT11Vfc"" shows a K♣, 9♦.",2023-06-12T22:32:46.845Z,168660916684500
"-- ending hand #131 --",2023-06-12T22:32:46.009Z,168660916600901
