entry,at,order
"The player ""Phil @ GCtQMn_f2C"" quits the game with a stack of 372.",2023-06-13T07:16:23.167Z,168664058316700
"The player ""Phil @ GCtQMn_f2C"" stand up with the stack of 372.",2023-06-13T07:15:51.013Z,168664055101300
"-- ending hand #551 --",2023-06-13T07:15:44.995Z,168664054499503
"""Hayden @ 2LakBwr16r"" shows a 2♠, A♦.",2023-06-13T07:15:44.995Z,168664054499502
"""Phil @ GCtQMn_f2C"" collected 12 from pot with Pair, 6's (combination: 6♦, 6♥, A♣, Q♣, 9♣)",2023-06-13T07:15:44.995Z,168664054499501
"""Phil @ GCtQMn_f2C"" shows a A♣, 6♦.",2023-06-13T07:15:44.995Z,168664054499500
"""Hayden @ 2LakBwr16r"" checks",2023-06-13T07:15:44.155Z,168664054415500
"""Phil @ GCtQMn_f2C"" checks",2023-06-13T07:15:42.660Z,168664054266000
"River: 4♦, Q♣, 9♣, 8♦ [6♥]",2023-06-13T07:15:41.512Z,168664054151200
"""Hayden @ 2LakBwr16r"" checks",2023-06-13T07:15:40.659Z,168664054065900
"""Phil @ GCtQMn_f2C"" checks",2023-06-13T07:15:38.359Z,168664053835900
"Turn: 4♦, Q♣, 9♣ [8♦]",2023-06-13T07:15:35.185Z,168664053518500
"""Hayden @ 2LakBwr16r"" checks",2023-06-13T07:15:34.338Z,168664053433800
"""Phil @ GCtQMn_f2C"" checks",2023-06-13T07:15:21.812Z,168664052181200
"Flop:  [4♦, Q♣, 9♣]",2023-06-13T07:15:21.371Z,168664052137100
"""Phil @ GCtQMn_f2C"" calls 6",2023-06-13T07:15:20.551Z,168664052055100
"""Hayden @ 2LakBwr16r"" raises to 6",2023-06-13T07:15:18.831Z,168664051883100
"""Phil @ GCtQMn_f2C"" posts a big blind of 2",2023-06-13T07:15:15.281Z,168664051528105
"""Hayden @ 2LakBwr16r"" posts a small blind of 1",2023-06-13T07:15:15.281Z,168664051528104
"Player stacks: #8 ""Phil @ GCtQMn_f2C"" (366) | #9 ""Hayden @ 2LakBwr16r"" (638)",2023-06-13T07:15:15.281Z,168664051528101
"-- starting hand #551 (id: 0huvzdtf3w8e)  (No Limit Texas Hold'em) (dealer: ""Hayden @ 2LakBwr16r"") --",2023-06-13T07:15:15.281Z,168664051528100
"-- ending hand #550 --",2023-06-13T07:15:12.354Z,168664051235402
"""Hayden @ 2LakBwr16r"" collected 2 from pot",2023-06-13T07:15:12.354Z,168664051235401
"Uncalled bet of 1 returned to ""Hayden @ 2LakBwr16r""",2023-06-13T07:15:12.354Z,168664051235400
"""Phil @ GCtQMn_f2C"" folds",2023-06-13T07:15:11.549Z,168664051154900
"""Hayden @ 2LakBwr16r"" posts a big blind of 2",2023-06-13T07:15:10.165Z,168664051016505
"""Phil @ GCtQMn_f2C"" posts a small blind of 1",2023-06-13T07:15:10.165Z,168664051016504
"Player stacks: #8 ""Phil @ GCtQMn_f2C"" (367) | #9 ""Hayden @ 2LakBwr16r"" (637)",2023-06-13T07:15:10.165Z,168664051016501
"-- starting hand #550 (id: pljchoq1rahp)  (No Limit Texas Hold'em) (dealer: ""Phil @ GCtQMn_f2C"") --",2023-06-13T07:15:10.165Z,168664051016500
"""Phil @ GCtQMn_f2C"" shows a A♠, 2♠.",2023-06-13T07:15:08.033Z,168664050803300
"-- ending hand #549 --",2023-06-13T07:15:06.550Z,168664050655002
"""Phil @ GCtQMn_f2C"" collected 64 from pot",2023-06-13T07:15:06.550Z,168664050655001
"Uncalled bet of 50 returned to ""Phil @ GCtQMn_f2C""",2023-06-13T07:15:06.550Z,168664050655000
"""Hayden @ 2LakBwr16r"" folds",2023-06-13T07:15:05.680Z,168664050568000
"""Phil @ GCtQMn_f2C"" bets 50",2023-06-13T07:14:58.329Z,168664049832900
"River: J♠, 6♠, 4♠, 8♠ [5♣]",2023-06-13T07:14:54.027Z,168664049402700
"""Hayden @ 2LakBwr16r"" checks",2023-06-13T07:14:53.221Z,168664049322100
"""Phil @ GCtQMn_f2C"" checks",2023-06-13T07:14:50.932Z,168664049093200
"Turn: J♠, 6♠, 4♠ [8♠]",2023-06-13T07:14:46.220Z,168664048622000
"""Hayden @ 2LakBwr16r"" calls 14",2023-06-13T07:14:45.379Z,168664048537900
"""Phil @ GCtQMn_f2C"" bets 14",2023-06-13T07:14:41.814Z,168664048181400
"Flop:  [J♠, 6♠, 4♠]",2023-06-13T07:14:37.087Z,168664047708700
"""Hayden @ 2LakBwr16r"" calls 18",2023-06-13T07:14:36.250Z,168664047625000
