entry,at,order
"-- ending hand #301 --",2023-06-08T22:08:33.734Z,168626211373402
"""RJ @ yDF1COkEoC"" collected 30.00 from pot",2023-06-08T22:08:33.734Z,168626211373401
"Uncalled bet of 56.89 returned to ""RJ @ yDF1COkEoC""",2023-06-08T22:08:33.734Z,168626211373400
"""Phil @ GCtQMn_f2C"" folds",2023-06-08T22:08:32.879Z,168626211287900
"""Mamo @ ZZdIr1anyB"" folds",2023-06-08T22:08:27.801Z,168626210780100
"""RJ @ yDF1COkEoC"" bets 56.89 and go all in",2023-06-08T22:08:17.900Z,168626209790000
"Flop:  [3♦, 4♥, Q♦]",2023-06-08T22:08:10.869Z,168626209086900
"""Phil @ GCtQMn_f2C"" calls 10.00",2023-06-08T22:08:10.061Z,168626209006100
"""Mamo @ ZZdIr1anyB"" calls 10.00",2023-06-08T22:08:08.222Z,168626208822200
"""RJ @ yDF1COkEoC"" raises to 10.00",2023-06-08T22:08:06.814Z,168626208681400
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-08T22:08:02.071Z,168626208207100
"""Phil @ GCtQMn_f2C"" raises to 3.50",2023-06-08T22:08:00.040Z,168626208004000
"The admin ""Shlapp @ ZWO9_p1DU9"" enqueued the game stop on next hand.",2023-06-08T22:07:59.992Z,168626207999200
"""Mamo @ ZZdIr1anyB"" posts a big blind of 1.00",2023-06-08T22:07:56.454Z,168626207645407
"""RJ @ yDF1COkEoC"" posts a small blind of 0.50",2023-06-08T22:07:56.454Z,168626207645406
"Player stacks: #2 ""Mamo @ ZZdIr1anyB"" (225.91) | #5 ""Phil @ GCtQMn_f2C"" (352.44) | #7 ""Shlapp @ ZWO9_p1DU9"" (187.00) | #9 ""RJ @ yDF1COkEoC"" (66.89)",2023-06-08T22:07:56.454Z,168626207645401
"-- starting hand #301 (id: fh4w9qqpzlcj)  (No Limit Texas Hold'em) (dealer: ""Shlapp @ ZWO9_p1DU9"") --",2023-06-08T22:07:56.454Z,168626207645400
"-- ending hand #300 --",2023-06-08T22:07:50.525Z,168626207052502
"""RJ @ yDF1COkEoC"" collected 2.50 from pot",2023-06-08T22:07:50.525Z,168626207052501
"Uncalled bet of 1.00 returned to ""RJ @ yDF1COkEoC""",2023-06-08T22:07:50.525Z,168626207052500
"""Mamo @ ZZdIr1anyB"" folds",2023-06-08T22:07:49.690Z,168626206969000
"""RJ @ yDF1COkEoC"" bets 1.00",2023-06-08T22:07:48.284Z,168626206828400
"Flop:  [9♠, 4♠, 5♥]",2023-06-08T22:07:45.120Z,168626206512000
"""RJ @ yDF1COkEoC"" checks",2023-06-08T22:07:44.274Z,168626206427400
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-08T22:07:27.141Z,168626204714100
"""Phil @ GCtQMn_f2C"" folds",2023-06-08T22:07:26.261Z,168626204626100
"""Mamo @ ZZdIr1anyB"" calls 1.00",2023-06-08T22:07:25.328Z,168626204532800
"""RJ @ yDF1COkEoC"" posts a big blind of 1.00",2023-06-08T22:07:20.949Z,168626204094907
"""Shlapp @ ZWO9_p1DU9"" posts a small blind of 0.50",2023-06-08T22:07:20.949Z,168626204094906
"Player stacks: #2 ""Mamo @ ZZdIr1anyB"" (226.91) | #5 ""Phil @ GCtQMn_f2C"" (352.44) | #7 ""Shlapp @ ZWO9_p1DU9"" (187.50) | #9 ""RJ @ yDF1COkEoC"" (65.39)",2023-06-08T22:07:20.949Z,168626204094901
"-- starting hand #300 (id: tzvrxedcddfu)  (No Limit Texas Hold'em) (dealer: ""Phil @ GCtQMn_f2C"") --",2023-06-08T22:07:20.949Z,168626204094900
"-- ending hand #299 --",2023-06-08T22:07:18.025Z,168626203802502
"""Shlapp @ ZWO9_p1DU9"" collected 1.00 from pot",2023-06-08T22:07:18.025Z,168626203802501
"Uncalled bet of 0.50 returned to ""Shlapp @ ZWO9_p1DU9""",2023-06-08T22:07:18.025Z,168626203802500
"""Phil @ GCtQMn_f2C"" folds",2023-06-08T22:07:17.211Z,168626203721100
"""Mamo @ ZZdIr1anyB"" folds",2023-06-08T22:07:11.755Z,168626203175500
"""RJ @ yDF1COkEoC"" folds",2023-06-08T22:07:10.869Z,168626203086900
"""Shlapp @ ZWO9_p1DU9"" posts a big blind of 1.00",2023-06-08T22:07:09.420Z,168626202942007
"""Phil @ GCtQMn_f2C"" posts a small blind of 0.50",2023-06-08T22:07:09.420Z,168626202942006
"Player stacks: #2 ""Mamo @ ZZdIr1anyB"" (226.91) | #5 ""Phil @ GCtQMn_f2C"" (352.94) | #7 ""Shlapp @ ZWO9_p1DU9"" (187.00) | #9 ""RJ @ yDF1COkEoC"" (65.39)",2023-06-08T22:07:09.420Z,168626202942001
"-- starting hand #299 (id: 5dxhzkjjjmut)  (No Limit Texas Hold'em) (dealer: ""Mamo @ ZZdIr1anyB"") --",2023-06-08T22:07:09.420Z,168626202942000
"-- ending hand #298 --",2023-06-08T22:07:03.470Z,168626202347002
"""Mamo @ ZZdIr1anyB"" collected 22.00 from pot",2023-06-08T22:07:03.470Z,168626202347001
"Uncalled bet of 10.00 returned to ""Mamo @ ZZdIr1anyB""",2023-06-08T22:07:03.470Z,168626202347000
"""RJ @ yDF1COkEoC"" folds",2023-06-08T22:07:02.630Z,168626202263000
"""Mamo @ ZZdIr1anyB"" bets 10.00",2023-06-08T22:07:01.130Z,168626202113000
"Flop:  [4♣, K♦, 8♥]",2023-06-08T22:06:55.927Z,168626201592700
"""RJ @ yDF1COkEoC"" calls 10.00",2023-06-08T22:06:55.095Z,168626201509500
"""Shlapp @ ZWO9_p1DU9"" folds",2023-06-08T22:06:53.359Z,168626201335900
"""Phil @ GCtQMn_f2C"" folds",2023-06-08T22:06:52.422Z,168626201242200
"""Mamo @ ZZdIr1anyB"" raises to 10.00",2023-06-08T22:06:49.865Z,168626200986500
"""RJ @ yDF1COkEoC"" raises to 3.00",2023-06-08T22:06:44.868Z,168626200486800
"""Shlapp @ ZWO9_p1DU9"" calls 1.00",2023-06-08T22:06:35.766Z,168626199576600
"""Phil @ GCtQMn_f2C"" posts a big blind of 1.00",2023-06-08T22:06:34.620Z,168626199462007
"""Mamo @ ZZdIr1anyB"" posts a small blind of 0.50",2023-06-08T22:06:34.620Z,168626199462006
