entry,at,order
"The player ""Phil @ G71Wfb2gET"" stand up with the stack of 234.65.",2023-06-18T22:51:04.425Z,168712866442500
"The player ""Jackson @ yXr_bmZ3u2"" stand up with the stack of 229.83.",2023-06-18T22:51:02.316Z,168712866231600
"-- ending hand #302 --",2023-06-18T22:50:56.309Z,168712865630902
"""Phil @ G71Wfb2gET"" collected 14.00 from pot",2023-06-18T22:50:56.309Z,168712865630901
"Uncalled bet of 6.89 returned to ""Phil @ G71Wfb2gET""",2023-06-18T22:50:56.309Z,168712865630900
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-18T22:50:55.437Z,168712865543700
"""Phil @ G71Wfb2gET"" bets 6.89",2023-06-18T22:50:51.512Z,168712865151200
"Flop:  [7♥, K♠, 3♦]",2023-06-18T22:50:48.107Z,168712864810700
"""Jackson @ yXr_bmZ3u2"" calls 7.00",2023-06-18T22:50:47.296Z,168712864729600
"""Phil @ G71Wfb2gET"" raises to 7.00",2023-06-18T22:50:38.182Z,168712863818200
"""Jackson @ yXr_bmZ3u2"" calls 1.00",2023-06-18T22:50:35.138Z,168712863513800
"""Phil @ G71Wfb2gET"" posts a big blind of 1.00",2023-06-18T22:50:33.285Z,168712863328506
"""Jackson @ yXr_bmZ3u2"" posts a small blind of 0.50",2023-06-18T22:50:33.285Z,168712863328505
"Player stacks: #1 ""Jackson @ yXr_bmZ3u2"" (236.83) | #10 ""Phil @ G71Wfb2gET"" (227.65)",2023-06-18T22:50:33.285Z,168712863328502
"-- starting hand #302 (id: scv5wxctj8cq)  (No Limit Texas Hold'em) (dealer: ""Jackson @ yXr_bmZ3u2"") --",2023-06-18T22:50:33.285Z,168712863328501
"The player ""Jake @ 2d2L9d1kAP"" stand up with the stack of 608.25.",2023-06-18T22:50:33.285Z,168712863328500
"-- ending hand #301 --",2023-06-18T22:50:27.328Z,168712862732802
"""Phil @ G71Wfb2gET"" collected 2.50 from pot",2023-06-18T22:50:27.328Z,168712862732801
"Uncalled bet of 3.00 returned to ""Phil @ G71Wfb2gET""",2023-06-18T22:50:27.328Z,168712862732800
"""Jake @ 2d2L9d1kAP"" folds",2023-06-18T22:50:26.495Z,168712862649500
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-18T22:50:21.985Z,168712862198500
"""Phil @ G71Wfb2gET"" raises to 4.00",2023-06-18T22:50:08.037Z,168712860803700
"""Jake @ 2d2L9d1kAP"" posts a big blind of 1.00",2023-06-18T22:50:05.742Z,168712860574206
"""Jackson @ yXr_bmZ3u2"" posts a small blind of 0.50",2023-06-18T22:50:05.742Z,168712860574205
"Player stacks: #1 ""Jackson @ yXr_bmZ3u2"" (237.33) | #8 ""Jake @ 2d2L9d1kAP"" (609.25) | #10 ""Phil @ G71Wfb2gET"" (226.15)",2023-06-18T22:50:05.742Z,168712860574201
