entry,at,order
"The player ""Phill @ 3I396r7hLr"" quits the game with a stack of 216.47.",2023-06-04T01:54:03.350Z,168584364335000
"The player ""Tomson @ u97P03FiVQ"" quits the game with a stack of 0.00.",2023-06-04T01:34:15.631Z,168584245563100
"-- ending hand #460 --",2023-06-04T01:34:09.628Z,168584244962803
"""Tomson @ u97P03FiVQ"" shows a 10♦, 5♥, Q♠, 9♠.",2023-06-04T01:34:09.628Z,168584244962802
"""Dp @ YyWpODWXWx"" collected 175.16 from pot with Full House (combination: K♣, K♥, K♦, 10♠, 10♥)",2023-06-04T01:34:09.628Z,168584244962801
"""Dp @ YyWpODWXWx"" shows a K♣, K♥, 10♣, 3♣.",2023-06-04T01:34:09.628Z,168584244962800
"""Dp @ YyWpODWXWx"" calls 63.58",2023-06-04T01:34:08.779Z,168584244877900
"""Tomson @ u97P03FiVQ"" raises to 63.58 and go all in",2023-06-04T01:34:07.524Z,168584244752400
"""Dp @ YyWpODWXWx"" bets 48.00",2023-06-04T01:34:04.503Z,168584244450300
"River: K♦, 8♠, 10♠, 10♥ [Q♣]",2023-06-04T01:33:57.923Z,168584243792300
"""Tomson @ u97P03FiVQ"" calls 18.00",2023-06-04T01:33:57.085Z,168584243708500
"""Dp @ YyWpODWXWx"" raises to 18.00",2023-06-04T01:33:54.727Z,168584243472700
"""Tomson @ u97P03FiVQ"" bets 6.00",2023-06-04T01:33:43.160Z,168584242316000
"""Dp @ YyWpODWXWx"" checks",2023-06-04T01:33:38.478Z,168584241847800
"Turn: K♦, 8♠, 10♠ [10♥]",2023-06-04T01:33:36.899Z,168584241689900
"""Dp @ YyWpODWXWx"" calls 3.00",2023-06-04T01:33:36.052Z,168584241605200
"""Tomson @ u97P03FiVQ"" bets 3.00",2023-06-04T01:33:32.905Z,168584241290500
"""Dp @ YyWpODWXWx"" checks",2023-06-04T01:33:28.382Z,168584240838200
"Flop:  [K♦, 8♠, 10♠]",2023-06-04T01:33:26.072Z,168584240607200
"""Dp @ YyWpODWXWx"" calls 3.00",2023-06-04T01:33:25.233Z,168584240523300
"""Tomson @ u97P03FiVQ"" raises to 3.00",2023-06-04T01:33:14.841Z,168584239484100
"""Dp @ YyWpODWXWx"" posts a big blind of 1.00",2023-06-04T01:33:12.333Z,168584239233305
"""Tomson @ u97P03FiVQ"" posts a small blind of 0.50",2023-06-04T01:33:12.333Z,168584239233304
"Player stacks: #2 ""Dp @ YyWpODWXWx"" (204.87) | #6 ""Tomson @ u97P03FiVQ"" (87.58)",2023-06-04T01:33:12.333Z,168584239233301
"-- starting hand #460 (id: pkotwk8vdpva)  (Pot Limit Omaha Hi) (dealer: ""Tomson @ u97P03FiVQ"") --",2023-06-04T01:33:12.333Z,168584239233300
"-- ending hand #459 --",2023-06-04T01:33:06.324Z,168584238632403
