entry,at,order
"The player ""Sushi @ 3f91MMrAMb"" stand up with the stack of 178.70.",2023-05-29T07:01:36.879Z,168534369687901
"The player ""Dp @ YyWpODWXWx"" stand up with the stack of 204.31.",2023-05-29T07:01:36.879Z,168534369687900
"-- ending hand #135 --",2023-05-29T07:01:30.925Z,168534369092502
"""Sushi @ 3f91MMrAMb"" collected 3.00 from pot",2023-05-29T07:01:30.925Z,168534369092501
"Uncalled bet of 3.00 returned to ""Sushi @ 3f91MMrAMb""",2023-05-29T07:01:30.925Z,168534369092500
"""Dp @ YyWpODWXWx"" folds",2023-05-29T07:01:30.084Z,168534369008400
"""MJK @ 8xuYQoCB-e"" folds",2023-05-29T07:01:29.077Z,168534368907700
"""Sushi @ 3f91MMrAMb"" bets 3.00",2023-05-29T07:01:23.106Z,168534368310600
"""Dp @ YyWpODWXWx"" checks",2023-05-29T07:01:20.895Z,168534368089500
"""MJK @ 8xuYQoCB-e"" checks",2023-05-29T07:01:19.536Z,168534367953600
"Flop:  [5♣, 7♠, 9♥]",2023-05-29T07:01:18.511Z,168534367851100
"""Dp @ YyWpODWXWx"" checks",2023-05-29T07:01:17.690Z,168534367769000
"""MJK @ 8xuYQoCB-e"" calls 1.00",2023-05-29T07:01:16.322Z,168534367632200
"""Sushi @ 3f91MMrAMb"" calls 1.00",2023-05-29T07:01:14.221Z,168534367422100
"""Dp @ YyWpODWXWx"" posts a big blind of 1.00",2023-05-29T07:01:05.150Z,168534366515006
"""MJK @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-05-29T07:01:05.150Z,168534366515005
"Player stacks: #1 ""Dp @ YyWpODWXWx"" (205.31) | #3 ""Sushi @ 3f91MMrAMb"" (176.70) | #5 ""MJK @ 8xuYQoCB-e"" (723.15)",2023-05-29T07:01:05.150Z,168534366515001
"-- starting hand #135 (id: 22lk4evgbh2k)  (Pot Limit Omaha Hi) (dealer: ""Sushi @ 3f91MMrAMb"") --",2023-05-29T07:01:05.150Z,168534366515000
"-- ending hand #134 --",2023-05-29T07:00:59.134Z,168534365913402
"""MJK @ 8xuYQoCB-e"" collected 90.00 from pot with Full House (combination: A♦, A♠, A♥, 9♦, 9♣)",2023-05-29T07:00:59.134Z,168534365913401
"""MJK @ 8xuYQoCB-e"" shows a K♠, A♦, A♠, 7♥.",2023-05-29T07:00:59.134Z,168534365913400
"""Dp @ YyWpODWXWx"" calls 30.00",2023-05-29T07:00:58.298Z,168534365829800
"""MJK @ 8xuYQoCB-e"" bets 30.00",2023-05-29T07:00:43.259Z,168534364325900
"River: 9♦, 6♠, A♥, 6♦ [9♣]",2023-05-29T07:00:35.579Z,168534363557900
"""Dp @ YyWpODWXWx"" calls 7.50",2023-05-29T07:00:34.743Z,168534363474300
"""MJK @ 8xuYQoCB-e"" bets 7.50",2023-05-29T07:00:32.452Z,168534363245200
"Turn: 9♦, 6♠, A♥ [6♦]",2023-05-29T07:00:23.761Z,168534362376100
"""Dp @ YyWpODWXWx"" calls 3.75",2023-05-29T07:00:22.935Z,168534362293500
"""MJK @ 8xuYQoCB-e"" bets 3.75",2023-05-29T07:00:20.411Z,168534362041100
"Flop:  [9♦, 6♠, A♥]",2023-05-29T07:00:15.502Z,168534361550200
"""Dp @ YyWpODWXWx"" calls 3.50",2023-05-29T07:00:14.672Z,168534361467200
"""MJK @ 8xuYQoCB-e"" raises to 3.50",2023-05-29T07:00:12.212Z,168534361221200
"""Sushi @ 3f91MMrAMb"" folds",2023-05-29T06:59:56.681Z,168534359668100
"""Dp @ YyWpODWXWx"" calls 1.00",2023-05-29T06:59:43.551Z,168534358355100
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-05-29T06:59:38.800Z,168534357880006
"""Sushi @ 3f91MMrAMb"" posts a small blind of 0.50",2023-05-29T06:59:38.800Z,168534357880005
"Player stacks: #1 ""Dp @ YyWpODWXWx"" (250.06) | #3 ""Sushi @ 3f91MMrAMb"" (177.20) | #5 ""MJK @ 8xuYQoCB-e"" (677.90)",2023-05-29T06:59:38.800Z,168534357880001
"-- starting hand #134 (id: uge5pheshz7l)  (Pot Limit Omaha Hi) (dealer: ""Dp @ YyWpODWXWx"") --",2023-05-29T06:59:38.800Z,168534357880000
"-- ending hand #133 --",2023-05-29T06:59:32.835Z,168534357283502
