entry,at,order
"-- ending hand #215 --",2023-05-19T04:16:15.258Z,168446977525802
"""Toby @ 76KLHFOJAT"" collected 18.00 from pot",2023-05-19T04:16:15.258Z,168446977525801
"Uncalled bet of 8.00 returned to ""Toby @ 76KLHFOJAT""",2023-05-19T04:16:15.258Z,168446977525800
"""joe @ _t70J__qQ8"" folds",2023-05-19T04:16:14.451Z,168446977445100
"""Tomson @ zbju4L0tAV"" folds",2023-05-19T04:16:10.730Z,168446977073000
"""Toby @ 76KLHFOJAT"" bets 8.00",2023-05-19T04:16:03.184Z,168446976318400
"""joe @ _t70J__qQ8"" checks",2023-05-19T04:15:59.709Z,168446975970900
"""Tomson @ zbju4L0tAV"" checks",2023-05-19T04:15:57.309Z,168446975730900
"Flop:  [4♥, 9♣, Q♠]",2023-05-19T04:15:55.289Z,168446975528900
"""joe @ _t70J__qQ8"" calls 6.00",2023-05-19T04:15:54.478Z,168446975447800
"""Tomson @ zbju4L0tAV"" calls 6.00",2023-05-19T04:15:52.624Z,168446975262400
"""Farnan @ 6GVYVlWnT4"" folds",2023-05-19T04:15:43.157Z,168446974315700
"""Toby @ 76KLHFOJAT"" raises to 6.00",2023-05-19T04:15:41.942Z,168446974194200
"""Gill iPad @ rBxx2OqQ80"" folds",2023-05-19T04:15:39.426Z,168446973942600
"""joe @ _t70J__qQ8"" posts a big blind of 2.00",2023-05-19T04:15:38.004Z,168446973800408
"""Tomson @ zbju4L0tAV"" posts a small blind of 1.00",2023-05-19T04:15:38.004Z,168446973800407
"Player stacks: #1 ""Farnan @ 6GVYVlWnT4"" (525.00) | #5 ""Tomson @ zbju4L0tAV"" (732.12) | #7 ""joe @ _t70J__qQ8"" (374.00) | #9 ""Gill iPad @ rBxx2OqQ80"" (712.82) | #10 ""Toby @ 76KLHFOJAT"" (799.00)",2023-05-19T04:15:38.004Z,168446973800401
"-- starting hand #215 (id: n6vltigt4yge)  (No Limit Texas Hold'em) (dealer: ""Farnan @ 6GVYVlWnT4"") --",2023-05-19T04:15:38.004Z,168446973800400
"-- ending hand #214 --",2023-05-19T04:15:35.048Z,168446973504802
"""Gill iPad @ rBxx2OqQ80"" collected 38.00 from pot",2023-05-19T04:15:35.048Z,168446973504801
"Uncalled bet of 32.50 returned to ""Gill iPad @ rBxx2OqQ80""",2023-05-19T04:15:35.048Z,168446973504800
"""joe @ _t70J__qQ8"" folds",2023-05-19T04:15:34.206Z,168446973420600
"""Gill iPad @ rBxx2OqQ80"" bets 32.50",2023-05-19T04:15:32.396Z,168446973239600
"""joe @ _t70J__qQ8"" checks",2023-05-19T04:15:26.166Z,168446972616600
"River: 4♦, 10♠, 8♣, K♠ [7♣]",2023-05-19T04:15:24.597Z,168446972459700
"""Tomson @ zbju4L0tAV"" folds",2023-05-19T04:15:23.756Z,168446972375600
"""Gill iPad @ rBxx2OqQ80"" calls 9.50",2023-05-19T04:15:22.765Z,168446972276500
"""joe @ _t70J__qQ8"" bets 9.50",2023-05-19T04:15:20.806Z,168446972080600
