entry,at,order
"The player ""Phil @ GCtQMn_f2C"" quits the game with a stack of 448.77.",2023-06-15T07:17:26.358Z,168681344635800
"The admin ""MJK @ 8xuYQoCB-e"" enqueued the game stop on next hand.",2023-06-15T07:17:07.024Z,168681342702400
"-- ending hand #248 --",2023-06-15T07:17:05.568Z,168681342556802
"""brett @ eKDH2_sDqp"" collected 3.00 from pot",2023-06-15T07:17:05.568Z,168681342556801
"Uncalled bet of 3.00 returned to ""brett @ eKDH2_sDqp""",2023-06-15T07:17:05.568Z,168681342556800
"""MJK @ 8xuYQoCB-e"" folds",2023-06-15T07:17:04.758Z,168681342475800
"""Phil @ GCtQMn_f2C"" folds",2023-06-15T07:17:03.752Z,168681342375200
"""brett @ eKDH2_sDqp"" bets 3.00",2023-06-15T07:17:01.969Z,168681342196900
"""MJK @ 8xuYQoCB-e"" checks",2023-06-15T07:16:56.524Z,168681341652400
"""Phil @ GCtQMn_f2C"" checks",2023-06-15T07:16:55.094Z,168681341509400
"Flop:  [9♣, 2♦, Q♦]",2023-06-15T07:16:51.863Z,168681341186300
"""MJK @ 8xuYQoCB-e"" checks",2023-06-15T07:16:50.960Z,168681341096000
"""Phil @ GCtQMn_f2C"" checks",2023-06-15T07:16:44.596Z,168681340459600
"""brett @ eKDH2_sDqp"" calls 1.00",2023-06-15T07:16:43.469Z,168681340346900
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-06-15T07:16:41.447Z,168681340144706
"""Phil @ GCtQMn_f2C"" posts a small blind of 1.00",2023-06-15T07:16:41.447Z,168681340144705
"Player stacks: #4 ""brett @ eKDH2_sDqp"" (304.69) | #6 ""Phil @ GCtQMn_f2C"" (449.77) | #8 ""MJK @ 8xuYQoCB-e"" (517.32)",2023-06-15T07:16:41.447Z,168681340144701
"-- starting hand #248 (id: kwrxtyifkuso)  (Pot Limit Omaha Hi) (dealer: ""brett @ eKDH2_sDqp"") --",2023-06-15T07:16:41.447Z,168681340144700
"-- ending hand #247 --",2023-06-15T07:16:35.440Z,168681339544003
"""brett @ eKDH2_sDqp"" shows a 9♦, 6♦, 8♠, Q♠.",2023-06-15T07:16:35.440Z,168681339544002
"""MJK @ 8xuYQoCB-e"" collected 16.00 from pot with One Pair (combination: A♥, A♦, K♠, Q♦, 10♣)",2023-06-15T07:16:35.440Z,168681339544001
"""MJK @ 8xuYQoCB-e"" shows a K♠, 7♣, A♥, K♦.",2023-06-15T07:16:35.440Z,168681339544000
"""MJK @ 8xuYQoCB-e"" checks",2023-06-15T07:16:34.621Z,168681339462100
"""brett @ eKDH2_sDqp"" checks",2023-06-15T07:16:33.154Z,168681339315400
"River: 3♥, A♦, Q♦, 5♥ [10♣]",2023-06-15T07:16:30.699Z,168681339069900
"""MJK @ 8xuYQoCB-e"" checks",2023-06-15T07:16:29.889Z,168681338988900
"""brett @ eKDH2_sDqp"" checks",2023-06-15T07:16:27.464Z,168681338746400
"Turn: 3♥, A♦, Q♦ [5♥]",2023-06-15T07:16:13.596Z,168681337359600
"""brett @ eKDH2_sDqp"" calls 3.50",2023-06-15T07:16:12.742Z,168681337274200
"""MJK @ 8xuYQoCB-e"" bets 3.50",2023-06-15T07:16:09.867Z,168681336986700
"""brett @ eKDH2_sDqp"" checks",2023-06-15T07:16:06.615Z,168681336661500
"Flop:  [3♥, A♦, Q♦]",2023-06-15T07:16:03.655Z,168681336365500
"""Phil @ GCtQMn_f2C"" folds",2023-06-15T07:16:02.790Z,168681336279000
"""brett @ eKDH2_sDqp"" calls 4.00",2023-06-15T07:16:01.793Z,168681336179300
"""MJK @ 8xuYQoCB-e"" raises to 4.00",2023-06-15T07:15:57.502Z,168681335750200
"""Phil @ GCtQMn_f2C"" posts a big blind of 1.00",2023-06-15T07:15:54.851Z,168681335485106
"""brett @ eKDH2_sDqp"" posts a small blind of 1.00",2023-06-15T07:15:54.851Z,168681335485105
"Player stacks: #4 ""brett @ eKDH2_sDqp"" (312.19) | #6 ""Phil @ GCtQMn_f2C"" (450.77) | #8 ""MJK @ 8xuYQoCB-e"" (508.82)",2023-06-15T07:15:54.851Z,168681335485101
"-- starting hand #247 (id: o73xwfwydegt)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-15T07:15:54.851Z,168681335485100
"""MJK @ 8xuYQoCB-e"" shows a 2♦, 9♦, 6♥, Q♣.",2023-06-15T07:15:48.669Z,168681334866900
"-- ending hand #246 --",2023-06-15T07:15:48.231Z,168681334823102
"""brett @ eKDH2_sDqp"" collected 2.00 from pot",2023-06-15T07:15:48.231Z,168681334823101
"Uncalled bet of 2.00 returned to ""brett @ eKDH2_sDqp""",2023-06-15T07:15:48.231Z,168681334823100
"""MJK @ 8xuYQoCB-e"" folds",2023-06-15T07:15:47.359Z,168681334735900
"""brett @ eKDH2_sDqp"" raises to 3.00",2023-06-15T07:15:46.392Z,168681334639200
"""MJK @ 8xuYQoCB-e"" checks",2023-06-15T07:15:42.035Z,168681334203500
"""Phil @ GCtQMn_f2C"" folds",2023-06-15T07:15:40.946Z,168681334094600
"""brett @ eKDH2_sDqp"" posts a big blind of 1.00",2023-06-15T07:15:36.218Z,168681333621806
"""MJK @ 8xuYQoCB-e"" posts a small blind of 1.00",2023-06-15T07:15:36.218Z,168681333621805
"Player stacks: #4 ""brett @ eKDH2_sDqp"" (311.19) | #6 ""Phil @ GCtQMn_f2C"" (450.77) | #8 ""MJK @ 8xuYQoCB-e"" (509.82)",2023-06-15T07:15:36.218Z,168681333621801
"-- starting hand #246 (id: s6ak1we4aqyv)  (Pot Limit Omaha Hi) (dealer: ""Phil @ GCtQMn_f2C"") --",2023-06-15T07:15:36.218Z,168681333621800
"-- ending hand #245 --",2023-06-15T07:15:30.253Z,168681333025302
"""brett @ eKDH2_sDqp"" collected 27.00 from pot",2023-06-15T07:15:30.253Z,168681333025301
"Uncalled bet of 22.00 returned to ""brett @ eKDH2_sDqp""",2023-06-15T07:15:30.253Z,168681333025300
"""Phil @ GCtQMn_f2C"" folds",2023-06-15T07:15:29.449Z,168681332944900
"""brett @ eKDH2_sDqp"" raises to 35.00",2023-06-15T07:15:27.412Z,168681332741200
"""MJK @ 8xuYQoCB-e"" folds",2023-06-15T07:15:20.138Z,168681332013800
"""Phil @ GCtQMn_f2C"" raises to 13.00",2023-06-15T07:15:18.992Z,168681331899200
"""brett @ eKDH2_sDqp"" raises to 4.00",2023-06-15T07:15:16.693Z,168681331669300
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-06-15T07:15:13.700Z,168681331370006
"""Phil @ GCtQMn_f2C"" posts a small blind of 1.00",2023-06-15T07:15:13.700Z,168681331370005
"Player stacks: #4 ""brett @ eKDH2_sDqp"" (297.19) | #6 ""Phil @ GCtQMn_f2C"" (463.77) | #8 ""MJK @ 8xuYQoCB-e"" (510.82)",2023-06-15T07:15:13.700Z,168681331370001
"-- starting hand #245 (id: h29wyyqpmlth)  (Pot Limit Omaha Hi) (dealer: ""brett @ eKDH2_sDqp"") --",2023-06-15T07:15:13.700Z,168681331370000
"-- ending hand #244 --",2023-06-15T07:15:07.775Z,168681330777502
"""brett @ eKDH2_sDqp"" collected 37.00 from pot",2023-06-15T07:15:07.775Z,168681330777501
"Uncalled bet of 25.00 returned to ""brett @ eKDH2_sDqp""",2023-06-15T07:15:07.775Z,168681330777500
"""MJK @ 8xuYQoCB-e"" folds",2023-06-15T07:15:06.943Z,168681330694300
"""brett @ eKDH2_sDqp"" bets 25.00",2023-06-15T07:15:05.523Z,168681330552300
"Turn: 9♦, 4♠, 2♣ [10♥]",2023-06-15T07:14:58.885Z,168681329888500
"""MJK @ 8xuYQoCB-e"" calls 8.00",2023-06-15T07:14:58.043Z,168681329804300
"""brett @ eKDH2_sDqp"" bets 8.00",2023-06-15T07:14:55.352Z,168681329535200
"Flop:  [9♦, 4♠, 2♣]",2023-06-15T07:14:48.356Z,168681328835600
"""MJK @ 8xuYQoCB-e"" calls 10.00",2023-06-15T07:14:47.479Z,168681328747900
