entry,at,order
"The player ""Dp @ 6T4espke1S"" stand up with the stack of 225.76.",2023-06-17T04:44:22.415Z,168697706241500
"The admin ""MJK @ 8xuYQoCB-e"" enqueued the game stop on next hand.",2023-06-17T04:44:19.237Z,168697705923700
"-- ending hand #85 --",2023-06-17T04:44:16.506Z,168697705650602
"""Bruce @ aZy8GgOmC7"" collected 6.00 from pot",2023-06-17T04:44:16.506Z,168697705650601
"Uncalled bet of 6.00 returned to ""Bruce @ aZy8GgOmC7""",2023-06-17T04:44:16.506Z,168697705650600
"""Dp @ 6T4espke1S"" folds",2023-06-17T04:44:15.700Z,168697705570000
"""Bruce @ aZy8GgOmC7"" bets 6.00",2023-06-17T04:43:58.143Z,168697703814300
"Turn: 2♦, 7♦, 5♣ [K♣]",2023-06-17T04:43:55.004Z,168697703500400
"""Dp @ 6T4espke1S"" checks",2023-06-17T04:43:54.190Z,168697703419000
"""Bruce @ aZy8GgOmC7"" checks",2023-06-17T04:43:51.491Z,168697703149100
"Flop:  [2♦, 7♦, 5♣]",2023-06-17T04:43:46.401Z,168697702640100
"""Dp @ 6T4espke1S"" calls 3.00",2023-06-17T04:43:45.514Z,168697702551400
"""Bruce @ aZy8GgOmC7"" raises to 3.00",2023-06-17T04:43:40.260Z,168697702026000
"""MJK @ 8xuYQoCB-e"" folds",2023-06-17T04:43:36.060Z,168697701606000
"""Dp @ 6T4espke1S"" posts a big blind of 1.00",2023-06-17T04:43:13.811Z,168697699381106
"""Bruce @ aZy8GgOmC7"" posts a small blind of 1.00",2023-06-17T04:43:13.811Z,168697699381105
"Player stacks: #7 ""MJK @ 8xuYQoCB-e"" (309.74) | #8 ""Bruce @ aZy8GgOmC7"" (261.50) | #9 ""Dp @ 6T4espke1S"" (228.76)",2023-06-17T04:43:13.811Z,168697699381101
"-- starting hand #85 (id: oep14yhw9541)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-17T04:43:13.811Z,168697699381100
"-- ending hand #84 --",2023-06-17T04:43:10.859Z,168697699085902
"""Dp @ 6T4espke1S"" collected 35.00 from pot",2023-06-17T04:43:10.859Z,168697699085901
"Uncalled bet of 17.50 returned to ""Dp @ 6T4espke1S""",2023-06-17T04:43:10.859Z,168697699085900
"""Bruce @ aZy8GgOmC7"" folds",2023-06-17T04:43:10.023Z,168697699002300
"""Dp @ 6T4espke1S"" bets 17.50",2023-06-17T04:42:56.296Z,168697697629600
"""Bruce @ aZy8GgOmC7"" checks",2023-06-17T04:42:52.317Z,168697697231700
"Turn: J♦, 9♣, 4♥ [5♥]",2023-06-17T04:42:39.674Z,168697695967400
"""Dp @ 6T4espke1S"" calls 8.75",2023-06-17T04:42:38.841Z,168697695884100
"""Bruce @ aZy8GgOmC7"" bets 8.75",2023-06-17T04:42:34.416Z,168697695441600
"Flop:  [J♦, 9♣, 4♥]",2023-06-17T04:42:16.171Z,168697693617100
"""Dp @ 6T4espke1S"" calls 8.25",2023-06-17T04:42:15.357Z,168697693535700
"""Bruce @ aZy8GgOmC7"" raises to 8.25",2023-06-17T04:41:41.595Z,168697690159500
"""MJK @ 8xuYQoCB-e"" folds",2023-06-17T04:41:30.567Z,168697689056700
"""Dp @ 6T4espke1S"" raises to 3.00",2023-06-17T04:41:26.042Z,168697688604200
"""Bruce @ aZy8GgOmC7"" posts a big blind of 1.00",2023-06-17T04:41:22.255Z,168697688225506
"""MJK @ 8xuYQoCB-e"" posts a small blind of 1.00",2023-06-17T04:41:22.255Z,168697688225505
"Player stacks: #7 ""MJK @ 8xuYQoCB-e"" (310.74) | #8 ""Bruce @ aZy8GgOmC7"" (278.50) | #9 ""Dp @ 6T4espke1S"" (210.76)",2023-06-17T04:41:22.255Z,168697688225501
"-- starting hand #84 (id: pktk79jbipms)  (Pot Limit Omaha Hi) (dealer: ""Dp @ 6T4espke1S"") --",2023-06-17T04:41:22.255Z,168697688225500
"-- ending hand #83 --",2023-06-17T04:41:19.248Z,168697687924802
"""Dp @ 6T4espke1S"" collected 7.00 from pot",2023-06-17T04:41:19.248Z,168697687924801
"Uncalled bet of 3.50 returned to ""Dp @ 6T4espke1S""",2023-06-17T04:41:19.248Z,168697687924800
"""Bruce @ aZy8GgOmC7"" folds",2023-06-17T04:41:18.390Z,168697687839000
"""Dp @ 6T4espke1S"" bets 3.50",2023-06-17T04:41:16.307Z,168697687630700
"River: J♣, 5♥, 7♥, 2♠ [5♦]",2023-06-17T04:41:12.524Z,168697687252400
"""Bruce @ aZy8GgOmC7"" calls 2.00",2023-06-17T04:41:11.708Z,168697687170800
"""MJK @ 8xuYQoCB-e"" folds",2023-06-17T04:41:05.225Z,168697686522500
"""Dp @ 6T4espke1S"" bets 2.00",2023-06-17T04:41:03.008Z,168697686300800
"Turn: J♣, 5♥, 7♥ [2♠]",2023-06-17T04:40:59.709Z,168697685970900
"""Bruce @ aZy8GgOmC7"" checks",2023-06-17T04:40:58.895Z,168697685889500
"""MJK @ 8xuYQoCB-e"" checks",2023-06-17T04:40:52.772Z,168697685277200
"""Dp @ 6T4espke1S"" checks",2023-06-17T04:39:54.645Z,168697679464500
"Flop:  [J♣, 5♥, 7♥]",2023-06-17T04:39:53.302Z,168697679330200
"""MJK @ 8xuYQoCB-e"" checks",2023-06-17T04:39:52.412Z,168697679241200
"""Dp @ 6T4espke1S"" checks",2023-06-17T04:39:51.161Z,168697679116100
"""Bruce @ aZy8GgOmC7"" calls 1.00",2023-06-17T04:39:48.684Z,168697678868400
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-06-17T04:39:36.526Z,168697677652606
"""Dp @ 6T4espke1S"" posts a small blind of 1.00",2023-06-17T04:39:36.526Z,168697677652605
"Player stacks: #7 ""MJK @ 8xuYQoCB-e"" (311.74) | #8 ""Bruce @ aZy8GgOmC7"" (281.50) | #9 ""Dp @ 6T4espke1S"" (206.76)",2023-06-17T04:39:36.526Z,168697677652601
"-- starting hand #83 (id: lqkwudy62ajo)  (Pot Limit Omaha Hi) (dealer: ""Bruce @ aZy8GgOmC7"") --",2023-06-17T04:39:36.526Z,168697677652600
"-- ending hand #82 --",2023-06-17T04:39:30.590Z,168697677059002
"""Bruce @ aZy8GgOmC7"" collected 6.00 from pot",2023-06-17T04:39:30.590Z,168697677059001
"Uncalled bet of 4.50 returned to ""Bruce @ aZy8GgOmC7""",2023-06-17T04:39:30.590Z,168697677059000
"""Dp @ 6T4espke1S"" folds",2023-06-17T04:39:29.759Z,168697676975900
"""Bruce @ aZy8GgOmC7"" bets 4.50",2023-06-17T04:39:26.900Z,168697676690000
"Flop:  [2♥, K♦, 2♣]",2023-06-17T04:39:20.177Z,168697676017700
"""Dp @ 6T4espke1S"" calls 3.00",2023-06-17T04:39:19.315Z,168697675931500
"""Bruce @ aZy8GgOmC7"" raises to 3.00",2023-06-17T04:39:17.966Z,168697675796600
"""MJK @ 8xuYQoCB-e"" folds",2023-06-17T04:39:13.148Z,168697675314800
"""Dp @ 6T4espke1S"" posts a big blind of 1.00",2023-06-17T04:39:07.437Z,168697674743706
