entry,at,order
"The player ""Marv69 @ Zi0hpOPBGK"" stand up with the stack of 718.10.",2023-05-20T09:28:16.109Z,168457489610900
"""Marv69 @ Zi0hpOPBGK"" shows a 2♠, Q♥, A♣, J♥.",2023-05-20T09:28:11.340Z,168457489134000
"-- ending hand #249 --",2023-05-20T09:28:09.505Z,168457488950502
"""MJK @ 8xuYQoCB-e"" collected 216.00 from pot with Flush (combination: K♥, 10♥, 8♥, 4♥, 3♥)",2023-05-20T09:28:09.505Z,168457488950501
"""MJK @ 8xuYQoCB-e"" shows a 6♠, 8♥, K♥, Q♣.",2023-05-20T09:28:09.505Z,168457488950500
"""Marv69 @ Zi0hpOPBGK"" calls 72.00",2023-05-20T09:28:08.694Z,168457488869400
"""MJK @ 8xuYQoCB-e"" bets 72.00",2023-05-20T09:27:59.031Z,168457487903100
"""Marv69 @ Zi0hpOPBGK"" checks",2023-05-20T09:27:56.214Z,168457487621400
"River: 4♥, 10♥, Q♦, 3♥ [9♠]",2023-05-20T09:27:51.690Z,168457487169000
"""Marv69 @ Zi0hpOPBGK"" calls 24.00",2023-05-20T09:27:50.826Z,168457487082600
"""MJK @ 8xuYQoCB-e"" bets 24.00",2023-05-20T09:27:46.529Z,168457486652900
"""Marv69 @ Zi0hpOPBGK"" checks",2023-05-20T09:27:42.858Z,168457486285800
"Turn: 4♥, 10♥, Q♦ [3♥]",2023-05-20T09:27:40.243Z,168457486024300
"""Marv69 @ Zi0hpOPBGK"" calls 10.00",2023-05-20T09:27:39.392Z,168457485939200
"""MJK @ 8xuYQoCB-e"" raises to 10.00",2023-05-20T09:27:36.693Z,168457485669300
"""Marv69 @ Zi0hpOPBGK"" bets 2.00",2023-05-20T09:27:33.357Z,168457485335700
"Flop:  [4♥, 10♥, Q♦]",2023-05-20T09:27:26.223Z,168457484622300
"""MJK @ 8xuYQoCB-e"" checks",2023-05-20T09:27:25.347Z,168457484534700
"""Marv69 @ Zi0hpOPBGK"" calls 2.00",2023-05-20T09:27:22.688Z,168457484268800
"""MJK @ 8xuYQoCB-e"" posts a straddle of 2.00",2023-05-20T09:27:17.913Z,168457483791307
"""Marv69 @ Zi0hpOPBGK"" posts a big blind of 1.00",2023-05-20T09:27:17.913Z,168457483791306
"""MJK @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-05-20T09:27:17.913Z,168457483791305
"Player stacks: #6 ""MJK @ 8xuYQoCB-e"" (226.00) | #7 ""Marv69 @ Zi0hpOPBGK"" (826.10)",2023-05-20T09:27:17.913Z,168457483791302
"-- starting hand #249 (id: snx0az0mbclt)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-05-20T09:27:17.913Z,168457483791301
"The player ""Time To Punt @ IjZYxWfJf8"" stand up with the stack of 658.52.",2023-05-20T09:27:17.913Z,168457483791300
"-- ending hand #248 --",2023-05-20T09:27:11.993Z,168457483199302
"""Time To Punt @ IjZYxWfJf8"" collected 15.00 from pot",2023-05-20T09:27:11.993Z,168457483199301
"Uncalled bet of 11.25 returned to ""Time To Punt @ IjZYxWfJf8""",2023-05-20T09:27:11.993Z,168457483199300
"""Marv69 @ Zi0hpOPBGK"" folds",2023-05-20T09:27:11.159Z,168457483115900
"""Time To Punt @ IjZYxWfJf8"" bets 11.25",2023-05-20T09:27:09.142Z,168457482914200
"""Marv69 @ Zi0hpOPBGK"" checks",2023-05-20T09:27:02.699Z,168457482269900
"Turn: 4♦, 3♥, A♦ [6♥]",2023-05-20T09:27:00.020Z,168457482002000
"""Time To Punt @ IjZYxWfJf8"" calls 3.75",2023-05-20T09:26:59.179Z,168457481917900
"""Marv69 @ Zi0hpOPBGK"" bets 3.75",2023-05-20T09:26:57.438Z,168457481743800
"Flop:  [4♦, 3♥, A♦]",2023-05-20T09:26:53.693Z,168457481369300
"""Time To Punt @ IjZYxWfJf8"" calls 3.50",2023-05-20T09:26:52.779Z,168457481277900
"""Marv69 @ Zi0hpOPBGK"" raises to 3.50",2023-05-20T09:26:51.239Z,168457481123900
"""MJK @ 8xuYQoCB-e"" folds",2023-05-20T09:26:47.996Z,168457480799600
"""Time To Punt @ IjZYxWfJf8"" calls 1.00",2023-05-20T09:26:45.782Z,168457480578200
"""Marv69 @ Zi0hpOPBGK"" posts a big blind of 1.00",2023-05-20T09:26:42.283Z,168457480228306
"""MJK @ 8xuYQoCB-e"" posts a small blind of 0.50",2023-05-20T09:26:42.283Z,168457480228305
"Player stacks: #3 ""Time To Punt @ IjZYxWfJf8"" (650.77) | #6 ""MJK @ 8xuYQoCB-e"" (226.50) | #7 ""Marv69 @ Zi0hpOPBGK"" (833.35)",2023-05-20T09:26:42.283Z,168457480228301
"-- starting hand #248 (id: cigcqasxakjj)  (Pot Limit Omaha Hi) (dealer: ""Time To Punt @ IjZYxWfJf8"") --",2023-05-20T09:26:42.283Z,168457480228300
"""Time To Punt @ IjZYxWfJf8"" shows a A♣, 8♦, 8♥, 5♥.",2023-05-20T09:26:38.262Z,168457479826200
"-- ending hand #247 --",2023-05-20T09:26:35.759Z,168457479575902
"""Marv69 @ Zi0hpOPBGK"" collected 8.00 from pot with Two Pair (combination: A♠, A♥, Q♦, Q♣, 9♥)",2023-05-20T09:26:35.759Z,168457479575901
"""Marv69 @ Zi0hpOPBGK"" shows a 9♥, 5♦, A♠, 7♥.",2023-05-20T09:26:35.759Z,168457479575900
"""MJK @ 8xuYQoCB-e"" folds",2023-05-20T09:26:34.955Z,168457479495500
"""Time To Punt @ IjZYxWfJf8"" calls 1.00",2023-05-20T09:26:30.117Z,168457479011700
"""Marv69 @ Zi0hpOPBGK"" bets 1.00",2023-05-20T09:26:28.580Z,168457478858000
"""MJK @ 8xuYQoCB-e"" checks",2023-05-20T09:26:25.812Z,168457478581200
"""Time To Punt @ IjZYxWfJf8"" checks",2023-05-20T09:26:23.350Z,168457478335000
"River: 9♣, 3♦, Q♦, Q♣ [A♥]",2023-05-20T09:26:19.048Z,168457477904800
"""Marv69 @ Zi0hpOPBGK"" checks",2023-05-20T09:26:18.195Z,168457477819500
"""MJK @ 8xuYQoCB-e"" checks",2023-05-20T09:26:15.990Z,168457477599000
"""Time To Punt @ IjZYxWfJf8"" checks",2023-05-20T09:26:13.145Z,168457477314500
"Turn: 9♣, 3♦, Q♦ [Q♣]",2023-05-20T09:26:06.881Z,168457476688100
"""Marv69 @ Zi0hpOPBGK"" checks",2023-05-20T09:26:06.065Z,168457476606500
"""MJK @ 8xuYQoCB-e"" checks",2023-05-20T09:26:03.985Z,168457476398500
"""Time To Punt @ IjZYxWfJf8"" checks",2023-05-20T09:25:59.897Z,168457475989700
"Flop:  [9♣, 3♦, Q♦]",2023-05-20T09:25:57.424Z,168457475742400
"""Marv69 @ Zi0hpOPBGK"" checks",2023-05-20T09:25:56.598Z,168457475659800
"""MJK @ 8xuYQoCB-e"" calls 2.00",2023-05-20T09:25:53.923Z,168457475392300
"""Time To Punt @ IjZYxWfJf8"" calls 2.00",2023-05-20T09:25:52.266Z,168457475226600
"""Marv69 @ Zi0hpOPBGK"" posts a straddle of 2.00",2023-05-20T09:25:42.616Z,168457474261608
"""MJK @ 8xuYQoCB-e"" posts a big blind of 1.00",2023-05-20T09:25:42.616Z,168457474261607
"""Time To Punt @ IjZYxWfJf8"" posts a small blind of 0.50",2023-05-20T09:25:42.616Z,168457474261606
"Player stacks: #3 ""Time To Punt @ IjZYxWfJf8"" (653.77) | #6 ""MJK @ 8xuYQoCB-e"" (228.50) | #7 ""Marv69 @ Zi0hpOPBGK"" (828.35)",2023-05-20T09:25:42.616Z,168457474261602
"-- starting hand #247 (id: nmibhxytirhw)  (Pot Limit Omaha Hi) (dead button) --",2023-05-20T09:25:42.616Z,168457474261601
"The player ""Dp @ YyWpODWXWx"" stand up with the stack of 408.54.",2023-05-20T09:25:42.616Z,168457474261600
"-- ending hand #246 --",2023-05-20T09:25:36.612Z,168457473661202
"""Marv69 @ Zi0hpOPBGK"" collected 14.50 from pot",2023-05-20T09:25:36.612Z,168457473661201
"Uncalled bet of 9.25 returned to ""Marv69 @ Zi0hpOPBGK""",2023-05-20T09:25:36.612Z,168457473661200
"""Time To Punt @ IjZYxWfJf8"" folds",2023-05-20T09:25:35.770Z,168457473577000
"""Marv69 @ Zi0hpOPBGK"" bets 9.25",2023-05-20T09:25:34.443Z,168457473444300
"""Time To Punt @ IjZYxWfJf8"" checks",2023-05-20T09:25:23.833Z,168457472383300
"Flop:  [9♦, A♠, 4♦]",2023-05-20T09:25:21.798Z,168457472179800
"""MJK @ 8xuYQoCB-e"" folds",2023-05-20T09:25:20.944Z,168457472094400
"""Time To Punt @ IjZYxWfJf8"" calls 6.00",2023-05-20T09:25:18.606Z,168457471860600
