entry,at,order
"The player ""Seneca @ 3K1udw0KZ8"" stand up with the stack of 228.57.",2023-06-22T07:23:50.371Z,168741863037101
"The player ""jake @ BEjKY7LmxI"" stand up with the stack of 34.14.",2023-06-22T07:23:50.371Z,168741863037100
"-- ending hand #109 --",2023-06-22T07:23:47.369Z,168741862736902
"""mp @ -DkySTil6a"" collected 1.30 from pot",2023-06-22T07:23:47.369Z,168741862736901
"Uncalled bet of 0.50 returned to ""mp @ -DkySTil6a""",2023-06-22T07:23:47.369Z,168741862736900
"""Seneca @ 3K1udw0KZ8"" folds",2023-06-22T07:23:46.529Z,168741862652901
"The admin ""mp @ -DkySTil6a"" forced the player ""Seneca @ 3K1udw0KZ8"" to away mode in the next hand.",2023-06-22T07:23:46.529Z,168741862652900
"The admin ""mp @ -DkySTil6a"" enqueued the game stop on next hand.",2023-06-22T07:22:58.483Z,168741857848300
"""jake @ BEjKY7LmxI"" folds",2023-06-22T07:22:58.023Z,168741857802300
"""mp @ -DkySTil6a"" posts a big blind of 1.00",2023-06-22T07:22:55.736Z,168741857573609
"""Seneca @ 3K1udw0KZ8"" posts a small blind of 0.50",2023-06-22T07:22:55.736Z,168741857573608
"""Seneca @ 3K1udw0KZ8"" posts an ante of 0.10",2023-06-22T07:22:55.736Z,168741857573607
"""jake @ BEjKY7LmxI"" posts an ante of 0.10",2023-06-22T07:22:55.736Z,168741857573606
"""mp @ -DkySTil6a"" posts an ante of 0.10",2023-06-22T07:22:55.736Z,168741857573605
"Player stacks: #1 ""mp @ -DkySTil6a"" (276.59) | #5 ""jake @ BEjKY7LmxI"" (34.24) | #8 ""Seneca @ 3K1udw0KZ8"" (229.17)",2023-06-22T07:22:55.736Z,168741857573601
"-- starting hand #109 (id: qbobn9uyrdcb)  (No Limit Texas Hold'em) (dealer: ""jake @ BEjKY7LmxI"") --",2023-06-22T07:22:55.736Z,168741857573600
"""jake @ BEjKY7LmxI"" shows a 8♦, 9♦.",2023-06-22T07:22:53.510Z,168741857351000
"-- ending hand #108 --",2023-06-22T07:22:52.096Z,168741857209602
"""Seneca @ 3K1udw0KZ8"" collected 35.30 from pot",2023-06-22T07:22:52.096Z,168741857209601
"Uncalled bet of 34.24 returned to ""Seneca @ 3K1udw0KZ8""",2023-06-22T07:22:52.096Z,168741857209600
"""jake @ BEjKY7LmxI"" folds",2023-06-22T07:22:51.208Z,168741857120800
"""Seneca @ 3K1udw0KZ8"" bets 34.24",2023-06-22T07:22:50.097Z,168741857009700
"""jake @ BEjKY7LmxI"" checks",2023-06-22T07:22:43.824Z,168741856382400
"River: J♣, A♦, 2♦, K♣ [3♥]",2023-06-22T07:22:40.966Z,168741856096600
"""jake @ BEjKY7LmxI"" calls 10.00",2023-06-22T07:22:40.154Z,168741856015400
