entry,at,order
"""MJK @ 8xuYQoCB-e"" shows a 4♦, 4♣, 5♣, A♣.",2023-06-20T10:47:42.388Z,168725806238800
"-- ending hand #798 --",2023-06-20T10:47:41.121Z,168725806112102
"""BP @ _zk24nnVPb"" collected 24.00 from pot with Three of a Kind (combination: 8♠, 8♣, 8♦, A♥, Q♠)",2023-06-20T10:47:41.121Z,168725806112101
"""BP @ _zk24nnVPb"" shows a 7♥, 8♠, A♥, 5♦.",2023-06-20T10:47:41.121Z,168725806112100
"""MJK @ 8xuYQoCB-e"" calls 8.00",2023-06-20T10:47:40.237Z,168725806023700
"The admin ""MJK @ 8xuYQoCB-e"" enqueued the game stop on next hand.",2023-06-20T10:47:37.852Z,168725805785200
"""BP @ _zk24nnVPb"" bets 8.00",2023-06-20T10:47:27.480Z,168725804748000
"River: 6♠, Q♠, 8♣, 8♦ [6♥]",2023-06-20T10:47:25.913Z,168725804591300
"""MJK @ 8xuYQoCB-e"" checks",2023-06-20T10:47:25.031Z,168725804503100
"""BP @ _zk24nnVPb"" checks",2023-06-20T10:47:24.008Z,168725804400800
"Turn: 6♠, Q♠, 8♣ [8♦]",2023-06-20T10:47:23.598Z,168725804359800
"""MJK @ 8xuYQoCB-e"" checks",2023-06-20T10:47:22.767Z,168725804276700
"""BP @ _zk24nnVPb"" checks",2023-06-20T10:47:21.425Z,168725804142500
"Flop:  [6♠, Q♠, 8♣]",2023-06-20T10:47:19.511Z,168725803951100
"""MJK @ 8xuYQoCB-e"" checks",2023-06-20T10:47:18.627Z,168725803862700
"""BP @ _zk24nnVPb"" calls 4.00",2023-06-20T10:47:15.041Z,168725803504100
"""MJK @ 8xuYQoCB-e"" posts a straddle of 4.00",2023-06-20T10:47:12.106Z,168725803210606
"""BP @ _zk24nnVPb"" posts a big blind of 2.00",2023-06-20T10:47:12.106Z,168725803210605
"""MJK @ 8xuYQoCB-e"" posts a small blind of 1.00",2023-06-20T10:47:12.106Z,168725803210604
"Player stacks: #1 ""BP @ _zk24nnVPb"" (1554.44) | #2 ""MJK @ 8xuYQoCB-e"" (2755.18)",2023-06-20T10:47:12.106Z,168725803210601
"-- starting hand #798 (id: ewbbwxxrziaw)  (Pot Limit Omaha Hi) (dealer: ""MJK @ 8xuYQoCB-e"") --",2023-06-20T10:47:12.106Z,168725803210600
"""MJK @ 8xuYQoCB-e"" shows a 8♦, J♦, 10♠, 3♦.",2023-06-20T10:47:10.743Z,168725803074300
"""BP @ _zk24nnVPb"" shows a A♦, 6♠, 8♣, 8♠.",2023-06-20T10:47:09.480Z,168725802948000
"-- ending hand #797 --",2023-06-20T10:47:07.778Z,168725802777802
"""BP @ _zk24nnVPb"" collected 20.00 from pot",2023-06-20T10:47:07.778Z,168725802777801
"Uncalled bet of 12.00 returned to ""BP @ _zk24nnVPb""",2023-06-20T10:47:07.778Z,168725802777800
"""MJK @ 8xuYQoCB-e"" folds",2023-06-20T10:47:06.973Z,168725802697300
"""BP @ _zk24nnVPb"" bets 12.00",2023-06-20T10:47:03.704Z,168725802370400
"""MJK @ 8xuYQoCB-e"" checks",2023-06-20T10:47:00.818Z,168725802081800
"River: Q♥, K♣, 4♦, 10♥ [Q♣]",2023-06-20T10:46:59.908Z,168725801990800
"""BP @ _zk24nnVPb"" checks",2023-06-20T10:46:59.094Z,168725801909400
"""MJK @ 8xuYQoCB-e"" checks",2023-06-20T10:46:57.936Z,168725801793600
"Turn: Q♥, K♣, 4♦ [10♥]",2023-06-20T10:46:55.465Z,168725801546500
"""BP @ _zk24nnVPb"" checks",2023-06-20T10:46:54.568Z,168725801456800
"""MJK @ 8xuYQoCB-e"" checks",2023-06-20T10:46:53.542Z,168725801354200
"Flop:  [Q♥, K♣, 4♦]",2023-06-20T10:46:52.565Z,168725801256500
"""MJK @ 8xuYQoCB-e"" calls 10.00",2023-06-20T10:46:51.761Z,168725801176100
"""BP @ _zk24nnVPb"" raises to 10.00",2023-06-20T10:46:50.734Z,168725801073400
"""MJK @ 8xuYQoCB-e"" calls 4.00",2023-06-20T10:46:29.918Z,168725798991800
"""BP @ _zk24nnVPb"" posts a straddle of 4.00",2023-06-20T10:46:27.218Z,168725798721806
"""MJK @ 8xuYQoCB-e"" posts a big blind of 2.00",2023-06-20T10:46:27.218Z,168725798721805
"""BP @ _zk24nnVPb"" posts a small blind of 1.00",2023-06-20T10:46:27.218Z,168725798721804
"Player stacks: #1 ""BP @ _zk24nnVPb"" (1544.44) | #2 ""MJK @ 8xuYQoCB-e"" (2765.18)",2023-06-20T10:46:27.218Z,168725798721801
"-- starting hand #797 (id: ruux0uxd2aaf)  (Pot Limit Omaha Hi) (dealer: ""BP @ _zk24nnVPb"") --",2023-06-20T10:46:27.218Z,168725798721800
"""MJK @ 8xuYQoCB-e"" shows a A♦, Q♥, 8♦, 9♣.",2023-06-20T10:46:25.242Z,168725798524200
"-- ending hand #796 --",2023-06-20T10:46:23.492Z,168725798349202
"""BP @ _zk24nnVPb"" collected 150.00 from pot with Two Pair (combination: A♣, A♠, 7♥, 7♦, 5♣)",2023-06-20T10:46:23.492Z,168725798349201
"""BP @ _zk24nnVPb"" shows a 3♣, 7♥, A♣, K♠.",2023-06-20T10:46:23.492Z,168725798349200
"""MJK @ 8xuYQoCB-e"" calls 45.00",2023-06-20T10:46:22.666Z,168725798266600
"""BP @ _zk24nnVPb"" bets 45.00",2023-06-20T10:46:10.442Z,168725797044200
"River: 3♥, 7♦, A♠, 5♣ [5♦]",2023-06-20T10:46:08.800Z,168725796880000
"""MJK @ 8xuYQoCB-e"" checks",2023-06-20T10:46:07.974Z,168725796797400
"""BP @ _zk24nnVPb"" checks",2023-06-20T10:46:06.910Z,168725796691000
"Turn: 3♥, 7♦, A♠ [5♣]",2023-06-20T10:46:06.052Z,168725796605200
"""MJK @ 8xuYQoCB-e"" calls 18.00",2023-06-20T10:46:05.202Z,168725796520200
"""BP @ _zk24nnVPb"" bets 18.00",2023-06-20T10:46:03.491Z,168725796349100
"Flop:  [3♥, 7♦, A♠]",2023-06-20T10:46:01.044Z,168725796104400
"""MJK @ 8xuYQoCB-e"" calls 12.00",2023-06-20T10:46:00.210Z,168725796021000
"""BP @ _zk24nnVPb"" raises to 12.00",2023-06-20T10:45:58.626Z,168725795862600
