entry,at,order
"-- ending hand #62 --",2023-06-20T21:59:39.874Z,168729837987402
"""Jackson @ yXr_bmZ3u2"" collected 48.62 from pot with Pair, A's on the second run  (combination: A♦, A♠, 10♦, 8♥, 5♦)",2023-06-20T21:59:39.874Z,168729837987401
"""Phil @ G71Wfb2gET"" collected 48.62 from pot with Three of a Kind, 6's (combination: 6♥, 6♠, 6♦, K♦, Q♥)",2023-06-20T21:59:39.874Z,168729837987400
"River (second run): 5♦, 3♣, 10♦, 8♥ [A♠]",2023-06-20T21:59:35.866Z,168729837586600
"Turn (second run): 5♦, 3♣, 10♦ [8♥]",2023-06-20T21:59:31.862Z,168729837186200
"Flop (second run):  [5♦, 3♣, 10♦]",2023-06-20T21:59:27.858Z,168729836785800
"River: K♦, Q♥, 6♦, 9♠ [J♣]",2023-06-20T21:59:23.850Z,168729836385000
"Turn: K♦, Q♥, 6♦ [9♠]",2023-06-20T21:59:19.843Z,168729835984300
"Flop:  [K♦, Q♥, 6♦]",2023-06-20T21:59:15.841Z,168729835584100
"""Jackson @ yXr_bmZ3u2"" shows a 2♠, A♦.",2023-06-20T21:59:11.838Z,168729835183801
"""Phil @ G71Wfb2gET"" shows a 6♥, 6♠.",2023-06-20T21:59:11.838Z,168729835183800
"All players in hand choose to run it twice.",2023-06-20T21:59:11.006Z,168729835100601
"""Jackson @ yXr_bmZ3u2"" chooses to  run it twice.",2023-06-20T21:59:11.006Z,168729835100600
"""Phil @ G71Wfb2gET"" chooses to  run it twice.",2023-06-20T21:59:10.230Z,168729835023000
"Remaining players decide whether to run it twice.",2023-06-20T21:59:09.555Z,168729834955501
"""Phil @ G71Wfb2gET"" calls 47.87",2023-06-20T21:59:09.555Z,168729834955500
"""brett @ eKDH2_sDqp"" folds",2023-06-20T21:59:08.391Z,168729834839100
"""Don @ 6T4espke1S"" folds",2023-06-20T21:58:53.296Z,168729833329600
"""Jackson @ yXr_bmZ3u2"" raises to 47.87 and go all in",2023-06-20T21:58:52.264Z,168729833226400
"""mp @ -DkySTil6a"" folds",2023-06-20T21:58:46.284Z,168729832628400
"""Hari @ AbiA8gvle6"" folds",2023-06-20T21:58:45.375Z,168729832537500
"""Phil @ G71Wfb2gET"" raises to 7.00",2023-06-20T21:58:43.977Z,168729832397700
"The admin ""mp @ -DkySTil6a"" enqueued the game stop on next hand.",2023-06-20T21:58:42.772Z,168729832277200
"""dp @ fAO4FRQBI9"" folds",2023-06-20T21:58:41.417Z,168729832141700
"""Allen @ owhH9xBTTE"" folds",2023-06-20T21:58:40.471Z,168729832047100
"""brett @ eKDH2_sDqp"" posts a big blind of 1.00",2023-06-20T21:58:38.341Z,168729831834112
"""Don @ 6T4espke1S"" posts a small blind of 0.50",2023-06-20T21:58:38.341Z,168729831834111
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (170.64) | #3 ""Allen @ owhH9xBTTE"" (233.25) | #4 ""dp @ fAO4FRQBI9"" (200.60) | #5 ""Phil @ G71Wfb2gET"" (172.90) | #6 ""Hari @ AbiA8gvle6"" (457.50) | #7 ""mp @ -DkySTil6a"" (179.13) | #8 ""Jackson @ yXr_bmZ3u2"" (47.87) | #9 ""Don @ 6T4espke1S"" (138.88)",2023-06-20T21:58:38.341Z,168729831834102
"-- starting hand #62 (id: zdkukbzdrg5b)  (No Limit Texas Hold'em) (dealer: ""Jackson @ yXr_bmZ3u2"") --",2023-06-20T21:58:38.341Z,168729831834101
"The player ""Brax @ Cgqw2xJL_L"" stand up with the stack of 216.99.",2023-06-20T21:58:38.341Z,168729831834100
"-- ending hand #61 --",2023-06-20T21:58:32.335Z,168729831233502
"""Jackson @ yXr_bmZ3u2"" collected 7.00 from pot",2023-06-20T21:58:32.335Z,168729831233501
"Uncalled bet of 40.87 returned to ""Jackson @ yXr_bmZ3u2""",2023-06-20T21:58:32.335Z,168729831233500
"""Phil @ G71Wfb2gET"" folds",2023-06-20T21:58:31.530Z,168729831153000
"""Don @ 6T4espke1S"" folds",2023-06-20T21:58:29.234Z,168729830923400
"""Jackson @ yXr_bmZ3u2"" raises to 43.87 and go all in",2023-06-20T21:58:28.222Z,168729830822200
"""mp @ -DkySTil6a"" folds",2023-06-20T21:58:05.789Z,168729828578900
"""Hari @ AbiA8gvle6"" folds",2023-06-20T21:58:03.427Z,168729828342700
"""Phil @ G71Wfb2gET"" raises to 3.00",2023-06-20T21:57:59.839Z,168729827983900
"""dp @ fAO4FRQBI9"" folds",2023-06-20T21:57:53.469Z,168729827346900
"""Allen @ owhH9xBTTE"" folds",2023-06-20T21:57:52.584Z,168729827258400
"""brett @ eKDH2_sDqp"" folds",2023-06-20T21:57:51.372Z,168729827137200
"""Brax @ Cgqw2xJL_L"" folds",2023-06-20T21:57:50.434Z,168729827043400
"""Don @ 6T4espke1S"" posts a big blind of 1.00",2023-06-20T21:57:38.884Z,168729825888413
"""Jackson @ yXr_bmZ3u2"" posts a small blind of 0.50",2023-06-20T21:57:38.884Z,168729825888412
"Player stacks: #2 ""brett @ eKDH2_sDqp"" (170.64) | #3 ""Allen @ owhH9xBTTE"" (233.25) | #4 ""dp @ fAO4FRQBI9"" (200.60) | #5 ""Phil @ G71Wfb2gET"" (175.90) | #6 ""Hari @ AbiA8gvle6"" (457.50) | #7 ""mp @ -DkySTil6a"" (179.13) | #8 ""Jackson @ yXr_bmZ3u2"" (43.87) | #9 ""Don @ 6T4espke1S"" (139.88) | #10 ""Brax @ Cgqw2xJL_L"" (216.99)",2023-06-20T21:57:38.884Z,168729825888402
"-- starting hand #61 (id: kptlluvf2mwt)  (No Limit Texas Hold'em) (dealer: ""mp @ -DkySTil6a"") --",2023-06-20T21:57:38.884Z,168729825888401
"The player ""Marv69 @ OCMtlCKqdV"" stand up with the stack of 379.00.",2023-06-20T21:57:38.884Z,168729825888400
"""Allen @ owhH9xBTTE"" shows a 5♣, 10♦.",2023-06-20T21:57:36.570Z,168729825657000
"""Phil @ G71Wfb2gET"" shows a 10♥, 5♥.",2023-06-20T21:57:32.110Z,168729825211000
"-- ending hand #60 --",2023-06-20T21:57:31.520Z,168729825152002
"""Phil @ G71Wfb2gET"" collected 2.50 from pot",2023-06-20T21:57:31.520Z,168729825152001
"Uncalled bet of 2.00 returned to ""Phil @ G71Wfb2gET""",2023-06-20T21:57:31.520Z,168729825152000
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-20T21:57:30.699Z,168729825069900
"""mp @ -DkySTil6a"" folds",2023-06-20T21:57:29.508Z,168729824950800
"""Hari @ AbiA8gvle6"" folds",2023-06-20T21:57:26.110Z,168729824611000
"""Phil @ G71Wfb2gET"" raises to 3.00",2023-06-20T21:57:24.822Z,168729824482200
"""dp @ fAO4FRQBI9"" folds",2023-06-20T21:57:22.167Z,168729824216700
"""Allen @ owhH9xBTTE"" folds",2023-06-20T21:57:21.221Z,168729824122100
"""brett @ eKDH2_sDqp"" folds",2023-06-20T21:57:20.272Z,168729824027200
"""Marv69 @ OCMtlCKqdV"" folds",2023-06-20T21:57:15.643Z,168729823564300
"""Brax @ Cgqw2xJL_L"" folds",2023-06-20T21:57:10.737Z,168729823073700
"""Don @ 6T4espke1S"" folds",2023-06-20T21:57:09.714Z,168729822971400
"""Jackson @ yXr_bmZ3u2"" posts a big blind of 1.00",2023-06-20T21:56:55.361Z,168729821536113
"""mp @ -DkySTil6a"" posts a small blind of 0.50",2023-06-20T21:56:55.361Z,168729821536112
"Player stacks: #1 ""Marv69 @ OCMtlCKqdV"" (379.00) | #2 ""brett @ eKDH2_sDqp"" (170.64) | #3 ""Allen @ owhH9xBTTE"" (233.25) | #4 ""dp @ fAO4FRQBI9"" (200.60) | #5 ""Phil @ G71Wfb2gET"" (174.40) | #6 ""Hari @ AbiA8gvle6"" (457.50) | #7 ""mp @ -DkySTil6a"" (179.63) | #8 ""Jackson @ yXr_bmZ3u2"" (44.87) | #9 ""Don @ 6T4espke1S"" (139.88) | #10 ""Brax @ Cgqw2xJL_L"" (216.99)",2023-06-20T21:56:55.361Z,168729821536101
"-- starting hand #60 (id: r5zgh3leuew9)  (No Limit Texas Hold'em) (dealer: ""Hari @ AbiA8gvle6"") --",2023-06-20T21:56:55.361Z,168729821536100
"-- ending hand #59 --",2023-06-20T21:56:49.421Z,168729820942102
"""Brax @ Cgqw2xJL_L"" collected 7.50 from pot",2023-06-20T21:56:49.421Z,168729820942101
"Uncalled bet of 5.00 returned to ""Brax @ Cgqw2xJL_L""",2023-06-20T21:56:49.421Z,168729820942100
"""brett @ eKDH2_sDqp"" folds",2023-06-20T21:56:48.591Z,168729820859100
"""Brax @ Cgqw2xJL_L"" bets 5.00",2023-06-20T21:56:45.180Z,168729820518000
"Turn: J♦, 6♥, 8♣ [Q♥]",2023-06-20T21:56:36.801Z,168729819680100
"""brett @ eKDH2_sDqp"" checks",2023-06-20T21:56:35.990Z,168729819599000
"""Brax @ Cgqw2xJL_L"" checks",2023-06-20T21:56:31.609Z,168729819160900
"Flop:  [J♦, 6♥, 8♣]",2023-06-20T21:56:25.780Z,168729818578000
"""mp @ -DkySTil6a"" folds",2023-06-20T21:56:24.935Z,168729818493500
"""Hari @ AbiA8gvle6"" folds",2023-06-20T21:56:09.065Z,168729816906500
"""Phil @ G71Wfb2gET"" folds",2023-06-20T21:56:08.170Z,168729816817000
"""dp @ fAO4FRQBI9"" folds",2023-06-20T21:56:07.198Z,168729816719800
"""Allen @ owhH9xBTTE"" folds",2023-06-20T21:56:06.207Z,168729816620700
"""brett @ eKDH2_sDqp"" calls 3.00",2023-06-20T21:56:04.142Z,168729816414200
"""Marv69 @ OCMtlCKqdV"" folds",2023-06-20T21:56:02.477Z,168729816247700
"""Brax @ Cgqw2xJL_L"" raises to 3.00",2023-06-20T21:55:46.621Z,168729814662100
"""Don @ 6T4espke1S"" folds",2023-06-20T21:55:41.812Z,168729814181200
"""Jackson @ yXr_bmZ3u2"" folds",2023-06-20T21:55:40.867Z,168729814086700
"""mp @ -DkySTil6a"" posts a big blind of 1.00",2023-06-20T21:55:38.821Z,168729813882113
"""Hari @ AbiA8gvle6"" posts a small blind of 0.50",2023-06-20T21:55:38.821Z,168729813882112
